segmentnr	original	stemmed
BO_K12_D0460A(36b4-36b6)_H0427:243a-0	@243a rgya gar skad du /	rgya gar skad du 
BO_K12_D0460A(36b4-36b6)_H0427:243a-1	shr'i badzra tsanda tsitta gu hya tantra autta rotta ra /	shr badzra tsanda tsitta gu hya tantra autta rotta ra 
BO_K12_D0460A(36b4-36b6)_H0427:243a-2	bod skad du /	bod skad du 
BO_K12_D0460A(36b4-36b6)_H0427:243a-3	dpal rdo rje ga tum po thugs gsang ba'i rgyud phyi ma'i phyi ma /	dpal rdo rje ga tum po thugs gsang ba brgyud phyi ma phyi ma 
BO_K12_D0460A(36b4-36b6)_H0427:243a-4	bcom ldan 'das dpal rdo rje gtum po la phyag 'tshal lo; ;de nas 'khor de na gnod sbyin lag na rdo rje gtum po zhes bya ba 'khod pa stan las langs te bus mo g-yas pa'i lha nga sa la btsugs nas mig 'dzum dang bcas pas rang gi	joms ldan da dpal rdo rje thum po la phyag tshal lo; ;de nas khor de na gnod sbyin lag na rdo rje thum po zhes byed ba khod ba stan las ldang te bud mo g-yas ba lha nga sa la btsugs nas mig dzum dang cha ba rang gi 
BO_K12_D0460A(36b4-36b6)_H0427:243a-5	spyod pa las shin tu spa gong bar byas te bcom ldan 'das la 'di skad ces gsol te //	spyod ba las shin tu spa gong ba byed te joms ldan da la di skad ces gsol te 
BO_K12_D0460A(36b4-36b6)_H0427:243a-6	kye bcom ldan 'das /	kye joms ldan da 
BO_K12_D0460A(36b4-36b6)_H0427:243a-7	slad ma'i dus na gdug bcan gyis sems can la rnam par 'tshe zhing rnam pa gsum gyis sems can ma rungs par bgyid de /	slad ma dus na gdug bcan gyis sems can la rnam ba tshe zhing rnam ba gsum gyis sems can ma rungs ba bgyid de 
BO_K12_D0460A(36b4-36b6)_H0427:243a-8	reg pa'i dug gis kyang rab tu yang gzir bar bgyid do //	reg ba dug gis kyang rab tu yang gzir ba bgyid do 
BO_K12_D0460A(36b4-36b6)_H0427:243a-9	kha rlangs kyi dug gis ni /	kha rlangs kyi dug gis ni 
BO_K12_D0460A(36b4-36b6)_H0427:243a-10	rab tu myos shing shin tu yang lci bar bgyid do //	rab tu myos shing shin tu yang lci ba bgyid do 
BO_K12_D0460A(36b4-36b6)_H0427:243b-0	mthong ba'i @243b dug gis ni /	mthong ba dug gis ni 
BO_K12_D0460A(36b4-36b6)_H0427:243b-1	za zhing 'phrug cing tsha bar byed do //	za zhing phrug cing tsha ba byed do 
BO_K12_D0460A(36b4-36b6)_H0427:243b-2	'phro ba kha rlangs kyi dug can dang / reg pa lus kyi dug rnams kyi gdung ba bsal ba'i slad du bcom ldan 'das kyis bshad du gsol zhes zhus pas /	phro ba kha rlangs kyi dug can dang reg ba lus kyi dug rnams kyi gdung ba bsal ba slad du joms ldan da kyis chad du gsol zhes zhus ba 
BO_K12_D0460A(36b4-36b6)_H0427:243b-3	bcom ldan 'das kyis bka' stsal pa /	joms ldan da kyis bka stsal ba 
BO_K12_D0460A(36b4-36b6)_H0427:243b-4	nyon cig gnod sbyin gsang ba'i bdag /	nyon cig gnod sbyin gsang ba bdag 
BO_K12_D0460A(36b4-36b6)_H0427:243b-5	dug gsum dug gi rtsa ba yang //	dug gsum dug gi rtsa ba yang 
BO_K12_D0460A(36b4-36b6)_H0427:243b-6	dug gsum las ni byung ba yin //	dug gsum las ni byung ba yin 
BO_K12_D0460A(36b4-36b6)_H0427:243b-7	rtsa ba'i dug la rang bzhin med; ;de ni dug gso sman gyi mchog /	rtsa ba dug la rang bzhin med; ;de ni dug gso sman gyi mchog 
BO_K12_D0460A(36b4-36b6)_H0427:243b-8	sman nyid rang 'byung gzhan la min //	sman nyid rang byung gzhan la min 
BO_K12_D0460A(36b4-36b6)_H0427:243b-9	de nyid rang dang gzhan las grol //	de nyid rang dang gzhan las grol 
BO_K12_D0460A(36b4-36b6)_H0427:243b-10	rtsa ba'i dug la rang grol na //	rtsa ba dug la rang grol na 
BO_K12_D0460A(36b4-36b6)_H0427:243b-11	dug gsum la sogs gzhan du med //	dug gsum la sogs gzhan du med 
BO_K12_D0460A(36b4-36b6)_H0427:243b-12	dug lnga las 'phros 'byung lnga'i dug //	dug lnga las phro byung lnga dug 
BO_K12_D0460A(36b4-36b6)_H0427:243b-13	kun rdzog tsam du 'byung ba 'joms //	kun rdzog tsam du byung ba joms 
BO_K12_D0460A(36b4-36b6)_H0427:243b-14	de dag rab tu gzhom pa'i phyir //	de dag rab tu joms ba phyir 
BO_K12_D0460A(36b4-36b6)_H0427:243b-15	rang bzhin rang grol bdud rtsi yis //	rang bzhin rang grol bdud rtsi yis 
BO_K12_D0460A(36b4-36b6)_H0427:243b-16	rtsa ba'i dug sogs 'joms par byed //	rtsa ba dug sogs joms ba byed 
BO_K12_D0460A(36b4-36b6)_H0427:243b-17	lha yi skur dang sngags kyi mthu //	lha yi skur dang sngags kyi mthu 
