segmentnr	original	stemmed
BO_K01_D0007B_H0008:359a-21	btsun pa / mkhan po smyon pas bsnyen par rdzogs par bgyis na /	btsun ba mkhan po smyon ba snyen ba rdzogs ba bgyid na 
BO_K01_D0007B_H0008:359a-22	bsnyen par rdzogs pa zhes bgyi'am /	snyen ba rdzogs ba zhes bgyid 
BO_K01_D0007B_H0008:359a-23	au pa li /	au ba li 
BO_K01_D0007B_H0008:359a-24	bsnyen par rdzogs pa zhes bya ste /	snyen ba rdzogs ba zhes byed ste 
BO_K01_D0007B_H0008:359a-25	bsnyen par rdzogs par byed pa rnams ni /	snyen ba rdzogs ba byed ba rnams ni 
BO_K01_D0007B_H0008:359a-26	'das pa dang bcas pa'o //	da ba dang cha ba 
BO_K01_D0007B_H0008:359a-27	de bzhin du mkhan po sems 'khrugs pa dang / nad kyis gzir ba dang / snyoms par zhugs pa rnams so //	de bzhin du mkhan po sems khrugs ba dang nad kyis gzir ba dang snyom ba jug ba rnams so 
BO_K01_D0007B_H0008:359a-28	btsun pa / mkhan po 'gro ba gzhan du gnas pas bsnyen par rdzogs par bgyis na /	btsun ba mkhan po gro ba gzhan du gnas ba snyen ba rdzogs ba bgyid na 
BO_K01_D0007B_H0008:359a-29	bsnyen par rdzogs pa zhes bgyi'am /	snyen ba rdzogs ba zhes bgyid 
BO_K01_D0007B_H0008:359a-30	au pa li /	au ba li 
BO_K01_D0007B_H0008:359b-0	@359b bsnyen par rdzogs pa zhes bya ste /	snyen ba rdzogs ba zhes byed ste 
BO_K01_D0007B_H0008:359b-1	bsnyen par rdzogs par byed pa rnams ni /	snyen ba rdzogs ba byed ba rnams ni 
BO_K01_D0007B_H0008:359b-2	'das pa dang bcas pa'o //	da ba dang cha ba 
BO_K01_D0007B_H0008:359b-3	btsun pa / dge tshul pha bsnyen par rdzogs par bgyid pa na mkhan po'i mtshan 'phos na /	btsun ba dge tshul pha snyen ba rdzogs ba bgyid ba na mkhan po mtshan pho na 
BO_K01_D0007B_H0008:359b-4	bsnyen par rdzogs pa zhes bgyi'am /	snyen ba rdzogs ba zhes bgyid 
BO_K01_D0007B_H0008:359b-5	au pa li /	au ba li 
BO_K01_D0007B_H0008:359b-6	bsnyen par rdzogs ba zhes bya ste /	snyen ba rdzogs ba zhes byed ste 
BO_K01_D0007B_H0008:359b-7	bsnyen par rdzogs par byed pa rnams ni /	snyen ba rdzogs ba byed ba rnams ni 
BO_K01_D0007B_H0008:359b-8	'das pa dang bcas pa'o //	da ba dang cha ba 
BO_K01_D0007B_H0008:359b-9	btsun pa / mkhan po khyim pas bsnyen par rdzogs par bgyis na /	btsun ba mkhan po khyim ba snyen ba rdzogs ba bgyid na 
BO_K01_D0007B_H0008:359b-10	bsnyen par rdzogs pa zhes bgyi'am /	snyen ba rdzogs ba zhes bgyid 
BO_K01_D0007B_H0008:359b-11	au pa li /	au ba li 
BO_K01_D0007B_H0008:359b-12	bsnyen par rdzogs pa zhes bya ste /	snyen ba rdzogs ba zhes byed ste 
