segmentnr	original	stemmed
BO_K01_D0007A_H0007:37b-24	'on te bsgo bar mi bgyi lags /	n te sgo ba mi bgyid lags 
BO_K01_D0007A_H0007:37b-25	bka' stsal pa /	bka stsal ba 
BO_K01_D0007A_H0007:37b-26	bsgo bar bya'o //	sgo ba byed 
BO_K01_D0007A_H0007:37b-27	bsgo ba 'chags lags sam /	sgo ba chag lags sam 
BO_K01_D0007A_H0007:37b-28	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:37b-29	'chags te / dge 'dun la yang 'gal tshabs can du mi 'gyur ro //	chag te dge dun la yang gal tshabs can du mi gyur ro 
BO_K01_D0007A_H0007:37b-30	btsun pa / re zhig ma gleng dran par ma bgyis par bdag nyid bka' blo mi bde ba la gnas par bgyid na /	btsun ba re jig ma gleng dran ba ma bgyid ba bdag nyid bka blo mi bde ba la gnas ba bgyid na 
BO_K01_D0007A_H0007:37b-31	cir 'gyur lags /	cir gyur lags 
BO_K01_D0007A_H0007:37b-32	nyes byas so //	nyes byed so 
BO_K01_D0007A_H0007:37b-33	bsgo bar bgyi'am /	sgo ba bgyid 
BO_K01_D0007A_H0007:37b-34	'on te bsgo bar mi bgyi lags /	n te sgo ba mi bgyid lags 
BO_K01_D0007A_H0007:37b-35	bka' stsal pa /	bka stsal ba 
BO_K01_D0007A_H0007:37b-36	bsgo bar mi bya'o //	sgo ba mi byed 
BO_K01_D0007A_H0007:37b-37	bsgo ba 'chags lags sam /	sgo ba chag lags sam 
BO_K01_D0007A_H0007:37b-38	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:37b-39	mi 'chags so //	mi chag so 
BO_K01_D0007A_H0007:37b-40	btsun pa / re zhig gleng zhing dran par bgyis pa las /	btsun ba re jig gleng zhing dran ba bgyid ba las 
BO_K01_D0007A_H0007:38a-0	@38a *// bdag nyid bka' blo mi bde ba la gnas par bgyid na /	bdag nyid bka blo mi bde ba la gnas ba bgyid na 
BO_K01_D0007A_H0007:38a-1	cir 'gyur lags /	cir gyur lags 
BO_K01_D0007A_H0007:38a-2	nyes byas so //	nyes byed so 
BO_K01_D0007A_H0007:38a-3	bsgo bar bgyi'am /	sgo ba bgyid 
BO_K01_D0007A_H0007:38a-4	'on te bsgo bar mi bgyi lags /	n te sgo ba mi bgyid lags 
BO_K01_D0007A_H0007:38a-5	bka' stsal pa /	bka stsal ba 
BO_K01_D0007A_H0007:38a-6	bsgo bar bya'o //	sgo ba byed 
BO_K01_D0007A_H0007:38a-7	bsgo ba 'chags lags sam /	sgo ba chag lags sam 
BO_K01_D0007A_H0007:38a-8	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38a-9	'chags so // mtshams kyi nang na mchis pa dag gis mtshams kyi slad rol na mchis pa bsgo na /	chag so mtshams kyi nang na mchis ba dag gis mtshams kyi slad rol na mchis ba sgo na 
BO_K01_D0007A_H0007:38a-10	bsgo ba zhes bgyi lags sam /	sgo ba zhes bgyid lags sam 
BO_K01_D0007A_H0007:38a-11	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38a-12	ma yin no //	ma yin no 
BO_K01_D0007A_H0007:38a-13	mtshams kyi slad rol na mchis pa dag gis mtshams kyi nang na mchis pa dag la bsgo na /	mtshams kyi slad rol na mchis ba dag gis mtshams kyi nang na mchis ba dag la sgo na 
BO_K01_D0007A_H0007:38a-14	bsgo ba zhes bgyi lags sam nye bar 'khor /	sgo ba zhes bgyid lags sam nye ba khor 
BO_K01_D0007A_H0007:38a-15	ma yin no //	ma yin no 
BO_K01_D0007A_H0007:38a-16	btsun pa / re zhig dge slong las bgyid pa mtshams kyi nang na mchis pas /	btsun ba re jig dge slong las bgyid ba mtshams kyi nang na mchis ba 
BO_K01_D0007A_H0007:38a-17	mtshams kyi slad rol na mchis pa dag la bsgo na /	mtshams kyi slad rol na mchis ba dag la sgo na 
BO_K01_D0007A_H0007:38a-18	bsgo ba zhes bgyi lags sam /	sgo ba zhes bgyid lags sam 
BO_K01_D0007A_H0007:38a-19	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38a-20	ma yin no //	ma yin no 
BO_K01_D0007A_H0007:38a-21	btsun pa / re zhig dge slong las bgyid pa mtshams kyi slad rol na mchis pas /	btsun ba re jig dge slong las bgyid ba mtshams kyi slad rol na mchis ba 
BO_K01_D0007A_H0007:38a-22	mtshams kyi nang na mchis pa dag la bsgo na /	mtshams kyi nang na mchis ba dag la sgo na 
BO_K01_D0007A_H0007:38a-23	bsgo ba zhes bgyi lags sam /	sgo ba zhes bgyid lags sam 
BO_K01_D0007A_H0007:38a-24	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38a-25	ma yin no //	ma yin no 
BO_K01_D0007A_H0007:38a-26	btsun pa / re zhig dge slong las bgyid pas mtshams mnan cing /	btsun ba re jig dge slong las bgyid ba mtshams gnon cing 
BO_K01_D0007A_H0007:38a-27	mtshams non par bgyis te /	mtshams non ba bgyid te 
BO_K01_D0007A_H0007:38a-28	mtshams su mchis nas bsgo na /	mtshams su mchis nas sgo na 
BO_K01_D0007A_H0007:38a-29	bsgo ba zhes bgyi'am /	sgo ba zhes bgyid 
BO_K01_D0007A_H0007:38a-30	ma bsgo ba zhes bgyi lags /	ma sgo ba zhes bgyid lags 
BO_K01_D0007A_H0007:38a-31	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38a-32	bsgo ba zhes bya'o //	sgo ba zhes byed 
BO_K01_D0007A_H0007:38a-33	bsgo ba 'chags lags sam /	sgo ba chag lags sam 
BO_K01_D0007A_H0007:38a-34	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38a-35	'chags so // btsun pa /	chag so btsun ba 
BO_K01_D0007A_H0007:38b-0	@38b dge slong las bgyid par ma bskos pa zhig gis mtshams kyi nang na mchis pa'i gang zag bzhi bskrad na /	dge slong las bgyid ba ma sko ba jig gis mtshams kyi nang na mchis ba gang zag bzhi skrod na 
BO_K01_D0007A_H0007:38b-1	bskrad pa zhes bgyi lags sam /	skrod ba zhes bgyid lags sam 
BO_K01_D0007A_H0007:38b-2	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38b-3	ma yin no //	ma yin no 
BO_K01_D0007A_H0007:38b-4	btsun pa / re zhig dge slong las bgyid par bskos pas /	btsun ba re jig dge slong las bgyid ba sko ba 
BO_K01_D0007A_H0007:38b-5	mtshams kyi nang na mchis pa'i gang zag bzhi zhig bskrad na /	mtshams kyi nang na mchis ba gang zag bzhi jig skrod na 
BO_K01_D0007A_H0007:38b-6	bskrad pa zhes bgyi lags sam /	skrod ba zhes bgyid lags sam 
BO_K01_D0007A_H0007:38b-7	gal te de re re dang / gnyis gnyis dang / gsum gsum nas bskrad kyi /	gal te de re re dang gnyis gnyis dang gsum gsum nas skrod kyi 
BO_K01_D0007A_H0007:38b-8	bzhir ma yin na /	bzhir ma yin na 
BO_K01_D0007A_H0007:38b-9	bskrad pa zhes bya'o //	skrod ba zhes byed 
BO_K01_D0007A_H0007:38b-10	btsun pa / dge slong las bgyid pas mtshams kyi nang phyogs bzhi na mtshungs par gnas pa'i dge slong mchis pa dag gis dge slong bzhi zhig la bsgo na /	btsun ba dge slong las bgyid ba mtshams kyi nang phyogs bzhi na mtshungs ba gnas ba dge slong mchis ba dag gis dge slong bzhi jig la sgo na 
BO_K01_D0007A_H0007:38b-11	bsgo bar yang chud la /	sgo ba yang chud la 
BO_K01_D0007A_H0007:38b-12	ltung ba yang du gang yang mi 'gyur zhing //	ltung ba yang du gang yang mi gyur zhing 
BO_K01_D0007A_H0007:38b-13	des dge 'dun mi mthun par yang mi 'gyur ba lta mchis lags sam /	des dge dun mi mthun ba yang mi gyur ba lta mchis lags sam 
BO_K01_D0007A_H0007:38b-14	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38b-15	gal te phan tshun 'dun pa byin pas /	gal te phan tshun dun ba byin ba 
BO_K01_D0007A_H0007:38b-16	re re dang / gnyis gnyis dang / gsum gsum la bsgo'i bzhi la ma yin na /	re re dang gnyis gnyis dang gsum gsum la sgo bzhi la ma yin na 
BO_K01_D0007A_H0007:38b-17	yod do // de ci'i phyir zhe na /	yod do de ci phyir zhe na 
BO_K01_D0007A_H0007:38b-18	tshogs kyis tshogs kyi las dag byar mi rung bas so //	tshogs kyis tshogs kyi las dag byar mi rung ba so 
BO_K01_D0007A_H0007:38b-19	las bgyid pa phyogs gcig na mchis pas gnas bzhi'i las thams cad bgyir rung lags sam /	las bgyid ba phyogs gcig na mchis ba gnas bzhi las thams cad bgyir rung lags sam 
BO_K01_D0007A_H0007:38b-20	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:38b-21	'di ltar dge slong las byed pas gnas bzhi char gyi mtshams kyi mdo /	di ltar dge slong las byed ba gnas bzhi char gyi mtshams kyi mdo 
BO_K01_D0007A_H0007:38b-22	khri'am / khri'u'am /	khri khriu 
BO_K01_D0007A_H0007:38b-23	re lde'am / ljon ring gis mnan te 'dug par gyur la /	re lde ljon ring gis gnon te dug ba gyur la 
BO_K01_D0007A_H0007:38b-24	gnas de dag na yang las 'di lta bu 'di lta ste /	gnas de dag na yang las di lta bu di lta ste 
BO_K01_D0007A_H0007:39a-0	bzhi'i tshogs kyis bya ba'i @39a *//	bzhi tshogs kyis byed ba 
BO_K01_D0007A_H0007:39a-1	las dang / lnga'i tshogs kyis bya ba'i las dang / bcu'i tshogs kyis bya ba'i las dang / nyi shu'i tshogs kyis bya ba'i las nye bar gnas par gyur na /	las dang lnga tshogs kyis byed ba las dang chu tshogs kyis byed ba las dang nyi shu tshogs kyis byed ba las nye ba gnas ba gyur na 
BO_K01_D0007A_H0007:39a-2	rung ngo // de ci'i phyir zhe na /	rung ngo de ci phyir zhe na 
BO_K01_D0007A_H0007:39a-3	de de dag kha cig gi ni /	de de dag kha cig gi ni 
BO_K01_D0007A_H0007:39a-4	las byed pa yin la /	las byed ba yin la 
BO_K01_D0007A_H0007:39a-5	kha cig gi ni /	kha cig gi ni 
BO_K01_D0007A_H0007:39a-6	tshogs skong ba yin no //	tshogs skong ba yin no 
BO_K01_D0007A_H0007:39a-7	sa la mchis pas nam mkha' la mchis pa rnams la bsgo na /	sa la mchis ba nam mkha la mchis ba rnams la sgo na 
BO_K01_D0007A_H0007:39a-8	bsgo ba zhes bgyi lags sam /	sgo ba zhes bgyid lags sam 
BO_K01_D0007A_H0007:39a-9	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:39a-10	ma yin no //	ma yin no 
BO_K01_D0007A_H0007:39a-11	btsun pa / re zhig las bgyid pa nam mkha' la mchis la /	btsun ba re jig las bgyid ba nam mkha la mchis la 
BO_K01_D0007A_H0007:39a-12	sa la mchis pa rnams la bsgo na /	sa la mchis ba rnams la sgo na 
BO_K01_D0007A_H0007:39a-13	bsgo ba zhes bgyi lags sam /	sgo ba zhes bgyid lags sam 
BO_K01_D0007A_H0007:39a-14	nye bar 'khor /	nye ba khor 
BO_K01_D0007A_H0007:39a-15	ma yin no //	ma yin no 
BO_K01_D0007A_H0007:39a-16	ji ltar dge slong la dge 'dun lhag mar 'gyur ba ji lta ba de bzhin du bslab pa byin pa dang / dge slong ma la yang dge 'dun lhag mar 'gyur ro //	ji ltar dge slong la dge dun lhag mar gyur ba ji lta ba de bzhin du bslab ba byin ba dang dge slong ma la yang dge dun lhag mar gyur ro 
BO_K01_D0007A_H0007:39a-17	dge slob ma dang / dge tshul dang / dge tshul ma rnams la ni /	dge slob ma dang dge tshul dang dge tshul ma rnams la ni 
BO_K01_D0007A_H0007:39a-18	nyes byas sos //	nyes byed sos 
