segmentnr	original	stemmed
BO_K10_Dx_H0101:520a-0	@520a de bzhin gshegs pa'i mtshan brgya rtsa brgyad pa /	de bzhin gshegs ba mtshan brgya rtsa brgyad ba 
BO_K10_Dx_H0101:520a-1	'jig rten kun gyi mgon gcig pa //	jig rten kun gyi mgon gcig ba 
BO_K10_Dx_H0101:520a-2	thams cad mkhyen pa thub pa che; ;yon tan rgya mtsho mtha' yas pa'i //	thams cad mkhyen ba thub ba che; ;yon tan rgya mtsho mtha yas ba 
BO_K10_Dx_H0101:520a-3	mtshan brgya rtsa brgyad legs par brjod //	mtshan brgya rtsa brgyad legs ba rjod 
BO_K10_Dx_H0101:520a-4	bkra shis kun gyi bkra shis pa //	bkra shis kun gyi bkra shis ba 
BO_K10_Dx_H0101:520a-5	sdig pa thams cad rab 'joms pa //	sdig ba thams cad rab joms ba 
BO_K10_Dx_H0101:520a-6	sdug bsngal thams cad sel pa po //	sdug sngal thams cad sel ba po 
BO_K10_Dx_H0101:520a-7	ston pa la ni bdag phyag 'tshal //	ston ba la ni bdag phyag tshal 
BO_K10_Dx_H0101:520a-8	bkra shis thams cad sbyin pa po //	bkra shis thams cad sbyin ba po 
BO_K10_Dx_H0101:520a-9	lus can kun gyi skyabs mdzad pa //	lus can kun gyi skyob mdzad ba 
BO_K10_Dx_H0101:520a-10	kun tu bde ba sbyin pa po //	kun tu bde ba sbyin ba po 
BO_K10_Dx_H0101:520a-11	zla ba bzang la bdag phyag 'tshal //	zla ba bzang la bdag phyag tshal 
BO_K10_Dx_H0101:520a-12	bkra shis thams cad yongs su rdzogs //	bkra shis thams cad yongs su rdzogs 
BO_K10_Dx_H0101:520a-13	sems can kun la thugs brtse ba //	sems can kun la thugs brtse ba 
BO_K10_Dx_H0101:520a-14	sems can kun gyi mgon po mchog /	sems can kun gyi mgon po mchog 
BO_K10_Dx_H0101:520a-15	thams cad mkhyen la bdag phyag 'tshal //	thams cad mkhyen la bdag phyag tshal 
BO_K10_Dx_H0101:520a-16	rig pa thams cad legs bsgrubs pa //	rig ba thams cad legs sgrub ba 
BO_K10_Dx_H0101:520a-17	sangs rgyas thogs med rtogs pa po //	sangs rgya thogs med rtogs ba po 
BO_K10_Dx_H0101:520a-18	gnod pa thams cad sel mdzad pa //	gnod ba thams cad sel mdzad ba 
BO_K10_Dx_H0101:520a-19	don kun grub la phyag 'tshal lo //	don kun grub la phyag tshal lo 
BO_K10_Dx_H0101:520a-20	rdzogs sangs rgyas pa 'gro ba'i gnyen //	rdzogs sangs rgya ba gro ba gnyen 
BO_K10_Dx_H0101:520a-21	lha yi lha la bstod pa yi //	lha yi lha la bstod ba yi 
BO_K10_Dx_H0101:520a-22	mtshan brgya rtsa brgyad dam pa 'di //	mtshan brgya rtsa brgyad dam ba di 
BO_K10_Dx_H0101:520a-23	mchog tu dge ba bdag gis bshad //	mchog tu dge ba bdag gis chad 
BO_K10_Dx_H0101:520a-24	don kun grub pa rdzogs sangs rgyas //	don kun grub ba rdzogs sangs rgya 
BO_K10_Dx_H0101:520b-0	sh'akya'i skyes @520b mchog thams cad mkhyen //	shakya skye mchog thams cad mkhyen 
BO_K10_Dx_H0101:520b-1	chos kun dbang phyug brtan pa pa //	chos kun dbang phyug brtan ba ba 
BO_K10_Dx_H0101:520b-2	drang srong chen po yon tan mtsho //	dren srong chen po yon tan mtsho 
BO_K10_Dx_H0101:520b-3	dgra bcom bde gshegs de bzhin gshegs //	dgra joms bde gshegs de bzhin gshegs 
BO_K10_Dx_H0101:520b-4	bcom ldan 'jig rten kun mkhyen pa //	joms ldan jig rten kun mkhyen ba 
BO_K10_Dx_H0101:520b-5	nyes pa'i dri ma kun las 'das //	nyes ba dri ma kun las da 
BO_K10_Dx_H0101:520b-6	chos kyi snang ba mdzad pa'i mchog /	chos kyi snang ba mdzad ba mchog 
BO_K10_Dx_H0101:520b-7	'jigs med sh'akya zas gtsang sras //	jigs med shakya zas gtsang sras 
BO_K10_Dx_H0101:520b-8	bu ram shing pa'i rigs dga' ba //	bu ram shing ba rigs dga ba 
BO_K10_Dx_H0101:520b-9	goo ta ma ste nyi ma'i rigs; ;thub dpal nyi ma'i rgyud bdag po //	goo ta ma ste nyi ma rigs; ;thub dpal nyi ma brgyud bdag po 
BO_K10_Dx_H0101:520b-10	'jig rten mgon po stobs bcur ldan //	jig rten mgon po stobs jur ldan 
BO_K10_Dx_H0101:520b-11	bdud dpung nges par 'joms pa po //	bdud dpung nges ba joms ba po 
BO_K10_Dx_H0101:520b-12	nyes pa spangs pa drug bcom pa //	nyes ba spong ba drug joms ba 
BO_K10_Dx_H0101:520b-13	mi 'dul kha lo bzang po pa //	mi dul kha lo bzang po ba 
BO_K10_Dx_H0101:520b-14	rig pa grol ba mun sel ba //	rig ba grol ba mun sel ba 
BO_K10_Dx_H0101:520b-15	zhi ba dul ba dpang po thul //	zhi ba dul ba dpang po thul 
BO_K10_Dx_H0101:520b-16	tshul khrims rnam dag dri ma med //	tshul khrims rnam dag dri ma med 
BO_K10_Dx_H0101:520b-17	'dod chags bral ba ser sna med //	dod chags bral ba ser sna med 
BO_K10_Dx_H0101:520b-18	dpag tu med pa 'jigs med brnyes //	dpog tu med ba jigs med brnyes 
BO_K10_Dx_H0101:520b-19	chos kyi mchog dang ldan pa po //	chos kyi mchog dang ldan ba po 
BO_K10_Dx_H0101:520b-20	mtha' yas dpe med gsum ldan pa //	mtha yas dpe med gsum ldan ba 
BO_K10_Dx_H0101:520b-21	bsam gyis mi khyab ya mtshan stabs //	bsam gyis mi khyab ya mtshan stabs 
BO_K10_Dx_H0101:520b-22	'jig rten gsum gnyer gsum rig pa //	jig rten gsum gnyer gsum rig ba 
BO_K10_Dx_H0101:520b-23	dus gsum mkhyen pa nyes gsum 'joms //	dus gsum mkhyen ba nyes gsum joms 
BO_K10_Dx_H0101:520b-24	cho 'phrul gsum dang ldan pa po //	cho phrul gsum dang ldan ba po 
BO_K10_Dx_H0101:520b-25	phung po gsum gyi lam ston pa //	phung po gsum gyi lam ston ba 
BO_K10_Dx_H0101:520b-26	mtshon cha rtsod med rims nad med //	mtshon cha rtsod med rims nad med 
BO_K10_Dx_H0101:520b-27	bdag gi med pa nga rgyal med //	bdag gi med ba nga rgyal med 
BO_K10_Dx_H0101:520b-28	tsher ma med pa spros pa med //	tsher ma med ba spros ba med 
BO_K10_Dx_H0101:520b-29	'jigs med kha na ma tho med //	jigs med kha na ma tho med 
BO_K10_Dx_H0101:520b-30	dpa' bo mchog sbyin mchog don so //	dpa bo mchog sbyin mchog don so 
BO_K10_Dx_H0101:520b-31	smra ba'i sengge mi yi mchog /	smra ba sengge mi yi mchog 
BO_K10_Dx_H0101:520b-32	rnam par dul ba nyon mongs bral //	rnam ba dul ba nyon mongs bral 
BO_K10_Dx_H0101:521a-0	rnam dag bdag nyid rnam par @521a *//	rnam dag bdag nyid rnam ba 
BO_K10_Dx_H0101:521a-1	'dren; ;rig dang zhabs su ldan pa po //	dren; ;rig dang zhabs su ldan ba po 
BO_K10_Dx_H0101:521a-2	khyab 'jug kun rgyal rnam par mdzes //	khyab jug kun rgyal rnam ba mdzes 
BO_K10_Dx_H0101:521a-3	sems rdul dri ma mi mnga' ba //	sems rdul dri ma mi mnga ba 
BO_K10_Dx_H0101:521a-4	rdul dang bral ba rig pa'i mchog /	rdul dang bral ba rig ba mchog 
BO_K10_Dx_H0101:521a-5	zhi bar mdzad pa sdig pa zhi //	zhi ba mdzad ba sdig ba zhi 
BO_K10_Dx_H0101:521a-6	bsil bar gyur pa shis par mdzad //	bsil ba gyur ba shis ba mdzad 
BO_K10_Dx_H0101:521a-7	ston pa 'gro ba'i skyabs 'os pa //	ston ba gro ba skyob s ba 
BO_K10_Dx_H0101:521a-8	dpa' bo dag pa bsnyengs mi mnga'//	dpa bo dag ba snyeng mi 
BO_K10_Dx_H0101:521a-9	mtshan rnams yongs rdzogs dpal dang ldan //	mtshan rnams yongs rdzogs dpal dang ldan 
BO_K10_Dx_H0101:521a-10	mig mkhan zug rngu 'byin pa po //	mig mkhan zug rngu byin ba po 
BO_K10_Dx_H0101:521a-11	sh'akya sengge dge sbyong dbang //	shakya sengge dge sbyong dbang 
BO_K10_Dx_H0101:521a-12	dge ba'i chos kyi 'byung gnas gtsang //	dge ba chos kyi byung gnas gtsang 
BO_K10_Dx_H0101:521a-13	sangs rgyas chos drug rgyan mnga' ba //	sangs rgya chos drug rgyan mnga ba 
BO_K10_Dx_H0101:521a-14	chos drug dri ma med pa'i spyan //	chos drug dri ma med ba spyan 
BO_K10_Dx_H0101:521a-15	mngon shes drug dang ldan pa'i mchog /	mngon shes drug dang ldan ba mchog 
BO_K10_Dx_H0101:521a-16	'gro drug rgya mtsho'i pha rol gshegs //	gro drug rgya mtsho pha rol gshegs 
BO_K10_Dx_H0101:521a-17	rang byung bde gshegs grub pa po //	rang byung bde gshegs grub ba po 
BO_K10_Dx_H0101:521a-18	'jig rten kun la phan par dgyes //	jig rten kun la phan ba dgyes 
BO_K10_Dx_H0101:521a-19	mnyam bzhag shes rab mtshungs pa med //	mnyam jog shes rab mtshungs ba med 
BO_K10_Dx_H0101:521a-20	ting nge 'dzin la rtag tu dgyes //	ting nge dzin la rtag tu dgyes 
BO_K10_Dx_H0101:521a-21	sems can kun gyi phan pa tshol //	sems can kun gyi phan ba tshol 
