segmentnr	original	stemmed
BO_T02_D2880b:221a-0	@221a // aa kra ma /	aa kra ma 
BO_T02_D2880b:221a-1	tadya th'a / aom bi pu le pra ba ra n'a ba //	tadya tha aom bi pu le pra ba ra na ba 
BO_T02_D2880b:221a-2	ma h'a n'a ga hri da ya /	ma ha na ga hri da ya 
BO_T02_D2880b:221a-3	aa pa ra te /	aa ba ra te 
BO_T02_D2880b:221a-4	dzva la dzva la /	dzva la dzva la 
BO_T02_D2880b:221a-5	sarba n'a d'i ta ya ni /	sarba na d ta ya ni 
BO_T02_D2880b:221a-6	ki m'i ki m'i //	ki m ki m 
BO_T02_D2880b:221a-7	n'a ga ku la bi dhr'am sa ni /	na ga ku la bi dhr sa ni 
BO_T02_D2880b:221a-8	ha na ha na /	ha na ha na 
BO_T02_D2880b:221a-9	sarba n'a ga dushta d'i ta ya ni ;	sarba na ga dushta d ta ya ni 
BO_T02_D2880b:221a-10	da ha da ha sarba dusht'am /	da ha da ha sarba dusht 
BO_T02_D2880b:221a-11	n'a ga bha ba na ni /	na ga bha ba na ni 
BO_T02_D2880b:221a-12	pa tsa pa tsa ya sarba dusht'am /	ba tsa ba tsa ya sarba dusht 
BO_T02_D2880b:221a-13	n'a ga n'am /	na ga n 
BO_T02_D2880b:221a-14	aa kra ma sa mu dra s'a ga ra tsa le me le /	aa kra ma sa mu dra sa ga ra tsa le me le 
BO_T02_D2880b:221a-15	p'i ki m'a ma h'a n'a ga te dza ba re sv'a h'a /	p ki ma ma ha na ga te dza ba re sva ha 
BO_T02_D2880b:221a-16	zhes nam mkha' lding gi rgyal po'i drag sngags kyis gsad pa'o //	zhes nam mkha lding gi rgyal po drag sngags kyis gsad ba 
BO_T02_D2880b:221a-17	aom na mo buddh'a ya /	aom na mo buddha ya 
BO_T02_D2880b:221a-18	n'a ge du tsunde mi li mi li //	na ge du tsunde mi li mi li 
BO_T02_D2880b:221a-19	bandha bandha n'a ga ni sv'a h'a zhes phur pa gdab pa'i sngags so //	bandha bandha na ga ni sva ha zhes phur ba gdab ba sngags so 
BO_T02_D2880b:221a-20	aom tsa ta tsa ta /	aom tsa ta tsa ta 
BO_T02_D2880b:221a-21	bi tsi ti bi tsa ta /	bi tsi ti bi tsa ta 
BO_T02_D2880b:221a-22	sha ta sha ta /	sha ta sha ta 
BO_T02_D2880b:221a-23	bi sha da /	bi sha da 
BO_T02_D2880b:221a-24	n'a ga bi sha da sv'a h'a /	na ga bi sha da sva ha 
BO_T02_D2880b:221a-25	klu 'bros pa'i sngags ai thi//	klu bros ba sngags ai 
