segmentnr	original	stemmed
BO_K12_D0727=D0745=D1000_H0677:75b-0	@75b rgya gar skad du /	rgya gar skad du 
BO_K12_D0727=D0745=D1000_H0677:75b-1	a'arya t'a ra bha tt'a ri ka n'a ma aashta sha ta kam/	aarya ta ra bha tta ri ka na ma aashta sha ta 
BO_K12_D0727=D0745=D1000_H0677:75b-2	bod skad du /	bod skad du 
BO_K12_D0727=D0745=D1000_H0677:75b-3	rje btsun ma 'phags ma sgrol ma'i mtshan brgya rtsa brgyad pa /	rje btsun ma phag ma sgrol ma mtshan brgya rtsa brgyad ba 
BO_K12_D0727=D0745=D1000_H0677:75b-4	rje btsun ma 'phags ma sgrol ma la phyag 'tshal lo //	rje btsun ma phag ma sgrol ma la phyag tshal lo 
BO_K12_D0727=D0745=D1000_H0677:75b-5	dpal ldan yid 'ong po ta la //	dpal ldan yid ng po ta la 
BO_K12_D0727=D0745=D1000_H0677:75b-6	sna tshogs khams kyis rnam par spras //	sna tshogs khams kyis rnam ba spras 
BO_K12_D0727=D0745=D1000_H0677:75b-7	sna tshogs ljon pas bkram pa ste /	sna tshogs ljon ba grem ba ste 
BO_K12_D0727=D0745=D1000_H0677:76a-0	@76a *// skye gnyis du ma sgra 'byin pa //	skye gnyis du ma sgra byin ba 
BO_K12_D0727=D0745=D1000_H0677:76a-1	'bab chu sna tshogs ku co che //	bab chu sna tshogs ku co che 
BO_K12_D0727=D0745=D1000_H0677:76a-2	ri dvags sna tshogs 'khrugs pa ste //	ri dvags sna tshogs khrugs ba ste 
BO_K12_D0727=D0745=D1000_H0677:76a-3	me tog sna tshogs rigs rnams kyis //	me tog sna tshogs rigs rnams kyis 
BO_K12_D0727=D0745=D1000_H0677:76a-4	kun tu dri yis bkang ba ste //	kun tu dri yis geng ba ste 
BO_K12_D0727=D0745=D1000_H0677:76a-5	sna tshogs yid 'ong 'bras bur ldan //	sna tshogs yid ng bras bur ldan 
BO_K12_D0727=D0745=D1000_H0677:76a-6	rkang pa drug pa glu yi sgra //	rkang ba drug ba glu yi sgra 
BO_K12_D0727=D0745=D1000_H0677:76a-7	mi'am ci yis glu snyan len //	mi ci yis glu snyan len 
BO_K12_D0727=D0745=D1000_H0677:76a-8	glang chen smyon pas yang dag khengs //	glang chen smyon ba yang dag kheng 
BO_K12_D0727=D0745=D1000_H0677:76a-9	rig 'dzin grub pa'i tshogs rnams dang // dri za rnams kyang glu len pa //	rig dzin grub ba tshogs rnams dang dri za rnams kyang glu len ba 
BO_K12_D0727=D0745=D1000_H0677:76a-10	thub pa 'dod chags bral rnams dang // byang chub sems dpa'i tshogs gzhan dang // sa bcu'i dbang phyug rnams dang ni //	thub ba dod chags bral rnams dang byang chub sems dpa tshogs gzhan dang sa chu dbang phyug rnams dang ni 
BO_K12_D0727=D0745=D1000_H0677:76a-11	'phags ma sgrol sogs lha mo rnams //	phag ma sgrol sogs lha mo rnams 
BO_K12_D0727=D0745=D1000_H0677:76a-12	rig pa'i rgyal mo stong rnams kyis //	rig ba rgyal mo stong rnams kyis 
BO_K12_D0727=D0745=D1000_H0677:76a-13	rtag tu legs par sten pa'o //	rtag tu legs ba sten ba 
