segmentnr	original	stemmed
BO_T16_D4420b:323a-64	kri ny'ata / kri ny'ast'am /	kri nyata kri nyast 
BO_T16_D4420b:323a-65	kri nya su:/ sogs so//	kri nya sogs 
BO_T16_D4420b:323b-0	@323b lrit la /	lrit la 
BO_T16_D4420b:323b-1	kri nvi shya ti /	kri nvi shya ti 
BO_T16_D4420b:323b-2	sogs so // de bzhin du /	sogs so de bzhin du 
BO_T16_D4420b:323b-3	lring la'ang / aa kri nvi shya ta /	lring la aa kri nvi shya ta 
BO_T16_D4420b:323b-4	sogs so / ` / dhi bi srog la'o zhes pa la'ang aa tang rnams sbyor te /	sogs so dhi bi srog la zhes ba la aa tang rnams sbyor te 
BO_T16_D4420b:323b-5	dhi nvi / kri nvi dag gi aa'ang ngos /	dhi nvi kri nvi dag gi aa ngos 
BO_T16_D4420b:323b-6	shnu'i phul la aub\ aa /	shnu bul la aub\ aa 
BO_T16_D4420b:323b-7	aita 'gro ba'i byings la num 'os //	aita gro ba byings la num s 
BO_T16_D4420b:323b-8	num a'a ga ma /	num aa ga ma 
BO_T16_D4420b:323b-9	aata kyi dbyi 'os aa phyis pas /	aata kyi byid s aa byid ba 
BO_T16_D4420b:323b-10	dhi nu zhes grub pa la lat sogs sbyar bas /	dhi nu zhes grub ba la lat sogs sbyor ba 
BO_T16_D4420b:323b-11	lat la / dhi no ti /	lat la dhi no ti 
BO_T16_D4420b:323b-12	sogs dang / ling la /	sogs dang ling la 
BO_T16_D4420b:323b-13	dhi nu y'ata /	dhi nu yata 
BO_T16_D4420b:323b-14	sogs so // lot la /	sogs so lot la 
BO_T16_D4420b:323b-15	dhi no tu /	dhi no tu 
BO_T16_D4420b:323b-16	sogs dang / lang la /	sogs dang lang la 
BO_T16_D4420b:323b-17	aa dhi no ta /	aa dhi no ta 
BO_T16_D4420b:323b-18	sogs so // lung la /	sogs so lung la 
BO_T16_D4420b:323b-19	num dang ait byin pas /	num dang ait byin ba 
BO_T16_D4420b:323b-20	aa dhi nv'i tta /	aa dhi nv tta 
BO_T16_D4420b:323b-21	aa dhi n'isht'am /	aa dhi nsht 
BO_T16_D4420b:323b-22	aa dhi nvi shu:/	aa dhi nvi 
BO_T16_D4420b:323b-23	sogs so // lit la /	sogs so lit la 
BO_T16_D4420b:323b-24	num byin gnyis brjod pa sogs kyi skyes bu dang po gsum la /	num byin gnyis rjod ba sogs kyi skye bu dang po gsum la 
BO_T16_D4420b:323b-25	di dhi nva /	di dhi nva 
BO_T16_D4420b:323b-26	di dhi nva tu:/	di dhi nva 
