segmentnr	original	stemmed
BO_K01_D0007B-2_H0008-2:387b-13	'di ni / gos kyi rab tu ldan pa zhes bya'o //	di ni gos kyi rab tu ldan ba zhes byed 
BO_K01_D0007B-2_H0008-2:387b-14	steng g-yogs kyi rab tu ldan pa gang zhe na /	steng g-yogs kyi rab tu ldan ba gang zhe na 
BO_K01_D0007B-2_H0008-2:387b-15	bcom ldan 'das kyis dge slong rnams la mal stan dgab pa'i phyir steng g-yogs gnyis su gsungs te /	joms ldan da kyis dge slong rnams la mal stan gebs ba phyir steng g-yogs gnyis su gsungs te 
BO_K01_D0007B-2_H0008-2:387b-16	stug na ni /	stug na ni 
BO_K01_D0007B-2_H0008-2:387b-17	chig rim / srab na ni /	chig rim srab na ni 
BO_K01_D0007B-2_H0008-2:387b-18	sbyar ma'o // 'di ni /	sbyor ma di ni 
BO_K01_D0007B-2_H0008-2:388a-0	steng g-yogs kyi rab tu ldan pa zhes @388a *//	steng g-yogs kyi rab tu ldan ba zhes 
BO_K01_D0007B-2_H0008-2:388a-1	bya'o; ;khab kyi rab tu ldan pa gang zhe na /	bya; ;khab kyi rab tu ldan ba gang zhe na 
BO_K01_D0007B-2_H0008-2:388a-2	bcom ldan 'das kyis dge slong rnams la gos 'tshem pa'i phyir lcags dang / 'khar ba dang / zangs dang / ra gan gyi khab gnang ste /	joms ldan da kyis dge slong rnams la gos tshem ba phyir lcags dang khar ba dang zangs dang ra gan gyi khab gnang ste 
BO_K01_D0007B-2_H0008-2:388a-3	'di ni / khab kyi rab tu ldan pa zhes bya'o //	di ni khab kyi rab tu ldan ba zhes byed 
BO_K01_D0007B-2_H0008-2:388a-4	khab ral gyi rab tu ldan pa gang zhe na /	khab ral gyi rab tu ldan ba gang zhe na 
BO_K01_D0007B-2_H0008-2:388a-5	bcom ldan 'das kyis dge slong rnams la khabs pa ba'i phyir khab ral gnang ste; 'di ni /	joms ldan da kyis dge slong rnams la khabs ba ba phyir khab ral gnang ste; di ni 
BO_K01_D0007B-2_H0008-2:388a-6	khab ral gyi rab tu ldan pa zhes bya'o ////	khab ral gyi rab tu ldan ba zhes byed 
BO_K01_D0007B-2_H0008-2:388a-7	'dul ba gzhung dam pa /	dul ba gzhung dam ba 
BO_K01_D0007B-2_H0008-2:388a-8	bam po lnga bcu pa /	bam po lnga chu ba 
BO_K01_D0007B-2_H0008-2:388a-9	gnas 'cha' ba'i rab tu ldan pa gang zhe na /	gnas cha ba rab tu ldan ba gang zhe na 
BO_K01_D0007B-2_H0008-2:388a-10	sangs rgyas bcom ldan 'das kyis glo bur du lhags pa'i dge slong ni /	sangs rgya joms ldan da kyis glo bur du lhags ba dge slong ni 
BO_K01_D0007B-2_H0008-2:388a-11	gnas bca' ba'i don gyi phyir dge 'dun gyi gtsug lag khang du 'ongs ma thag tu gnas ma bcas kyi bar du rkang pa'i rdul ma phyi zhig /	gnas chos ba don gyi phyir dge dun gyi gtsug lag khang du ngs ma thag tu gnas ma cha kyi ba du rkang ba rdul ma phyi jig 
BO_K01_D0007B-2_H0008-2:388a-12	chu snod ma len cig /	chu snod ma len cig 
BO_K01_D0007B-2_H0008-2:388a-13	ces gsungs pa dang / dge slong gzhan zhig glo bur du 'ongs pas gnas bca' ba'i don gyi phyir gtsug lag khang du 'ongs na /	ces gsungs ba dang dge slong gzhan jig glo bur du ngs ba gnas chos ba don gyi phyir gtsug lag khang du ngs na 
BO_K01_D0007B-2_H0008-2:388a-14	des bcom ldan 'das kyis dge slong glo bur du 'ongs pas gnas bca' ba'i don gyi phyir dge 'dun gyi gtsug lag khang du 'ongs na /	des joms ldan da kyis dge slong glo bur du ngs ba gnas chos ba don gyi phyir dge dun gyi gtsug lag khang du ngs na 
BO_K01_D0007B-2_H0008-2:388a-15	gnas ma bcas kyi bar du rkang pa'i rdul ma phyi zhig /	gnas ma cha kyi ba du rkang ba rdul ma phyi jig 
BO_K01_D0007B-2_H0008-2:388a-16	chu snod kyang ma len cig /	chu snod kyang ma len cig 
BO_K01_D0007B-2_H0008-2:388a-17	ces bslab pa'i gnas bcas so //	ces bslab ba gnas cha so 
BO_K01_D0007B-2_H0008-2:388a-18	zhes thos nas des gnas bca' ba'i phyir lus ngal /	zhes thos nas des gnas chos ba phyir lus ngal 
BO_K01_D0007B-2_H0008-2:388a-19	lus tshegs che /	lus tshegs che 
BO_K01_D0007B-2_H0008-2:388b-0	lus dub bzhin du phan tshun du @388b brgyugs pa las brgyal te sa la 'gyel nas 'das /	lus dub bzhin du phan tshun du rgyug ba las brgyal te sa la gyel nas da 
