segmentnr	original	stemmed
BO_K12_D0489=D0017_H0455=H0019:288a-0	@288a / /rgya gar skad du /	gar skad du 
BO_K12_D0489=D0017_H0455=H0019:288a-1	a'arya pradzany'a pa ra mi ta na ya sha ta pa nytsa sha ti k'a //	aarya pradzanya ba ra mi ta na ya sha ta ba nytsa sha ti ka 
BO_K12_D0489=D0017_H0455=H0019:288a-2	bod skad du /	bod skad du 
BO_K12_D0489=D0017_H0455=H0019:288a-3	'phags pa shes rab kyi pha rol tu phyin pa'i tshul brgya lnga bcu ba //	phag ba shes rab kyi pha rol tu phyin ba tshul brgya lnga chu ba 
BO_K12_D0489=D0017_H0455=H0019:288a-4	bcom ldan 'das shes rab kyi pha rol tu phyin pa la phyag 'tshal lo //	joms ldan da shes rab kyi pha rol tu phyin ba la phyag tshal lo 
BO_K12_D0489=D0017_H0455=H0019:288a-5	'di skad bdag gis thos pa'i dus gcig na /bcom ldan 'das de bzhin gshegs pa thams cad kyis mkhyen pa'i bye brag rnam pa tha dad pa dang ldan pa /	di skad bdag gis thos ba dus gcig na ldan da de bzhin gshegs ba thams cad kyis mkhyen ba bye brag rnam ba tha dad ba dang ldan ba 
BO_K12_D0489=D0017_H0455=H0019:288a-6	de bzhin gshegs pa rin po che thams cad kyi cod pan gyis /	de bzhin gshegs ba rin po che thams cad kyi cod pan gyis 
BO_K12_D0489=D0017_H0455=H0019:288a-7	khams gsum du dbang bcu rdzogs pa /	khams gsum du dbang chu rdzogs ba 
BO_K12_D0489=D0017_H0455=H0019:288a-8	de bzhin gshegs pa thams cad kyi ma /	de bzhin gshegs ba thams cad kyi ma 
BO_K12_D0489=D0017_H0455=H0019:288a-9	thams cad mkhyen pa'i ye shes dang ldan pa /	thams cad mkhyen ba ye shes dang ldan ba 
BO_K12_D0489=D0017_H0455=H0019:288a-10	rnal 'byor can chen po'i dbang phyug /	rnal byor can chen po dbang phyug 
BO_K12_D0489=D0017_H0455=H0019:288a-11	de bzhin gshegs pa thams cad kyi phyag rgyas chos thams cad kyi mnyam pa nyid thugs su chud pa /	de bzhin gshegs ba thams cad kyi phyag rgya chos thams cad kyi mnyam ba nyid thugs su chud ba 
BO_K12_D0489=D0017_H0455=H0019:288a-12	sna tshogs kyi bya ba mdzad de ma lus pa na sems can gyi khams lus pa med pa thams cad kyi re ba thams cad yongs su bskang ba'i 'phrin las mdzad pa /	sna tshogs kyi byed ba mdzad de ma lus ba na sems can gyi khams lus ba med ba thams cad kyi re ba thams cad yongs su skong ba phrin las mdzad ba 
BO_K12_D0489=D0017_H0455=H0019:288a-13	thugs rje chen po rnam par snang mdzad chen po /	thugs rje chen po rnam ba snang mdzad chen po 
BO_K12_D0489=D0017_H0455=H0019:288b-0	rtag pa khams gsum @288b gyi mnyam pa nyid la bzhugs pa /	rtag ba khams gsum gyi mnyam ba nyid la bzhugs ba 
BO_K12_D0489=D0017_H0455=H0019:288b-1	sku dang / gsung dang / thugs thams cad rdo rje de bzhin gshegs pa /	sku dang gsung dang thugs thams cad rdo rje de bzhin gshegs ba 
BO_K12_D0489=D0017_H0455=H0019:288b-2	lha'i rgyal po gzhan 'phrul dbang byed kyi gnas //	lha rgyal po gzhan phrul dbang byed kyi gnas 
BO_K12_D0489=D0017_H0455=H0019:288b-3	'dod pa'i khams thams cad na /	dod ba khams thams cad na 
BO_K12_D0489=D0017_H0455=H0019:288b-4	nor bu rin po che chen pos rab tu spras pa dang / ba dan kha dog sna tshogs dril bu brgyus pa rlung gis bskyod pa dang / me tog gi phreng ba dang / rnga ma dang / rgyan phreng dang / chun 'phyang dang / zla ba lta bus mdzes par byas pa //	nor bu rin po che chen pos rab tu spras ba dang ba dan kha dog sna tshogs dril bu rgyud ba rlung gis skyod ba dang me tog gi phreng ba dang rnga ma dang rgyan phreng dang chun phyang dang zla ba lta bud mdzes ba byed ba 
BO_K12_D0489=D0017_H0455=H0019:288b-5	de bzhin gshegs pa thams cad bzhugs pa /	de bzhin gshegs ba thams cad bzhugs ba 
BO_K12_D0489=D0017_H0455=H0019:288b-6	shes pa bstod pa na /	shes ba bstod ba na 
BO_K12_D0489=D0017_H0455=H0019:288b-7	byang chub sems dpa' bye ba phrag brgya dang thabs cig tu bzhugs pa la 'di lta ste /	byang chub sems dpa bye ba phrag brgya dang thabs cig tu bzhugs ba la di lta ste 
BO_K12_D0489=D0017_H0455=H0019:288b-8	byang chub sems dpa' sems dpa' chen po lag na rdo rje dang / spyan ras gzigs dbang phyug dang / nam mkha'i snying po dang / rdo rje khu tshur dang / 'jam dpal dang / sems bskyed ma thag tu chos kyi 'khor lo bskor ba dang /	byang chub sems dpa sems dpa chen po lag na rdo rje dang spyan ras gzigs dbang phyug dang nam mkha snying po dang rdo rje khu tshur dang jam dpal dang sems skyed ma thag tu chos kyi khor lo skor ba dang 
BO_K12_D0489=D0017_H0455=H0019:288b-9	nam mkha' mdzod dang / byang chub sems dpa' sems dpa' chen po bdud kyi stobs thams cad rab tu 'joms pa dang / de dag la sogs pa byang chub sems dpa' bye ba phrag brgya dang thabs cig ste /	nam mkha mdzod dang byang chub sems dpa sems dpa chen po bdud kyi stobs thams cad rab tu joms ba dang de dag la sogs ba byang chub sems dpa bye ba phrag brgya dang thabs cig ste 
BO_K12_D0489=D0017_H0455=H0019:288b-10	yongs su bskor cing mdun gyis bltas nas chos ston te /	yongs su skor cing mdun gyis lta nas chos ston te 
BO_K12_D0489=D0017_H0455=H0019:288b-11	shes rab kyi pha rol tu phyin pa'i tshul chos thams cad kyi ngo bo nyid rnam par dag pa'i sgo zhes bya ba /	shes rab kyi pha rol tu phyin ba tshul chos thams cad kyi ngo bo nyid rnam ba dag ba sgo zhes byed ba 
BO_K12_D0489=D0017_H0455=H0019:288b-12	thog mar dge ba /	thogs mar dge ba 
BO_K12_D0489=D0017_H0455=H0019:289a-0	bar du @289a *//	ba du 
BO_K12_D0489=D0017_H0455=H0019:289a-1	dge ba / tha mar dge ba /	dge ba tha mar dge ba 
BO_K12_D0489=D0017_H0455=H0019:289a-2	don bzang po /	don bzang po 
