segmentnr	original	stemmed
BO_T17_O2MS163914CZ188192:0	@#/_/'phags pa 'jam dpal gyi mtshhan	ba jam dpal gyi mtshhan 
BO_T17_O2MS163914CZ188192:1	yang dag par brjod pa'i 'khor	yang dag ba rjod ba khor 
BO_T17_O2MS163914CZ188192:2	lo'i rim pa/sa \u0f72	lo rim \u0f72 
BO_T17_O2MS163914CZ188192:3	@go/ @@#/_/rgya gar skad du/_ar+ya many+dzu shri na ma sang+gi ti tshakra kra mi/	gar skad many+dzu shri na ma sang+gi ti tshakra kra 
BO_T17_O2MS163914CZ188192:4	bod skad du/_'phags pa 'jam dpal gyi mtshhan yang dag par brjod pa'i	bod skad ba jam dpal gyi mtshhan yang dag ba rjod ba 
BO_T17_O2MS163914CZ188192:5	'khor lo'i rim pa/_bcom ldan 'das 'jam dpal ye shes sems dpa' la	khor lo rim ldan da jam dpal ye shes sems dpa la 
BO_T17_O2MS163914CZ188192:6	phyag 'tshhal lo/_/thog med dus mtha' nam mkha' bsod nams dpag med pa//	phyag tshhal med dus mtha nam mkha bsod nams dpog med 
BO_T17_O2MS163914CZ188192:7	mkha' mnyam sems can sgrol phyir thams cad mkhyen bsngos pa'i/_/'jam	mkha mnyam sems can sgrol phyir thams cad mkhyen sngo 
BO_T17_O2MS163914CZ188192:8	dbyangs mtshhan ldan dus gsum bde gshegs dge ba'i bshes gnyen byang chub	dbyangs mtshhan ldan dus gsum bde gshegs dge ba bshes gnyen byang chub 
BO_T17_O2MS163914CZ188192:9	sems dpa'i tshhul/_/kun du gzigs par lung bstan bsam gyis mi khyab de	sems dpa du gzigs ba lung ston bsam gyis mi khyab de 
BO_T17_O2MS163914CZ188192:10	la bdag phyag 'tshhal/_/bla ma dam pa'i gzhung lugs las/_/man ngag rgyas	la bdag phyag ma dam ba gzhung lugs ngag rgya 
BO_T17_O2MS163914CZ188192:11	par rab bstan pa/_/snyigs ma'i sems can blo zhan rnams/_/rnam rtog	ba rab ston ma sems can blo zhan rtogs 
BO_T17_O2MS163914CZ188192:12	g.yeng bas mos pa nyung /_/de la dran phyir bsdus pa 'di/_/grub dang lung	g.yeng ba mos ba nyung la dran phyir sdud ba dang lung 
BO_T17_O2MS163914CZ188192:13	bstan ma thob kyang /_/sman pa phan par zhugs pa bzhin/_/bdag gis 'di	ston ma thob kyang ba phan ba jug ba gis di 
