segmentnr	original	stemmed
BO_T17_O2MS163914CZ187235:0	@ga  @#/_/sgrol ma'i nang gi gtor chog bzhugs/	ma nang gi thor chog 
BO_T17_O2MS163914CZ187235:1	@##/_/rje btshun ma sgrol ma la phyag 'tshhal lo/_/gtor ma gtong bar	btshun ma sgrol ma la phyag tshhal ma gtong ba 
BO_T17_O2MS163914CZ187235:2	'dod pa yis/_/mtshhan ldan bkra shis snod du ni/_/sha dang bdud rtshi sna lnga dang /_/khrag dang chang sna tshhogs kyis dgang /_/rlung dang sgyed pu me yis	dod ba ldan bkra shis snod du dang bdud rtshi sna lnga dang dang chang sna tshhogs kyis geng dang sgyed pu me yis 
BO_T17_O2MS163914CZ187235:3	bskol/_/sku gsung thugs sngags sbyangs nas ni/_/rang mdun 'khor lo	gsung thugs sngags sbyong nas mdun khor lo 
BO_T17_O2MS163914CZ187235:4	mchod nas ni/_/sngags kyis btab la 'dod gsol gdab/_/bshags dang dge ba'i rtsha ba bsngo/_/namahsarba bud+d+ha bo d+hi satwa na/_/he he b+ha ga ba ti/	mchod nas kyis debs la dod gsol dang dge ba rtsha ba bud+d+ha bo d+hi satwa he b+ha ga ba 
BO_T17_O2MS163914CZ187235:5	ma ha satwa sarba bud+d+ha/_a ba lo ki ti/_ ma bi lo pa ta ra e ka ka ti/	ma ha satwa sarba ba lo ki ma bi lo ba ta ra e ka ka 
BO_T17_O2MS163914CZ187235:6	i rda ba bo gr-ih+na pa ya hum/_sarba bi sa re swa ha/_hum pad+ma rigs kyi lha tshhogs	i rda ba bo gr-ih+na ba ya bi sa re swa pad+ma rigs kyi lha tshhogs 
BO_T17_O2MS163914CZ187235:7	dang /_/thugs rje chen po spyan ras gzigs/_/rje btshun sgrol ma ral gcig ma//	dang rje chen po spyan ras btshun sgrol ma ral gcig 
BO_T17_O2MS163914CZ187235:8	mchod pa dam pa 'bul ba ni/_/dkar mo dang ni stobs chen mo/_/rtshub mo	mchod ba dam ba bul ba mo dang ni stobs chen mo 
BO_T17_O2MS163914CZ187235:9	dang ni rlag byed ma/_/nag mo mtshhan mo nag mo dang /_/srung ba mo dang sbed sbed	dang ni rlag byed mo mtshhan mo nag mo dang ba mo dang sbed sbed 
