segmentnr	original	stemmed
BO_K12_D0841(1-8)-5_H0805-5:312b-0	@312b rgya gar skad du /	rgya gar skad du 
BO_K12_D0841(1-8)-5_H0805-5:312b-1	ta th'a ga ta panytsa buddha na ma /	ta tha ga ta panytsa buddha na ma 
BO_K12_D0841(1-8)-5_H0805-5:312b-2	bod skad du /	bod skad du 
BO_K12_D0841(1-8)-5_H0805-5:312b-3	rigs lnga bde bar gshegs pa la phyag 'tshal lo //	rigs lnga bde ba gshegs ba la phyag tshal lo 
BO_K12_D0841(1-8)-5_H0805-5:312b-4	ma h'a yo ga'i don du sgrub pa'i thabs 'di bstan to //	ma ha yo ga don du sgrub ba thabs di ston to 
BO_K12_D0841(1-8)-5_H0805-5:312b-5	ri ni nyams dga' mdangs bzang ba'i; ;yid 'ong gnas su 'dug nas ni //	ri ni nyams dga mdangs bzang ba; ;yid ng gnas su dug nas ni 
BO_K12_D0841(1-8)-5_H0805-5:312b-6	byin brlabs mtshams bcad brtan byas nas //	byin brlabs mtshams gcod brtan byed nas 
BO_K12_D0841(1-8)-5_H0805-5:312b-7	dkyil 'khor 'dom gang gru bzhi pa //	dkyil khor dom gang gru bzhi ba 
BO_K12_D0841(1-8)-5_H0805-5:312b-8	dri sna lnga yis mandal bya'o //	dri sna lnga yis mandal byed 
BO_K12_D0841(1-8)-5_H0805-5:312b-9	thig bzhi btab pas dkyil 'khor brgyad //	thig bzhi debs ba dkyil khor brgyad 
BO_K12_D0841(1-8)-5_H0805-5:312b-10	mandal brgyad pa'i gzhung bzhin bri //	mandal brgyad ba gzhung bzhin bri 
BO_K12_D0841(1-8)-5_H0805-5:312b-11	de yi rtse mo brgyad la yang //	de yi rtse mo brgyad la yang 
BO_K12_D0841(1-8)-5_H0805-5:312b-12	yid bzhin nor bu 'bar ba bri //	yid bzhin nor bu bar ba bri 
BO_K12_D0841(1-8)-5_H0805-5:312b-13	de yi dbus su bsam pa yang //	de yi dbus su bsam ba yang 
BO_K12_D0841(1-8)-5_H0805-5:313a-0	srid @313a *// gsum bhandha bzang kong yug /	srid gsum bhandha bzang kong yug 
BO_K12_D0841(1-8)-5_H0805-5:313a-1	ye nas ma bcos rang byung snod //	ye nas ma chos rang byung snod 
BO_K12_D0841(1-8)-5_H0805-5:313a-2	dpal dang ldan pa'i snod bzhag la //	dpal dang ldan ba snod jog la 
BO_K12_D0841(1-8)-5_H0805-5:313a-3	de yi nang du blugs pa'i sman //	de yi nang du blugs ba sman 
BO_K12_D0841(1-8)-5_H0805-5:313a-4	ye nas rang byung bdud rtsi lnga //	ye nas rang byung bdud rtsi lnga 
BO_K12_D0841(1-8)-5_H0805-5:313a-5	sha chen bshang gci khu ba khrag /	sha chen bshang gci khu ba khrag 
BO_K12_D0841(1-8)-5_H0805-5:313a-6	dag pa'i rgyu ste bdud rtsi'i dngos //	dag ba rgyu ste bdud rtsi dngos 
BO_K12_D0841(1-8)-5_H0805-5:313a-7	stong las sbyar bas ye nas dag /	stong las sbyor ba ye nas dag 
BO_K12_D0841(1-8)-5_H0805-5:313a-8	btag dang bcag dang gzhal ba yi //	thag dang chag dang jal ba yi 
BO_K12_D0841(1-8)-5_H0805-5:313a-9	nyi zla gsal ba'i dkyil 'khor du //	nyi zla gsal ba dkyil khor du 
BO_K12_D0841(1-8)-5_H0805-5:313a-10	'bru lnga ye shes 'phro 'du las //	bru lnga ye shes phro du las 
