segmentnr	original	stemmed
BO_K12_D0616=D1083_H0641:207b-0	@207b #// rgya gar skad du /	rgya gar skad du 
BO_K12_D0616=D1083_H0641:207b-1	a'arya sapta be ta da ka n'a ma dh'a ra n'i /	aarya sapta be ta da ka na ma dha ra n 
BO_K12_D0616=D1083_H0641:207b-2	bod skad du /	bod skad du 
BO_K12_D0616=D1083_H0641:207b-3	'phags pa ro langs bdun pa zhes bya ba'i gzungs /	phag ba ro ldang bdun ba zhes byed ba gzungs 
BO_K12_D0616=D1083_H0641:207b-4	sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K12_D0616=D1083_H0641:207b-5	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K12_D0616=D1083_H0641:207b-6	bcom ldan 'das rgyal po'i khab na bya rgod kyi phung po'i ri la dge slong nyis brgya lnga bcu'i dge slong gi dge 'dun chen po dang thabs gcig tu bzhugs te /	joms ldan da rgyal po khab na byed rgod kyi phung po ri la dge slong nyis brgya lnga chu dge slong gi dge dun chen po dang thabs gcig tu bzhugs te 
BO_K12_D0616=D1083_H0641:208a-0	phyi bzhin 'brang ba'i @208a *//	phyi bzhin brang ba 
BO_K12_D0616=D1083_H0641:208a-1	dge sbyong tshe dang ldan pa kun dga' bo dang yang thabs cig go /	dge sbyong tshe dang ldan ba kun dga bo dang yang thabs cig go 
BO_K12_D0616=D1083_H0641:208a-2	de'i tshe na mu stegs can kun tu rgyu ba rnams kyis bcom ldan 'das la gnod par bya ba'i phyir ro langs chen po bdun btang bar gyur to //	de tshe na mu stegs can kun tu rgyu ba rnams kyis joms ldan da la gnod ba byed ba phyir ro ldang chen po bdun gtong ba gyur to 
BO_K12_D0616=D1083_H0641:208a-3	de dag bcom ldan 'das kyi thad du song ba las de dag gis glags ma rnyed /	de dag joms ldan da kyi thad du gro ba las de dag gis glags ma rnyed 
BO_K12_D0616=D1083_H0641:208a-4	dmigs pa ma rnyed do //	dmigs ba ma rnyed do 
BO_K12_D0616=D1083_H0641:208a-5	de dag gis glags ma rnyed /	de dag gis glags ma rnyed 
