segmentnr	original	stemmed
BO_T02_D1793-2:144b-10	de nyid kyis ni gsal bar mtshon //	de nyid kyis ni gsal ba mtshon 
BO_T02_D1793-2:144b-11	zhes sngar bshad pas so //	zhes sngar chad ba so 
BO_T02_D1793-2:144b-12	bdag gi ston par byed pa zhes pa ni phyag rgya las gzhan gyi mtshon pa'i thabs med do //	bdag gi ston ba byed ba zhes ba ni phyag rgya las gzhan gyi mtshon ba thabs med do 
BO_T02_D1793-2:144b-13	ji skad du /	ji skad du 
BO_T02_D1793-2:144b-14	rang dang gzhan gyi don grub phyir //	rang dang gzhan gyi don grub phyir 
BO_T02_D1793-2:144b-15	'khor ba ru ni thabs gzhan med //	khor ba ru ni thabs gzhan med 
BO_T02_D1793-2:144b-16	chos rnams thams cad gnyis med pa //	chos rnams thams cad gnyis med ba 
BO_T02_D1793-2:144b-17	gnyis kyi ngo bo bstan pa ste //	gnyis kyi ngo bo ston ba ste 
BO_T02_D1793-2:144b-18	de phyir rtag tu khyod kyis ni //	de phyir rtag tu khyod kyis ni 
BO_T02_D1793-2:144b-19	'khor bar bral bar mi bya'o //	khor ba bral ba mi byed 
BO_T02_D1793-2:144b-20	zhes 'byung ngo //	zhes byung ngo 
BO_T02_D1793-2:144b-21	'dod chags ni snang ba mched pa'o //	dod chags ni snang ba mched ba 
BO_T02_D1793-2:144b-22	zhe sdang ni snang ba'i ye shes so //	zhe sdang ni snang ba ye shes so 
BO_T02_D1793-2:144b-23	gti mug ni ma rig pa ste de nyid snang ba nye bar thob pa'o //	gti mug ni ma rig ba ste de nyid snang ba nye ba thob ba 
BO_T02_D1793-2:144b-24	de rnams kyi rnam par dag pa ni sngar bshad pa'i rim pas bkag pa'o //	de rnams kyi rnam ba dag ba ni sngar chad ba rim ba gog ba 
BO_T02_D1793-2:144b-25	de nyid ni thabs te nges so //	de nyid ni thabs te nges so 
BO_T02_D1793-2:144b-26	rdo rje sems dpa'i tshe dang srog stsol bas zhes pa ni rdo rje sems dpa' ste 'od gsal ba'o //	rdo rje sems dpa tshe dang srog stsol ba zhes ba ni rdo rje sems dpa ste d gsal ba 
BO_T02_D1793-2:144b-27	de nyid kyis dngos po thams cad khyab pas tshe dang 'dra bas na tshe'o //	de nyid kyis dngos po thams cad khyab ba tshe dang dra ba na tshe 
BO_T02_D1793-2:144b-28	spro ba dang bcas pas de nyid srog gi dbang po dang 'dra ba'o //	spro ba dang cha ba de nyid srog gi dbang po dang dra ba 
BO_T02_D1793-2:144b-29	stsol bas ni de sbyin pas so //	stsol ba ni de sbyin ba so 
BO_T02_D1793-2:144b-30	gson par mdzod cig ces pa ni rjes su gzung bar mdzod cig go //	gson ba mdzod cig ces ba ni rjes su gzung ba mdzod cig go 
BO_T02_D1793-2:145a-0	tshig gi don ni 'di yin te 'od gsal ba'i @145a * //	tshig gi don ni di yin te d gsal ba 
BO_T02_D1793-2:145a-1	ting nge 'dzin las langs te /	ting nge dzin las ldang te 
BO_T02_D1793-2:145a-2	snyoms par zhugs pa'i sgo nas bdag kyang 'od gsal ba la snyoms par zhugs shig go //	snyom ba jug ba sgo nas bdag kyang d gsal ba la snyom ba jug shig go 
BO_T02_D1793-2:145a-3	de nyid kyi phyir dgongs so zhes smos so //	de nyid kyi phyir dgongs so zhes smos so 
BO_T02_D1793-2:145a-4	de ltar zhes bya ba la sogs pas lha mo bzhis bskul ba gsal nas 'gro ba'i don mdzad pa'i phyir bcom ldan 'das kyis 'od gsal ba'i ting nge 'dzin las ldang bar bstan to //	de ltar zhes byed ba la sogs ba lha mo bzhis skul ba gsal nas gro ba don mdzad ba phyir joms ldan da kyis d gsal ba ting nge dzin las ldang ba ston to 
BO_T02_D1793-2:145a-5	tshangs pa'i gnas zhes pa ni byams pa la sogs pa'i ngo bo nyid kyis so //	tshangs ba gnas zhes ba ni byams ba la sogs ba ngo bo nyid kyis so 
BO_T02_D1793-2:145a-6	yang dag par bskul ba zhes pa ni bskul bar bya'o //	yang dag ba skul ba zhes ba ni skul ba byed 
BO_T02_D1793-2:145a-7	gang gi phyir thog ma ma yin pa'i dus nas tshad med pa la goms pas bcom ldan 'das sangs rgyas rnams kyis lhun gyis 'gro ba'i don mdzad de /	gang gi phyir thogs ma ma yin ba dus nas tshad med ba la goms ba joms ldan da sangs rgya rnams kyis lhun gyis gro ba don mdzad de 
BO_T02_D1793-2:145a-8	dgon pa'i zhib las grong mthar //	dgon ba zhib las grong mthar 
BO_T02_D1793-2:145a-9	mtsho las rig pa'i klu bzhin no //	mtsho las rig ba klu bzhin no 
BO_T02_D1793-2:145a-10	'dul ba'i don du thugs rje yis //	dul ba don du thugs rje yis 
BO_T02_D1793-2:145a-11	rig pas bzhin du dgug par byas //	rig ba bzhin du gugs ba byed 
BO_T02_D1793-2:145a-12	dam pa zhi ba la zhugs kyang //	dam ba zhi ba la jug kyang 
BO_T02_D1793-2:145a-13	thugs rjes gzhan dbang nyid kyis ni //	thugs rjes gzhan dbang nyid kyis ni 
BO_T02_D1793-2:145a-14	bzo ba'i rigs la sogs rnams su //	bzo ba rigs la sogs rnams su 
BO_T02_D1793-2:145a-15	khyod ni brtan pas gnas par byas //	khyod ni brtan ba gnas ba byed 
BO_T02_D1793-2:145a-16	zhes 'byung ngo //	zhes byung ngo 
BO_T02_D1793-2:145a-17	de nyid kyi phyir bstan pa sngon gyi smon lam zhes bya ba la sogs pa ni //	de nyid kyi phyir ston ba sngon gyi smon lam zhes byed ba la sogs ba ni 
BO_T02_D1793-2:145a-18	'gro la phan phyir sangs rgyas 'grub par shog //	gro la phan phyir sangs rgya grub ba shog 
BO_T02_D1793-2:145a-19	ces bya ba dang po sangs rgyas rnams kyi dam bcas pa de nyid smon lam mo //	ces byed ba dang po sangs rgya rnams kyi dam cha ba de nyid smon lam mo 
BO_T02_D1793-2:145a-20	de'i rgyun ni thugs kyi rgyud la rtag tu gnas pa'o //	de rgyun ni thugs kyi brgyud la rtag tu gnas ba 
BO_T02_D1793-2:145a-21	de'i shugs ni nus pa ste /	de shugs ni nus ba ste 
BO_T02_D1793-2:145a-22	lhun gyis de'i ngo bo nyid du bskal pa mtha' yas pas byang chub thob pas sangs rgyas bcom ldan 'das rnams snga ma'i smon lam gyi bag chags mi gtong ste rus sbal dmar po bzhin no //	lhun gyis de ngo bo nyid du bskal ba mtha yas ba byang chub thob ba sangs rgya joms ldan da rnams snga ma smon lam gyi bag chags mi gtong ste rus sbal dmar po bzhin no 
BO_T02_D1793-2:145a-23	nyes pa ma lus skyed byed 'jig tshogs lta bu'i bud shing gang sreg pa //	nyes ba ma lus skyed byed jig tshogs lta bu bud shing gang sreg ba 
BO_T02_D1793-2:145a-24	rang gzhan dbye ba'i yang rnams nges bton de rnams kyi ni skyon mi 'byung //	rang gzhan byed ba yang rnams nges don de rnams kyi ni skyon mi byung 
BO_T02_D1793-2:145a-25	gnyid med pa yang rig bzhin snying rjes sgyu ma'i skyes bu las rnams su //	rnyid med ba yang rig bzhin snying rjes sgyu ma skye bu las rnams su 
BO_T02_D1793-2:145a-26	blo bzang s'a ma'i smon lam gyis ni bskul te 'khor ba'i shugs bzhin no //	blo bzang sa ma smon lam gyis ni skul te khor ba shugs bzhin no 
BO_T02_D1793-2:145a-27	zhes 'byung ngo //	zhes byung ngo 
BO_T02_D1793-2:145b-0	stong pa nyid kyi rnal 'byor las bzhengs nas zhes pa ni 'od gsal ba'i ting nge 'dzin las cig car ram snang ba nye bar thob pa la sogs pa'i @145b rim gyis bdag la byin gyis brlab pa'i mtshan nyid kyi ye shes kyi sku'am /	stong ba nyid kyi rnal byor las bzhengs nas zhes ba ni d gsal ba ting nge dzin las cig car ram snang ba nye ba thob ba la sogs ba rim gyis bdag la byin gyis brlab ba mtshan nyid kyi ye shes kyi sku 
BO_T02_D1793-2:145b-1	rim pa bzhi pa las gsung pa'i de kho na nyid las cig car du zung du 'jug pa'i bdag nyid can gyi rdo rje'i sku bzhengs nas so //	rim ba bzhi ba las gsung ba de kho na nyid las cig car du zung du jug ba bdag nyid can gyi rdo rje sku bzhengs nas so 
BO_T02_D1793-2:145b-2	dpal shin tu dga' ba zhes bya ba la sogs pa ni dpal gyi sgras mtshon nas bsod nams dang ye shes kyis tshogs gzung ngo //	dpal shin tu dga ba zhes byed ba la sogs ba ni dpal gyi sgras mtshon nas bsod nams dang ye shes kyis tshogs gzung ngo 
