segmentnr	original	stemmed
BO_T17_MW1PD95844_1262:0	@#/_/glu @#/_/bdag ni 'dug ste shi dang ma shi med/_/bdag gi yid la don	ni dug ste chi dang ma chi gi yid la don 
BO_T17_MW1PD95844_1262:1	gcig 'jug pa med/_//ka na'i ral gris zhags pa rab bcad pas/_/da lta	gcig jug ba na ral gris zhags ba rab gcod lta 
BO_T17_MW1PD95844_1262:2	re ba med de ba da smra/_/gru gnyis sna la rkang pa rab bzhag nas/_/lus	re ba med de ba da gnyis sna la rkang ba rab jog 
BO_T17_MW1PD95844_1262:3	'gyal gyur te sems la sdug bsngal skye/_/ka na'i ral gris zhags pa rab	gyal gyur te sems la sdug sngal na ral gris zhags ba rab 
BO_T17_MW1PD95844_1262:4	bcad pas/_/da lta re ba med de ba da smra/_/mi gang rtsha ba khron pas bskor	gcod lta re ba med de ba da gang rtsha ba khron ba skor 
BO_T17_MW1PD95844_1262:5	gyur kyang /_/shing gcig la ni 'bras bu gnyis mi 'byung /_/ka na'i ral	gyur kyang gcig la ni bras bu gnyis mi byung na ral 
BO_T17_MW1PD95844_1262:6	gris zhags pa rab bcad pas/_/da lta re ba med de ba da smra/_/mig	gris zhags ba rab gcod lta re ba med de ba da 
BO_T17_MW1PD95844_1262:7	sman ri lu bcud len rkang dngos grub/_/de rnams la ni bdag ci le lor	sman ri lu bcud len rkang dngos rnams la ni bdag ci le lor 
BO_T17_MW1PD95844_1262:8	gyur/_/ka na'i ral gris zhags pa rab bcad pas/_/da lta re ba med	na ral gris zhags ba rab gcod lta re ba med 
BO_T17_MW1PD95844_1262:9	de ba da smra/_/rdzogs so//	de ba da 
