segmentnr	original	stemmed
BO_T11_D4254:259a-0	@259a # // rgya gar skad du /	rgya gar skad du 
BO_T11_D4254:259a-1	ksha na bha ga siddhi ba n'a ma /	ksha na bha ga siddhi ba na ma 
BO_T11_D4254:259a-2	bod skad du /	bod skad du 
BO_T11_D4254:259a-3	skad cig ma 'jig pa grub pa'i rnam par 'grel pa /	skad cig ma jig ba grub ba rnam ba grel ba 
BO_T11_D4254:259a-4	'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	jam dpal gzhon nur gyur ba la phyag tshal lo 
BO_T11_D4254:259a-5	skad cig 'jig pa grub par byed pa'i tshad ma'i rgyu can 'gog pa'i thabs shes par bya ba'i phyir de brjod pa la gzhung nyung dus bde blag tu gzung bar bya ba'i don tu rab tu byed pa 'di brtsams so //	skad cig jig ba grub ba byed ba tshad ma rgyu can gog ba thabs shes ba byed ba phyir de rjod ba la gzhung nyung dus bde blag tu gzung ba byed ba don tu rab tu byed ba di brtsams so 
BO_T11_D4254:259a-6	de la grangs can la sogs pa rgol ba'i tshigs kyi phogs snga mas sun dbyung ba'i don du 'dus byas thams cad ces bya ba la sogs pa grub pa'i mtha' rjes su rjod par byed do //	de la grangs can la sogs ba rgol ba tshigs kyi phogs snga mas sun byin ba don du du byed thams cad ces byed ba la sogs ba grub ba mtha rjes su rjod ba byed do 
BO_T11_D4254:259a-7	rgyu dang rkyen tshogs pas skyed pa'i phyogs 'dus nas byas pa ni 'dus byas rnams te /	rgyu dang rkyen tshogs ba skyed ba phyogs du nas byed ba ni du byed rnams te 
BO_T11_D4254:259a-8	byas pa zhes bya ba'i don to //	byed ba zhes byed ba don to 
BO_T11_D4254:259b-0	blo dang me lce la sogs pa dus gcig zhig pa ma yin pa de dag cung zad kyang logs @259b par rtog pa med kyi bye brag med pa yin no zhes khyad par nye bar blangs pa yin no //	blo dang me lce la sogs ba dus gcig jig ba ma yin ba de dag cung zad kyang logs ba rtogs ba med kyi bye brag med ba yin no zhes khyad ba nye ba blangs ba yin no 
BO_T11_D4254:259b-1	da ni de la zhes bya ba la sogs pas skyon rnams kyi rim pa ston pa yin no //	da ni de la zhes byed ba la sogs ba skyon rnams kyi rim ba ston ba yin no 
BO_T11_D4254:259b-2	grub pa'i mtha' mngon par 'dod pa'i skad cig gis sgra'i don 'jig rten la rab tu ma grags na de'i rjes su 'gro ba skad cig ma'i sgra'i don ma grub po //	grub ba mtha mngon ba dod ba skad cig gis sgra don jig rten la rab tu ma grags na de rjes su gro ba skad cig ma sgra don ma grub po 
BO_T11_D4254:259b-3	de'i phyir khyad par ma grub pa'i phyogs kyi skyon yin no zhes bsams pa'o //	de phyir khyad ba ma grub ba phyogs kyi skyon yin no zhes bsams ba 
