segmentnr	original	stemmed
BO_T11_D4226-3:306a-4	gzhan gyi zhes khongs su 'di 'gog pa ni ma yin zhes bya ba'o //	gzhan gyi zhes khongs su di gog ba ni ma yin zhes byed ba 
BO_T11_D4226-3:306a-5	me yang yin la sreg par byed pa ni ma yin no zhes de ltar rtogs pa 'ga' yang med pa'i phyir ro //	me yang yin la sreg ba byed ba ni ma yin no zhes de ltar rtogs ba ga yang med ba phyir ro 
BO_T11_D4226-3:306a-6	de lta ma yin pa la zhes bya ba ni phyi rol ma yin pa la'o //	de lta ma yin ba la zhes byed ba ni phyi rol ma yin ba la 
BO_T11_D4226-3:306a-7	de ltar zhes bya ba ni phyi rol du'o //	de ltar zhes byed ba ni phyi rol du 
BO_T11_D4226-3:306a-8	pha rol gyi 'jig rten gyi tha snyad ces smras so //	pha rol gyi jig rten gyi tha snyad ces smras so 
BO_T11_D4226-3:306a-9	gal te 'jig rten gyi tha snyad la mi ltos na de'i tshe don bya ba med pas ji ltar mi bde bar 'gyur zhes mnos pa'o //	gal te jig rten gyi tha snyad la mi ltos na de tshe don byed ba med ba ji ltar mi bde ba gyur zhes mno ba 
BO_T11_D4226-3:306a-10	don nyid kyang zhes ba ni myong ba ni gdon mi za bar khas blang bar bya ba yin te /	don nyid kyang zhes ba ni myong ba ni don mi za ba khas blang ba byed ba yin te 
BO_T11_D4226-3:306a-11	de ltar ma yin na don yang khas blang bar mi 'thad pa'i phyir ro //	de ltar ma yin na don yang khas blang ba mi thad ba phyir ro 
BO_T11_D4226-3:306a-12	myong ba'i dngos po khas len na yang thams cad rang rig pa nyid yin te gzhan mi 'thad pa'i phyir ro //	myong ba dngos po khas len na yang thams cad rang rig ba nyid yin te gzhan mi thad ba phyir ro 
BO_T11_D4226-3:306a-13	de la zhes bya ba ni mun khung na'o //	de la zhes byed ba ni mun khung na 
BO_T11_D4226-3:306a-14	'di la brjod pa ni tshogs pa gcig pa zhes bya ba'o //	di la rjod ba ni tshogs ba gcig ba zhes byed ba 
BO_T11_D4226-3:306a-15	de lta na ma yin no zhes bya ba ni /	de lta na ma yin no zhes byed ba ni 
BO_T11_D4226-3:306a-16	mun pa'i gnas skabs na bum pa gnas pa ma yin no //	mun ba gnas skabs na bum ba gnas ba ma yin no 
BO_T11_D4226-3:306a-17	de lta bu nyid ces bya ba ni mar me'i dkyil 'khor tshogs pa kho na rgyu yin no snyam na /	de lta bu nyid ces byed ba ni mar me dkyil khor tshogs ba kho na rgyu yin no snyam na 
BO_T11_D4226-3:306a-18	'di la brjod pa ni ma yin te zhes bya ba'o //	di la rjod ba ni ma yin te zhes byed ba 
BO_T11_D4226-3:306a-19	sngon po la sogs pa ni ser po la sogs pa ltos pa nyid 'dzin pa ma yin te /	sngon po la sogs ba ni ser po la sogs ba ltos ba nyid dzin ba ma yin te 
BO_T11_D4226-3:306a-20	'ba' zhig kyang 'dzin pa'i phyir ro //	ba jig kyang dzin ba phyir ro 
