segmentnr	original	analyzed	translated
['BO_K06_D0034_H0035:403b-0']	@403b / /rgya gar skad du /	@403b / /rgya gar skad du /	In Sanskrit:
['BO_K06_D0034_H0035:403b-1']	mah'a sa ma ya s'u tra /	mah'a sa ma ya s'u tra /	Mahāsamayasūtra
['BO_K06_D0034_H0035:403b-2']	bod skad du /	bod skad du /	In Tibetan:
['BO_K06_D0034_H0035:403b-3']	'dus pa chen po'i mdo /	'dus pa chen po'i mdo /	The Great Assembly Sūtra
['BO_K06_D0034_H0035:403b-4']	'phags pa dkon mchog gsum la gus pas phyag 'tshal lo //	'phags pa dkon mchog gsum la gus pas phyag 'tshal lo //	Homage to the Three Jewels with respect!
['BO_K06_D0034_H0035:403b-5']	'di skad bdag gis thos pa dus gcig na /	'di skad bdag gis thos pa dus gcig na /	Thus have I heard at one time,
['BO_K06_D0034_H0035:403b-6', 'BO_K06_D0034_H0035:404a-0']	bcom ldan 'das sh'akya'i yul ser skya'i gzhi'i tshal chen po na dge slong gi dge 'dun chen po lnga brgya ste /🔽de thams cad kyang dgra bcom pa rnams dang lhan cig @404a *//	bcom ldan 'das sh'akya'i yul ser skya'i gzhi'i tshal chen po na dge slong gi dge 'dun chen po lnga brgya ste / de thams cad kyang dgra bcom pa rnams dang lhan cig @404a *//	the Blessed One was in the great forest of Kapilavastu in the Śākya country, together with a great saṅgha of five hundred monks,🔽all of whom were arhats,
['BO_K06_D0034_H0035:404a-1']	tu bzhugs so //	tu bzhugs so //	and with them he was dwelling.
['BO_K06_D0034_H0035:404a-2']	'jig rten gyi khams bcu'i lha rnams de ma thag tu 'dus te /	'jig rten gyi khams bcu'i lha rnams de ma thag tu 'dus te /	The gods of ten world systems immediately gathered
['BO_K06_D0034_H0035:404a-3']	bcom ldan 'das dang / dge slong gi dge 'dun rnams blta ba'i phyir ro //	bcom ldan 'das dang / dge slong gi dge 'dun rnams blta ba'i phyir ro //	in order to see the Blessed One and the saṅgha of monks.
['BO_K06_D0034_H0035:404a-4']	de nas gnas gtsang ma'i ris kyi lha'i ris bzhi po rnams kyis 'di skad ces gsol to //	de nas gnas gtsang ma'i ris kyi lha'i ris bzhi po rnams kyis 'di skad ces gsol to //	Then the four classes of gods of the Śuddhāvāsa realm made this request:
['BO_K06_D0034_H0035:404a-5']	'dir yang bcom ldan 'das kyis sh'akya'i yul ser skya'i gzhi'i tshal chen po na dge slong gi dge 'dun chen po lnga brgya ste /	'dir yang bcom ldan 'das kyis sh'akya'i yul ser skya'i gzhi'i tshal chen po na dge slong gi dge 'dun chen po lnga brgya ste /	Here too, the Blessed One was in the great forest of Kapilavastu in the Śākya country, together with a great saṅgha of five hundred monks,
['BO_K06_D0034_H0035:404a-6']	de thams cad kyang dgra bcom pa rnams dang lhan cig tu bzhugs so //	de thams cad kyang dgra bcom pa rnams dang lhan cig tu bzhugs so //	All of them were seated together with the arhats.
['BO_K06_D0034_H0035:404a-7']	'jig rten gyi khams bcu'i lha rnams de ma thag tu 'dus te /	'jig rten gyi khams bcu'i lha rnams de ma thag tu 'dus te /	The gods of the ten world systems immediately gathered
