segmentnr	original	analyzed	folio	translated
['BO_T02_D2185:51b-0', 'BO_T02_D2185:51b-1']	@51b ` // phyag na rdo rje lce dbab kyi 'grel pa mu tig gi phreng ba bzhugs /🔽# // phyag na rdo rje lce dbab kyi 'grel pa mu tig gi phreng ba zhes bya ba //	@51b ` // phyag na rdo rje lce dbab kyi 'grel pa mu tig gi phreng ba bzhugs / # // phyag na rdo rje lce dbab kyi 'grel pa mu tig gi phreng ba zhes bya ba //	51b	The Commentary on the Lightning of Vajrapāṇi, the Garland of Pearls🔽The Commentary on the Lightning of Vajrapāṇi, called the Garland of Pearls
['BO_T02_D2185:51b-2']	dpal phyag na rdo rje la phyag 'tshal lo //	dpal phyag na rdo rje la phyag 'tshal lo //	51b	Homage to glorious Vajrapāṇi.
['BO_T02_D2185:51b-3']	dang la bsnyen pa'i rim pa ni //	dang la bsnyen pa'i rim pa ni //	51b	The stages of approach are as follows:
['BO_T02_D2185:52a-0']	mandala @52a * //	mandala @52a * //	52a	Make a maṇḍala
['BO_T02_D2185:52a-1']	'dom gang gru bzhi pa //	'dom gang gru bzhi pa //	52a	one cubit square.
['BO_T02_D2185:52a-2']	ba yi rnam lngas byi dor bya //	ba yi rnam lngas byi dor bya //	52a	Clean it with the five cow products.
['BO_T02_D2185:52a-3']	dbus su lnga ldan sbrul dgu dgod //	dbus su lnga ldan sbrul dgu dgod //	52a	In the center, arrange the five-fold nine-headed snake.🔽In front, set out a begging bowl with a spout
['BO_T02_D2185:52a-4']	mdun du bum pa bzed zhal dang // mchod pa rnams lnga bcas par dgod //	mdun du bum pa bzed zhal dang // mchod pa rnams lnga bcas par dgod //	52a	and the five offerings.
['BO_T02_D2185:52a-5']	'khor sogs snod ni mdzes pa ru //	'khor sogs snod ni mdzes pa ru //	52a	In a beautiful vessel, such as a wheel,
['BO_T02_D2185:52a-6']	'o ma dang bcas sman rnams kyis //	'o ma dang bcas sman rnams kyis //	52a	fill it with milk and various medicines
['BO_T02_D2185:52a-7']	bkang ste mdun du bzhag pa'o //	bkang ste mdun du bzhag pa'o //	52a	and place it in front.
['BO_T02_D2185:52a-8']	zhes pa ni /	zhes pa ni /	52a	This is
['BO_T02_D2185:52a-9', 'BO_T02_D2185:52a-10']	'o ma'i nang du klu sman sna tshogs pa blugs la gzhag pa'o //🔽de steng gzhag pa'i rdzas rnams ni //	'o ma'i nang du klu sman sna tshogs pa blugs la gzhag pa'o // de steng gzhag pa'i rdzas rnams ni //	52a	put inside the milk.🔽The substances to be placed on top
['BO_T02_D2185:52a-11']	rdzas gong du bsags pa de rnams la bya'o //	rdzas gong du bsags pa de rnams la bya'o //	52a	are the substances gathered above.
['BO_T02_D2185:52a-12']	rdzas de rnams gang la dbul bar bstan pa'i phyir /	rdzas de rnams gang la dbul bar bstan pa'i phyir /	52a	In order to demonstrate to whom those substances are offered,
['BO_T02_D2185:52a-13']	shin tu gsal byed gdan stengs su //	shin tu gsal byed gdan stengs su //	52a	On a seat of a very clear, white lotus and sun,
['BO_T02_D2185:52a-14']	nga ldan mtha' yas sbrul dgu pa //	nga ldan mtha' yas sbrul dgu pa //	52a	is the nine-headed, limitless Ananta.
['BO_T02_D2185:52a-15']	zhes bya ba ni mdun du rgya mtsho chen po bsams pa'i nang du /	zhes bya ba ni mdun du rgya mtsho chen po bsams pa'i nang du /	52a	This means that in the great ocean visualized in front,
['BO_T02_D2185:52a-16']	phu:las klu mtha' yas sku mdog ser po /	phu:las klu mtha' yas sku mdog ser po /	52a	from PHUṀ arises the nāga Ananta, yellow in color,
['BO_T02_D2185:52a-17']	phyag gnyis thugs kar thal mo sbyar ba /	phyag gnyis thugs kar thal mo sbyar ba /	52a	with two hands joined at the heart,
['BO_T02_D2185:52a-18']	dbul sbrul mgo dgu yod pa /	dbul sbrul mgo dgu yod pa /	52a	with nine snake heads.
['BO_T02_D2185:52a-19']	sbrul 'khyil pa lnga'i steng na bzhugs par bsam mo //	sbrul 'khyil pa lnga'i steng na bzhugs par bsam mo //	52a	Imagine him standing on five coiled snakes.
['BO_T02_D2185:52a-20']	h'um las phyag na rdo rje chu las nya ldang pa'i tshul du dgrongs kyis bskyed do //	h'um las phyag na rdo rje chu las nya ldang pa'i tshul du dgrongs kyis bskyed do //	52a	From HŪṀ, Vajrapāṇi is generated leaping out of the water like a fish.
['BO_T02_D2185:52a-21', 'BO_T02_D2185:52a-22']	sku mdog mthing ga / dbus skra thor tshugs gcig tu bcings pa /🔽zhal bgrad pa mche ba gtsigs pa /	sku mdog mthing ga / dbus skra thor tshugs gcig tu bcings pa / zhal bgrad pa mche ba gtsigs pa /	52a	He is blue in color, with hair in a topknot in the middle,🔽with a gaping mouth and bared fangs,
['BO_T02_D2185:52a-23']	spyan bzlog pa /	spyan bzlog pa /	52a	with rolling eyes,
['BO_T02_D2185:52a-24']	zas su sgrul  za ba /	zas su sgrul  za ba /	52a	eating snakes for food,
['BO_T02_D2185:52a-25']	rgyan thams cad kyis brgyan pa /	rgyan thams cad kyis brgyan pa /	52a	and adorned with all the ornaments.
['BO_T02_D2185:52a-26']	phyag gnyis kyis rdo rje dang dril bu 'dzin par bsams la ;	phyag gnyis kyis rdo rje dang dril bu 'dzin par bsams la ;	52a	Imagine him holding a vajra and a bell in his two hands.
['BO_T02_D2185:52a-27']	dza:h'um bam ho:sa /	dza:h'um bam ho:sa /	52a	With JAH HŪṀ BAṀ HOḤ
['BO_T02_D2185:52a-28']	ye shes sems dpa' spyan drang /	ye shes sems dpa' spyan drang /	52a	the awareness being is invoked.🔽With the mantra JAH HŪṀ VAM HOḤ
['BO_T02_D2185:52a-29']	dgug gzhug bcing bstim /	dgug gzhug bcing bstim /	52a	he is drawn in, dissolved, and bound.
['BO_T02_D2185:52a-30']	de la mchod pa'i yan lag dang / mchod pa rnam pa lngas mchod bstod /	de la mchod pa'i yan lag dang / mchod pa rnam pa lngas mchod bstod /	52a	The branch of offering and the five kinds of offerings are the offering and praise.
['BO_T02_D2185:52a-31']	aom a'a:h'um gsum gyis gnas gsum byin gyis brlabs /	aom a'a:h'um gsum gyis gnas gsum byin gyis brlabs /	52a	The three places are blessed with the three syllables oṃ āḥ hūṃ.
['BO_T02_D2185:52a-32']	de nas klu la mchod pa'i phyir //	de nas klu la mchod pa'i phyir //	52a	Then, in order to make offerings to the nāgas,
['BO_T02_D2185:52a-33']	rtsi sman mchod cing mdun gnas pa'o zhes 'byung ste /	rtsi sman mchod cing mdun gnas pa'o zhes 'byung ste /	52a	the medicinal herbs are offered and they remain in front.
