segmentnr	original	analyzed	translated
['BO_T16_D4452:63a-39']	dzva ra / dzva ra ya ti /	dzva ra / dzva ra ya ti /	jvara🔽jvarayati🔽gada
['BO_T16_D4452:63a-40']	ga da / ga daya ti /	ga da / ga daya ti /	gadayati🔽hedayati
['BO_T16_D4452:63a-41']	he da / bskor ba la'o //	he da / bskor ba la'o //	[to go round]
['BO_T16_D4452:63a-42']	mtshams sbyor gyi yi ge rnams kyi thung ngur bsgyur te ae ta auta dag go zhes pas ae yig gi ae yig go //	mtshams sbyor gyi yi ge rnams kyi thung ngur bsgyur te ae ta auta dag go zhes pas ae yig gi ae yig go //	The short vowels of the conjuncts are changed to e and o, so e of e and o of o.
['BO_T16_D4452:63a-43']	hi da ya ti /	hi da ya ti /	hidayatī
['BO_T16_D4452:63a-44']	pa ta yi ti /	pa ta yi ti /	patayati
['BO_T16_D4452:63a-45', 'BO_T16_D4452:63a-46']	bha ta ya ti /🔽na ta / 'gro ba la'o //	bha ta ya ti / na ta / 'gro ba la'o //	bhatayati🔽nata🔽[to go]
['BO_T16_D4452:63a-47']	na ta ya ti /	na ta ya ti /	natayati
['BO_T16_D4452:63a-48']	gzhan la / n'a ta ya ti /	gzhan la / n'a ta ya ti /	[to another]🔽natayati🔽stak
['BO_T16_D4452:63a-49']	shta ka / thogs pa la'o //	shta ka / thogs pa la'o //	[to stop]
['BO_T16_D4452:63a-50']	sta ka ya ti /	sta ka ya ti /	stakayati🔽caka
['BO_T16_D4452:63a-51']	tsa ka / tshim pa la'o //	tsa ka / tshim pa la'o //	[to satisfy]
['BO_T16_D4452:63a-52']	tsa ka ya ti /	tsa ka ya ti /	cakayati🔽khaṅkha
['BO_T16_D4452:63a-53']	kha khe / dgod pa la'o //	kha khe / dgod pa la'o //	[to laugh]
['BO_T16_D4452:63a-54']	ka ga ya ti /	ka ga ya ti /	khaṅgayati🔽raṅge
['BO_T16_D4452:63a-55']	ra gee / dges pa la'o //	ra gee / dges pa la'o //	[to delight]
['BO_T16_D4452:63a-56']	ra ga ya te /	ra ga ya te /	raṅgayate🔽laṅge
['BO_T16_D4452:63a-57']	la ge / chags pa la'o //	la ge / chags pa la'o //	[to be attached]🔽hrāṅge🔽hrāṅge🔽śāṅge🔽sthāṅge
['BO_T16_D4452:63a-58']	hra ge / hla ge /sha ge / stha ge / kun nas sgrib pa la'o //	hra ge / hla ge /sha ge / stha ge / kun nas sgrib pa la'o //	[to be obstructed]
['BO_T16_D4452:63a-59', 'BO_T16_D4452:63a-60']	la ga ya ti /🔽hra ga ya ti /	la ga ya ti / hra ga ya ti /	lagayati🔽hrāṅgayati
['BO_T16_D4452:63a-61', 'BO_T16_D4452:63a-62']	hla ga ya ti /🔽sa ga ya ti /	hla ga ya ti / sa ga ya ti /	hrāṅgayati🔽saṅgayati
['BO_T16_D4452:63a-63']	stha ga ya ti /	stha ga ya ti /	sthāṅgayati🔽kaka
['BO_T16_D4452:63a-64']	ka ge / brjod par mi bya ba la'o //	ka ge / brjod par mi bya ba la'o //	[to be unspeakable]
['BO_T16_D4452:63a-65']	ka sha ya ti /	ka sha ya ti /	kaśayati🔽aka and aga
['BO_T16_D4452:63a-66', 'BO_T16_D4452:63a-67']	aa ka dang aa ga / gya gyur ru 'gro ba la'o //🔽aa ka ya ti /	aa ka dang aa ga / gya gyur ru 'gro ba la'o // aa ka ya ti /	[to go crookedly]🔽akayati
['BO_T16_D4452:63a-68']	aa ga ya ti /	aa ga ya ti /	agayati
['BO_T16_D4452:63a-69']	ka na dang ra na /	ka na dang ra na /	kana and rana,
['BO_T16_D4452:63a-70']	'gro ba la'o //	'gro ba la'o //	to going.
['BO_T16_D4452:63a-71']	ka na ya ti /	ka na ya ti /	kanayati,
['BO_T16_D4452:63a-72']	ra na ya ti /	ra na ya ti /	ranayati.
['BO_T16_D4452:63b-0']	tsa na dang shana @63b dang shra na sbyin pa la'o //	tsa na dang shana @63b dang shra na sbyin pa la'o //	cana and śana and śraṇa, to giving.
['BO_T16_D4452:63b-1', 'BO_T16_D4452:63b-2']	tsa na ya ti /🔽sha na ya ti /	tsa na ya ti / sha na ya ti /	canayati,🔽śanayati,
['BO_T16_D4452:63b-3']	shra na ya ti /	shra na ya ti /	śranayati.
['BO_T16_D4452:63b-4', 'BO_T16_D4452:63b-5']	sbyin pa las gzhan la /🔽bi ts'a na ya ti /	sbyin pa las gzhan la / bi ts'a na ya ti /	To other than giving,🔽vicānayati,
['BO_T16_D4452:63b-6', 'BO_T16_D4452:63b-7']	sh'a na ya ti /🔽shr'a na ya ti /	sh'a na ya ti / shr'a na ya ti /	śānayati,🔽śrānayati.
['BO_T16_D4452:63b-8']	s'u tha dang k'u tha dang kra tha dang kva tha /	s'u tha dang k'u tha dang kra tha dang kva tha /	sūtha, kūtha, krātha, kvatha,
['BO_T16_D4452:63b-9']	'che ba'i don rnams so /	'che ba'i don rnams so /	mean to bite.
['BO_T16_D4452:63b-10', 'BO_T16_D4452:63b-11', 'BO_T16_D4452:63b-12']	su tha ya ti /🔽ku tha ya ti /🔽kra tha ya ti /	su tha ya ti / ku tha ya ti / kra tha ya ti /	sūthayati,🔽kūthayati,🔽krāthayati,
['BO_T16_D4452:63b-13']	kla tha ya ti /	kla tha ya ti /	kvathayati.
['BO_T16_D4452:63b-14']	tsa na yang ngo //	tsa na yang ngo //	Also cana.
['BO_T16_D4452:63b-15']	tsa na ya ti /	tsa na ya ti /	canayati.
['BO_T16_D4452:63b-16']	ba nu / yang brjod par mi bya ba la'o //	ba nu / yang brjod par mi bya ba la'o //	vanu, also to be not spoken.
['BO_T16_D4452:63b-17', 'BO_T16_D4452:63b-18']	ba na ya ti /🔽dzvi la / 'bar ba la'o //	ba na ya ti / dzvi la / 'bar ba la'o //	vanayati.🔽jval, to burn.
['BO_T16_D4452:63b-19']	dzve la ya ti /	dzve la ya ti /	jvalayati.
['BO_T16_D4452:63b-20']	hva la dang hma la /	hva la dang hma la /	havala and haṃsa,
['BO_T16_D4452:63b-21']	g-yo par byed pa la'o //	g-yo par byed pa la'o //	to cause to move.
['BO_T16_D4452:63b-22']	hva la ya te /	hva la ya te /	havalayate,
['BO_T16_D4452:63b-23']	hma la ya te /	hma la ya te /	haṃsayate.
['BO_T16_D4452:63b-24']	smra klog par byed pa la'o //	smra klog par byed pa la'o //	To speak and read,
['BO_T16_D4452:63b-25']	smar ya ti /	smar ya ti /	smarayati.
['BO_T16_D4452:63b-26']	gzhan la / bi sm'ar ya ti /	gzhan la / bi sm'ar ya ti /	To other, vismarayati.
['BO_T16_D4452:63b-27']	dr'i / 'jigs pa la'o //	dr'i / 'jigs pa la'o //	dṛ, to fear.
['BO_T16_D4452:63b-28']	dar ya te /	dar ya te /	dṛyate.
['BO_T16_D4452:63b-29', 'BO_T16_D4452:63b-30']	'jigs pa las gzhan la /🔽da'r ya ti k'ashtham /	'jigs pa las gzhan la /🔽da'r ya ti k'ashtham /	To other than fear,🔽dārayati.
['BO_T16_D4452:63b-31']	nr'i / tshul la'o //	nr'i / tshul la'o //	In a manner.
['BO_T16_D4452:63b-32']	na ra y'a ti /	na ra y'a ti /	Narai.
['BO_T16_D4452:63b-33']	shr'a / 'tshed pa la'o //	shr'a / 'tshed pa la'o //	In cooking.
['BO_T16_D4452:63b-34']	shra ba ya ti /	shra ba ya ti /	Sra.
['BO_T16_D4452:63b-35']	'tshed pa las gzhan la /	'tshed pa las gzhan la /	In what is other than cooking.
['BO_T16_D4452:63b-36']	shr'a ya ya ti /	shr'a ya ya ti /	Srayati.
['BO_T16_D4452:63b-37']	'chi ba dang dga' ba dang rno bar byed pa rnams la dzny'a'o //	'chi ba dang dga' ba dang rno bar byed pa rnams la dzny'a'o //	In killing, in delighting, in sharpening, there is jña.
['BO_T16_D4452:63b-38', 'BO_T16_D4452:63b-39']	'chi bar byed pa la /🔽sam dzny'a pa ya ti pa sh'un /	'chi bar byed pa la / sam dzny'a pa ya ti pa sh'un /	In killing.🔽Samjñāpayati pāśūn.
['BO_T16_D4452:63b-40']	'chi bar byed do zhes pa'i don no /	'chi bar byed do zhes pa'i don no /	The meaning is: he kills the snares.
['BO_T16_D4452:63b-41']	dga' bar byed pa la /	dga' bar byed pa la /	In delighting.
['BO_T16_D4452:63b-42']	dzny'a pa ya ti r'a dzv'a nam /	dzny'a pa ya ti r'a dzv'a nam /	Jñāpayati rājānam.
['BO_T16_D4452:63b-43']	mnyes par byed pa'i don no //	mnyes par byed pa'i don no //	The meaning is: he delights the king.
['BO_T16_D4452:63b-44']	rno bar byed pa la /	rno bar byed pa la /	In sharpening.🔽Jñāpayati śarāṇi vyādhe.
['BO_T16_D4452:63b-45']	dzny'a pa ya ti sha r'a na by'a dha: rnon por byed do zhes pa'i don no //	dzny'a pa ya ti sha r'a na by'a dha: rnon por byed do zhes pa'i don no //	The meaning is: he sharpens the arrows.🔽In shaking.
['BO_T16_D4452:63b-46', 'BO_T16_D4452:63b-47']	'gul bar byed pa la tsa li'o //🔽tsa la ya ti /	'gul bar byed pa la tsa li'o // tsa la ya ti /	Calati.🔽In another.
['BO_T16_D4452:63b-48', 'BO_T16_D4452:63b-49']	gzhan la ts'a la ya ti /🔽stobs byed pa la tshe di'o //	gzhan la ts'a la ya ti / stobs byed pa la tshe di'o //	Calati.🔽In strengthening.
['BO_T16_D4452:63b-50']	tshe da ya ti /	tshe da ya ti /	Testayati.🔽In another.
['BO_T16_D4452:63b-51']	gzhan la che da ya ti gho sh'a na /	gzhan la che da ya ti gho sh'a na /	Testayati ghoṣaṇam.
['BO_T16_D4452:63b-52']	lce sgril bar byed pa la /	lce sgril bar byed pa la /	In rolling the tongue.
['BO_T16_D4452:63b-53']	la di'o // la da ya ti /	la di'o // la da ya ti /	Ladita.🔽In another.
['BO_T16_D4452:63b-54']	gzhan la / l'a da ya ti /	gzhan la / l'a da ya ti /	Lādayati.
['BO_T16_D4452:63b-55']	dga' ba dang na ru 'jug pa dag la ma di'o //	dga' ba dang na ru 'jug pa dag la ma di'o //	The words to delight and to be pleased are not inflected.
['BO_T16_D4452:63b-56']	ma da ya ti /	ma da ya ti /	madayatî
['BO_T16_D4452:63b-57']	gzhan la / m'a da ya ti /	gzhan la / m'a da ya ti /	To another: madayatî.
['BO_T16_D4452:63b-58']	je n'i dang dzr'i sha dang kne su dang ranydza rnams dang aa la'i mtha' rnams kyang ngo zhes pas ma rnges su 'brel pa nyid do //	je n'i dang dzr'i sha dang kne su dang ranydza rnams dang aa la'i mtha' rnams kyang ngo zhes pas ma rnges su 'brel pa nyid do //	jenî, jarî, kanyâ, and ranyâ are also with the ending âl. Thus there is connection with the ending ma.
['BO_T16_D4452:63b-59']	ma rjes su 'brel pa rnams kyi thung ngu'o //	ma rjes su 'brel pa rnams kyi thung ngu'o //	The short vowel is for those with connection to ma.
['BO_T16_D4452:63b-60']	dza na ya ti /	dza na ya ti /	janayatî
['BO_T16_D4452:63b-61']	je ra ya ti /	je ra ya ti /	jarayatî
['BO_T16_D4452:63b-62']	kna pa yat ti /	kna pa yat ti /	kanayatî
['BO_T16_D4452:63b-63']	'di nyid las ma rjes su 'brel pa'i stobs las ranydzi'i mri ga ra ma na la aa nu shangga dbyi'o //	'di nyid las ma rjes su 'brel pa'i stobs las ranydzi'i mri ga ra ma na la aa nu shangga dbyi'o //	From this very [rule], by the power of connection with ma, in ranyâ, the ending is âna.
['BO_T16_D4452:63b-64']	ra dza ya ti mri g'a na /	ra dza ya ti mri g'a na /	ranyayati mrâganâ.
['BO_T16_D4452:63b-65']	gzhan la / ranydza ya ti pa st'am /	gzhan la / ranydza ya ti pa st'am /	To another: ranyayati pasthâm.
['BO_T16_D4452:63b-66']	aa ma'i mtha' rnams /	aa ma'i mtha' rnams /	The endings of âmi.
['BO_T16_D4452:63b-67']	sha ma ya ti /	sha ma ya ti /	śamayatî
