segmentnr	original	analyzed	folio	translated
['BO_T02_D2620:109a-0']	@109a # // rgya gar skad du /	@109a # // rgya gar skad du /	109a	In Sanskrit:
['BO_T02_D2620:109a-1']	a'arya manydzu shr'i n'a ma sam g'i ti manda lo pi ka / bod skad du /	a'arya manydzu shr'i n'a ma sam g'i ti manda lo pi ka / bod skad du /	109a	Ārya-mañjuśrī-nāma-saṃgīti-maṇḍala-vidhi🔽In Tibetan:🔽The Maṇḍala Ritual of the Noble Mañjuśrī's Name-Chant
['BO_T02_D2620:109a-2']	'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i dkyil 'khor gyi cho ga / bcom ldan 'das 'jam dpal ye shes sems dpa'i sku la phyag 'tshal lo //	'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i dkyil 'khor gyi cho ga / bcom ldan 'das 'jam dpal ye shes sems dpa'i sku la phyag 'tshal lo //	109a	Homage to the body of the Bhagavān Mañjuśrījñānasattva.🔽Self-arisen purity,🔽omniscience, lord of speech,
['BO_T02_D2620:109a-3']	rang byung rnam par dag pa dang // thams cad mkhyen dang gsung dbang phyug / rmad du byung dang brtson 'grus 'dzin //	rang byung rnam par dag pa dang // thams cad mkhyen dang gsung dbang phyug / rmad du byung dang brtson 'grus 'dzin //	109a	wondrous, persevering,
['BO_T02_D2620:109a-4']	sna tshogs bdag nyid phyag 'tshal lo //	sna tshogs bdag nyid phyag 'tshal lo //	109a	homage to the nature of diversity.🔽Arisen from abandonment, pure,
['BO_T02_D2620:109a-5']	spang 'byung rnam par dag pa dang // dad dang ye shes phun tshogs pa'i //	spang 'byung rnam par dag pa dang // dad dang ye shes phun tshogs pa'i //	109a	endowed with faith and wisdom,
['BO_T02_D2620:109a-6']	gang gis drin gyis rnyed sla ba'i //	gang gis drin gyis rnyed sla ba'i //	109a	through whose kindness it is easily attained,
['BO_T02_D2620:109a-7']	dbyangs kyi rjes 'jug bdag nyid kyi //	dbyangs kyi rjes 'jug bdag nyid kyi //	109a	the nature that follows melody,
['BO_T02_D2620:109a-8']	de yi rgyu la phyag 'tshal lo //	de yi rgyu la phyag 'tshal lo //	109a	homage to its cause.
['BO_T02_D2620:109a-9']	phyag brnyan bzhin du dngos grub ni //	phyag brnyan bzhin du dngos grub ni //	109a	Like a servant, accomplishments
