segmentnr	original	analyzed	folio	translated
['BO_T02_D1269:34b-0']	@34b *// dbang bskur ba'i chog bzhugs so//	@34b *// dbang bskur ba'i chog bzhugs so//	34b	The Rite of Empowerment
['BO_T02_D1269:34b-1']	*// dpal dgyes pa'i rdo rje la phyag 'tshal lo //	*// dpal dgyes pa'i rdo rje la phyag 'tshal lo //	34b	Homage to glorious Hevajra.
['BO_T02_D1269:34b-2']	de nas ri mo'i dkyil 'khor gyi las kyi rim pa bshad par bya'o //	de nas ri mo'i dkyil 'khor gyi las kyi rim pa bshad par bya'o //	34b	Now, the stages of the rite of the pictured maṇḍala will be explained.
['BO_T02_D1269:34b-3']	dang por bsnyen pa bya ste /	dang por bsnyen pa bya ste /	34b	First, one should perform the recitation:
['BO_T02_D1269:35a-0']	@35a * // rang gi yi dam lha'i 'dab 'byams bzlas /	@35a * // rang gi yi dam lha'i 'dab 'byams bzlas /	35a	Recite one hundred thousand of one’s pledged deity,
['BO_T02_D1269:35a-1']	dkyil 'khor gyi gtso bo'i 'dab 'bum bzlas lha dang lha mo gzhan gyi 'dzab khri bzlas /	dkyil 'khor gyi gtso bo'i 'dab 'bum bzlas lha dang lha mo gzhan gyi 'dzab khri bzlas /	35a	ten thousand of the principal deity of the maṇḍala, and ten thousand of the other gods and goddesses.
['BO_T02_D1269:35a-2']	de yang tshul ji ltar bzlas shen /	de yang tshul ji ltar bzlas shen /	35a	Moreover, how should one recite?
['BO_T02_D1269:35a-3']	dkyil 'khor gar byed pa'i sar mandala gru bzhi pa khru gang ba byas la /	dkyil 'khor gar byed pa'i sar mandala gru bzhi pa khru gang ba byas la /	35a	In the place where one performs the maṇḍala dance, one should make a four-sided maṇḍala one cubit in size,
['BO_T02_D1269:35a-4']	de la ba'i rnam lnga dang ; tsandan la sogs pa'i dri zhim pos byug / bdud rtsi rnam pa lngas kyang gtor bar byas la /	de la ba'i rnam lnga dang ; tsandan la sogs pa'i dri zhim pos byug / bdud rtsi rnam pa lngas kyang gtor bar byas la /	35a	smear it with the five cow products and fragrant substances such as sandalwood, and scatter the five elixirs.
['BO_T02_D1269:35a-5']	de nas dri'i thig le dgu byas te de'i steng du me tog gtsang ma bzhag ste /	de nas dri'i thig le dgu byas te de'i steng du me tog gtsang ma bzhag ste /	35a	Then, having made nine fragrant drops, place pure flowers upon them.
['BO_T02_D1269:35a-6']	de dkyil 'khor gyi lha yin par bsams la /	de dkyil 'khor gyi lha yin par bsams la /	35a	Think that they are the deities of the maṇḍala.
