segmentnr	original	analyzed	translated
['BO_T08_D4115:39a-25']	dman pa ni sdug bsngal bar gyur pa'o //	dman pa ni sdug bsngal bar gyur pa'o //	The inferior are those who are suffering.
['BO_T08_D4115:39a-26']	snying brtse bar bya bas ni bkren pa nor 'dod pa'o //	snying brtse bar bya bas ni bkren pa nor 'dod pa'o //	Those who are worthy of compassion are the poor who desire wealth.
['BO_T08_D4115:39a-27']	bdag nyid gcig pu so sor sangs rgyas pas na rang sangs rgyas so //	bdag nyid gcig pu so sor sangs rgyas pas na rang sangs rgyas so //	They are pratyekabuddhas because they attain buddhahood for themselves alone.
['BO_T08_D4115:39a-28']	bas mtha'i gnas mal la tha dad pa zhes bya ba ni dben pa'i gnas bsten par ro //	bas mtha'i gnas mal la tha dad pa zhes bya ba ni dben pa'i gnas bsten par ro //	They are called “those who live in separate places” because they live in isolated places.
['BO_T08_D4115:39a-29']	sbyin gnas gcig pu zhes bya ba ni 'jig rten du sangs rgyas gnyis cig car mi 'byung ba bzhin du bse ru dang 'dra bar rang sangs rgyas gcig pu kho na 'byung ba'o //	sbyin gnas gcig pu zhes bya ba ni 'jig rten du sangs rgyas gnyis cig car mi 'byung ba bzhin du bse ru dang 'dra bar rang sangs rgyas gcig pu kho na 'byung ba'o //	They are the “sole object of generosity” because, just as two buddhas do not appear in the world simultaneously, so also only one rhinoceros-like pratyekabuddha appears.
['BO_T08_D4115:39b-0']	gzugs mdzes pa zhes bya ba ni lus kyi sgo nas rab tu dang bskyed par byed @39b pa ste ;	gzugs mdzes pa zhes bya ba ni lus kyi sgo nas rab tu dang bskyed par byed @39b pa ste ;	They are “beautiful in form” because they generate faith through their bodies.
['BO_T08_D4115:39b-1']	lus la sogs pa'i bya ba shin tu zhi ba nyid kyi sgo nas sems rab tu dang ba skyed pa nyid du yang dag par rjes su dpag pa'o //	lus la sogs pa'i bya ba shin tu zhi ba nyid kyi sgo nas sems rab tu dang ba skyed pa nyid du yang dag par rjes su dpag pa'o //	It is inferred that they generate faith in the minds of others through their extremely peaceful bodily actions and so on.
['BO_T08_D4115:39b-2']	rtsa ba nas bcad pa zhes bya ba ni rtsa ba nges par bcad pa'o //	rtsa ba nas bcad pa zhes bya ba ni rtsa ba nges par bcad pa'o //	They are “cut off at the root” because they have severed the root.
['BO_T08_D4115:39b-3']	rtsub pa ni shin tu drag pa'o //	rtsub pa ni shin tu drag pa'o //	Rough means very strong.
['BO_T08_D4115:39b-4']	khyu mchog gi tshig ces bya ba la sogs pa la 'di la khyu mchog gi yin pas na khyu mchog gi ste /	khyu mchog gi tshig ces bya ba la sogs pa la 'di la khyu mchog gi yin pas na khyu mchog gi ste /	With the words of a bull, etc. means that since he is a bull, he is a bull.
['BO_T08_D4115:39b-5']	'jigs pa med pa'i dag go //	'jigs pa med pa'i dag go //	He is fearless.
['BO_T08_D4115:39b-6']	gcig tu chad par byas te zhes bya ba ni gdon mi za bar bya bar dam bcas pa'o //	gcig tu chad par byas te zhes bya ba ni gdon mi za bar bya bar dam bcas pa'o //	Having made a single vow means having made an irrevocable promise.
['BO_T08_D4115:39b-7']	'khor te skye bo mang po tshogs pa'o //	'khor te skye bo mang po tshogs pa'o //	An assembly is a gathering of many people.
['BO_T08_D4115:39b-8']	seng ge'i sgra bsgrags pa ni seng ge ltar sgrogs pa'o //	seng ge'i sgra bsgrags pa ni seng ge ltar sgrogs pa'o //	Having roared the lion's roar means having roared like a lion.
['BO_T08_D4115:39b-9']	gsad par bya ba ni srog dang dbral bar bya ba'o //	gsad par bya ba ni srog dang dbral bar bya ba'o //	What is to be killed is what is to be deprived of life.
['BO_T08_D4115:39b-10']	bya ba ni thag nye bar gyur pa'o //	bya ba ni thag nye bar gyur pa'o //	An action is something that has become proximate.
['BO_T08_D4115:39b-11']	byed pa ni dus kyis chod par gyur pa'o //	byed pa ni dus kyis chod par gyur pa'o //	An agent is something that has become separated by time.
['BO_T08_D4115:39b-12']	go cha bskon pa ni go bgos pa'o //	go cha bskon pa ni go bgos pa'o //	Armoring is putting on armor.
['BO_T08_D4115:39b-13']	shing ka ko ta ka shun pa bshus par ri can zhes bya ba la /	shing ka ko ta ka shun pa bshus par ri can zhes bya ba la /	Having stripped the bark from the kakatunda tree, etc. means
['BO_T08_D4115:39b-14']	phyogs dang phyogs las shun pa gogs par gyur pa'i phyir shun pa bshus pa'o //	phyogs dang phyogs las shun pa gogs par gyur pa'i phyir shun pa bshus pa'o //	that the bark has been stripped because it has been stripped from all directions.
['BO_T08_D4115:39b-15']	gnas dang gnas su shun pa skams shing rnyings pa ni phra bar gyur pa nyid kyi phyir ra ri can te /	gnas dang gnas su shun pa skams shing rnyings pa ni phra bar gyur pa nyid kyi phyir ra ri can te /	The bark of the tree in the various places is dry and old, because it is thin.
['BO_T08_D4115:39b-16']	shun pa gzugs mi sdug par gyur pa ni ra ri can yin no zhes bya ba'i dbang du byas pa'i phyir ro //	shun pa gzugs mi sdug par gyur pa ni ra ri can yin no zhes bya ba'i dbang du byas pa'i phyir ro //	The bark is ugly in form, because it is taken as the basis.
['BO_T08_D4115:39b-17']	lhag ma tsam chung la srab pa ni lo ma nyung la srab pa'o //	lhag ma tsam chung la srab pa ni lo ma nyung la srab pa'o //	The remaining parts are small and thin, because the leaves are few and thin.
['BO_T08_D4115:39b-18']	lo ma srab pa nyid kyi phyir grib ma chung ba'o //	lo ma srab pa nyid kyi phyir grib ma chung ba'o //	The shade is small, because the leaves are thin.
['BO_T08_D4115:39b-19']	byams pa ni dgyes pa'o ;	byams pa ni dgyes pa'o ;	Affection is joy.
['BO_T08_D4115:39b-20', 'BO_T08_D4115:39b-21']	/ thugs brtse ba ni rjes su brtse bar mdzad pa'o //🔽phru ma btab pa ni dmag gi bkod pa byas nas so //	/ thugs brtse ba ni rjes su brtse bar mdzad pa'o // phru ma btab pa ni dmag gi bkod pa byas nas so //	Compassion is sympathy.
['BO_T08_D4115:39b-22', 'BO_T08_D4115:39b-23']	bskor ba ni steng nas g-yogs par 'dod pa'o //🔽'jig rten ni las bdag gir byed pa zhes bya ba la sogs pa la 'jig rten gyi las bdag po yin pa de'i phyir las bdag gir byed pa'o //	bskor ba ni steng nas g-yogs par 'dod pa'o // 'jig rten ni las bdag gir byed pa zhes bya ba la sogs pa la 'jig rten gyi las bdag po yin pa de'i phyir las bdag gir byed pa'o //	Having set up the troops, he surrounds them, wishing to cover them from above.🔽The world is the owner of karma, etc. The world is the owner of karma, therefore it is the owner of karma.
['BO_T08_D4115:39b-24']	'jig rten gyi las skyed par byed pa'i gnas yin pa de bas na las las skyes pa'o //	'jig rten gyi las skyed par byed pa'i gnas yin pa de bas na las las skyes pa'o //	The world is the place that produces karma, therefore it is born from karma.
['BO_T08_D4115:39b-25']	rang nyid kyis byas pa'i las kyi 'bras bu la nye bar spyod pa'i phyir /	rang nyid kyis byas pa'i las kyi 'bras bu la nye bar spyod pa'i phyir /	Because one experiences the results of actions that one has done oneself,
['BO_T08_D4115:39b-26']	las kyi bgo skal la spyod pa'o //	las kyi bgo skal la spyod pa'o //	one experiences the results of one’s actions.
['BO_T08_D4115:39b-27']	rang gis byas pa'i las la nye bar brten nas 'jug pa'i phyir las la brten pa'o //	rang gis byas pa'i las la nye bar brten nas 'jug pa'i phyir las la brten pa'o //	Because one engages in action based on one’s own actions, one is dependent on action.
