segmentnr	original	analyzed	folio	translated
['BO_T02_D1203:234b-34']	rnam shes la sogs bye brag tu //	rnam shes la sogs bye brag tu //	234b	The consciousness, etc., are the particular ones.
['BO_T02_D1203:234b-35']	zhes bya ba la rnam par shes pa dang / sems dang yid ces bya ba rnam grangs so //	zhes bya ba la rnam par shes pa dang / sems dang yid ces bya ba rnam grangs so //	234b	Here, consciousness, mind, and thought are synonyms.
['BO_T02_D1203:234b-36']	sems kyi gnas ni snying yin no //	sems kyi gnas ni snying yin no //	234b	The abode of the mind is the heart.
['BO_T02_D1203:235a-0']	sogs pa ni bde ba chen po'i bdag nyid dang / longs spyod dang / sprul pa'i @235a * //	sogs pa ni bde ba chen po'i bdag nyid dang / longs spyod dang / sprul pa'i @235a * //	235a	The “etc.” refers to the great bliss nature, the enjoyment, and the emanation
['BO_T02_D1203:235a-1']	'khor lo dang / de rnams mchod sbyin byed pa'o //	'khor lo dang / de rnams mchod sbyin byed pa'o //	235a	wheels, and the offering of those.
['BO_T02_D1203:235a-2']	bye brag tu ni dga' ba'i khyad par tha dad pa'i ni bye brag skye ba'i gnas so //	bye brag tu ni dga' ba'i khyad par tha dad pa'i ni bye brag skye ba'i gnas so //	235a	The “particulars” are the different kinds of joy, which are the abodes of birth.
['BO_T02_D1203:235a-3']	de'i don gsal bar gsungs pa ni mchod sbyin ni byang chub kyi sems kyi bdag nyid mchod sbyin no //	de'i don gsal bar gsungs pa ni mchod sbyin ni byang chub kyi sems kyi bdag nyid mchod sbyin no //	235a	The meaning of that is stated clearly: “The offering is the offering of the nature of the thought of awakening.
['BO_T02_D1203:235a-4']	tshangs pa ni bde ba'i ye shes te /	tshangs pa ni bde ba'i ye shes te /	235a	Brahma is the gnosis of bliss.
['BO_T02_D1203:235a-5']	mchod sbyin yang de yin la tshangs pa yang de yin no //	mchod sbyin yang de yin la tshangs pa yang de yin no //	235a	The offering is that, and Brahma is that.
['BO_T02_D1203:235a-6']	g-yul sa che zhes bya ba ni /	g-yul sa che zhes bya ba ni /	235a	The great battlefield is
['BO_T02_D1203:235a-7']	sku'i 'khor lo'i bzhugs pa'i gnas yin no //	sku'i 'khor lo'i bzhugs pa'i gnas yin no //	235a	the abode of the body wheel.
['BO_T02_D1203:235a-8']	longs spyod ces bya ba ni /	longs spyod ces bya ba ni /	235a	The enjoyment is
['BO_T02_D1203:235a-9']	gsung gi 'khor lo'o //	gsung gi 'khor lo'o //	235a	the speech wheel.
['BO_T02_D1203:235a-10']	rnam par shes pa dang zhes bya ba ni /	rnam par shes pa dang zhes bya ba ni /	235a	The consciousness is🔽the mind wheel.
['BO_T02_D1203:235a-11']	thugs kyi 'khor lo'o //	thugs kyi 'khor lo'o //	235a	of the mind.
['BO_T02_D1203:235a-12']	nam mkhar ye shes zhes bya ba ni /	nam mkhar ye shes zhes bya ba ni /	235a	The knowledge in the sky
['BO_T02_D1203:235a-13']	'pho ba la sogs pa'i ye shes bcas pa'i gnas ni sprul pa'i 'khor lor ro //	'pho ba la sogs pa'i ye shes bcas pa'i gnas ni sprul pa'i 'khor lor ro //	235a	is the abode of the knowledge of transference, etc., in the emanation wheel.
['BO_T02_D1203:235a-14']	de bzhin no zhes bya ba ni /	de bzhin no zhes bya ba ni /	235a	So it is
['BO_T02_D1203:235a-15']	sprul pa'i 'khor lo'i ye shes dang ldan par gsungs pa de bzhin du /	sprul pa'i 'khor lo'i ye shes dang ldan par gsungs pa de bzhin du /	235a	. Just as it is said that the emanation wheel is endowed with knowledge,
['BO_T02_D1203:235a-16']	gzhan gsum po yang dag pa la sogs pa'i dngos po la sogs pa gsum dang sbyar ro //	gzhan gsum po yang dag pa la sogs pa'i dngos po la sogs pa gsum dang sbyar ro //	235a	so also the other three are to be applied to the three things, such as reality, etc.🔽The eight bodies
['BO_T02_D1203:235a-17', 'BO_T02_D1203:235a-18']	sku brgyad kyi ni bye brag tu //🔽zhes bya ba ni /	sku brgyad kyi ni bye brag tu // zhes bya ba ni /	235a	are distinguished.
['BO_T02_D1203:235a-19', 'BO_T02_D1203:235a-20']	'khor lo bzhi'i bye brag gis gnas brgyad dang ldan pa'i sku brgyad bskyed pa'i cho ga'o //🔽dngos po rten dang rnam par 'byed //	'khor lo bzhi'i bye brag gis gnas brgyad dang ldan pa'i sku brgyad bskyed pa'i cho ga'o // dngos po rten dang rnam par 'byed //	235a	The eight bodies are generated by the procedure of the eight abodes distinguished by the four wheels.
['BO_T02_D1203:235a-21']	ces bya ba ni /	ces bya ba ni /	235a	The thing is the basis and the division.
['BO_T02_D1203:235a-22', 'BO_T02_D1203:235a-23']	sku'i 'khor lo la sogs pa'i gzhi'i gnas la sogs par dngos po la sogs pa'i mchod sbyin bya zhes bla ma'i man ngag gi 'chang pa'o //🔽ji bzhin 'dod pa sdud pa ni //	sku'i 'khor lo la sogs pa'i gzhi'i gnas la sogs par dngos po la sogs pa'i mchod sbyin bya zhes bla ma'i man ngag gi 'chang pa'o // ji bzhin 'dod pa sdud pa ni //	235a	The thing, etc., is to be offered in the abode, etc., of the body wheel, etc., according to the instruction of the guru.
['BO_T02_D1203:235a-24']	zhes bya ba ni /	zhes bya ba ni /	235a	The gathering of what is desired just as it is🔽is the knowledge of the enjoyment body.
['BO_T02_D1203:235a-25']	bskyed pa dang rdzogs pa'i thig le bstan pa bzhin du /	bskyed pa dang rdzogs pa'i thig le bstan pa bzhin du /	235a	Just as the bindu of creation and completion is taught,
['BO_T02_D1203:235a-26']	bde ba'i byang chub kyi sems 'di yang de bzhin no //	bde ba'i byang chub kyi sems 'di yang de bzhin no //	235a	so too is this bodhicitta of bliss.
['BO_T02_D1203:235a-27']	mchod sbyin rnal 'byor ma dkyil 'khor //	mchod sbyin rnal 'byor ma dkyil 'khor //	235a	The mandala of yoginīs’ offerings
['BO_T02_D1203:235a-28']	zhes bya ba ni 'khor lo bzhi'i rtsa'i dkyil 'khor ni mkha' ni mkha' ma'i dkyil 'khor 'dod pa'i bde ba dang bcas pa'i ngo bo ste /	zhes bya ba ni 'khor lo bzhi'i rtsa'i dkyil 'khor ni mkha' ni mkha' ma'i dkyil 'khor 'dod pa'i bde ba dang bcas pa'i ngo bo ste /	235a	is the mandala of the channels of the four cakras, the essence of the bliss of desire,
['BO_T02_D1203:235a-29']	mchog gi dga' ba'i mtshan nyid du 'gyur ro //	mchog gi dga' ba'i mtshan nyid du 'gyur ro //	235a	which becomes the characteristic of supreme joy.
['BO_T02_D1203:235a-30']	phyi'i gnas shes nang gi gnas la 'jug par 'gyur pa'i phyir /	phyi'i gnas shes nang gi gnas la 'jug par 'gyur pa'i phyir /	235a	Because of knowing the external locations, one enters the internal locations.
['BO_T02_D1203:235a-31']	de gsungs pa ste /	de gsungs pa ste /	235a	Therefore, it is said:
['BO_T02_D1203:235a-32', 'BO_T02_D1203:235a-33']	au dyan na sogs gnas su ni ;🔽/ zhes bya ba ni /	au dyan na sogs gnas su ni ; / zhes bya ba ni /	235a	In Oḍḍiyāna and so on,
['BO_T02_D1203:235a-34']	mkha' 'gro ma 'du ba'i gnas ni au dyan dang / dz'a landha ra dang / pulli ra dang / k'a ma r'u dang / ma la ya dang / sindhu dang / nag ra dang / singe la dang / mu mu ni dang / de bi ko t'i dang /	mkha' 'gro ma 'du ba'i gnas ni au dyan dang / dz'a landha ra dang / pulli ra dang / k'a ma r'u dang / ma la ya dang / sindhu dang / nag ra dang / singe la dang / mu mu ni dang / de bi ko t'i dang /	235a	the gathering places of the ḍākinīs are Oḍḍiyāna, Jālandhara, Pūrṇagiri, Kāmarūpa, Mālava, Sindhu, Nagara, Siṃhala, Kumārī, and Devīkoṭa.
['BO_T02_D1203:235b-0']	ko ku da dang / aa rbu da dang / ha ri ke la dang / ko ta pa dang / lamba ka dang / @235b k'anytsi dang / las kyi yul dang / gser gyi gling dang / kodga na dang / bi da ra dang / yig dags 'dus pa dang /	ko ku da dang / aa rbu da dang / ha ri ke la dang / ko ta pa dang / lamba ka dang / @235b k'anytsi dang / las kyi yul dang / gser gyi gling dang / kodga na dang / bi da ra dang / yig dags 'dus pa dang /	235b	Vidara, and the assembly of letters.🔽Ocean shore, Charita,🔽Youth city, Kasmari, Kerta,🔽Nevale, Karnaja,🔽upper, middle, and lower regions,
['BO_T02_D1203:235b-1']	rgya mtsho'i dogs dang / tsa ri ta dang / gzhon nu'i grong khyer dang / kasma ri dang / ker ta dang / ne ba le dang / kar nu dza dang / sa bla dang / sa steng dang / sa 'og dang / ri rab rtse dang /	rgya mtsho'i dogs dang / tsa ri ta dang / gzhon nu'i grong khyer dang / kasma ri dang / ker ta dang / ne ba le dang / kar nu dza dang / sa bla dang / sa steng dang / sa 'og dang / ri rab rtse dang /	235b	Meru peak,🔽Videha in the east,🔽Kuru in the north,🔽Godaniya in the west,
['BO_T02_D1203:235b-2', 'BO_T02_D1203:235b-3']	shar gyi lus 'phags dang / byang gi sgra mi snyan dang / nub kyi ba lang spyod dang / lho'i 'dzam bu glings dang de rnams so //🔽legs dgyes la sogs lha mo kun //	shar gyi lus 'phags dang / byang gi sgra mi snyan dang / nub kyi ba lang spyod dang / lho'i 'dzam bu glings dang de rnams so // legs dgyes la sogs lha mo kun //	235b	and Jambudvipa in the south.
['BO_T02_D1203:235b-4']	zhes pa ni /	zhes pa ni /	235b	All goddesses such as Manohara and so forth,
['BO_T02_D1203:235b-5']	lha mo legs dgyes rdo rje ma dang / rdo rje mche ba ma dang / rdo rje glang chen ma dang / 'jigs ma dang ; dpa' mo la sogs pa'i lha mo rnams so //	lha mo legs dgyes rdo rje ma dang / rdo rje mche ba ma dang / rdo rje glang chen ma dang / 'jigs ma dang ; dpa' mo la sogs pa'i lha mo rnams so //	235b	ni, Vajradaṃṣṭrī, Vajra-Gajacchāyā, Vajra-Bhīma, and Vajra-Śūrī.
['BO_T02_D1203:235b-6']	k'a li zhes pa la sogs pa ni bla ma'i kha las shes par bya'o //	k'a li zhes pa la sogs pa ni bla ma'i kha las shes par bya'o //	235b	The meaning of the words kālī, etc., should be understood from the guru.🔽The various minds of sentient beings
['BO_T02_D1203:235b-7', 'BO_T02_D1203:235b-8', 'BO_T02_D1203:235b-9']	sems can sems kyi bye brag tu //🔽zhes bya ba ni /🔽'gro ba'i bsam pa tha dad pa'i dbang gis /	sems can sems kyi bye brag tu // zhes bya ba ni / 'gro ba'i bsam pa tha dad pa'i dbang gis /	235b	are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.
['BO_T02_D1203:235b-10', 'BO_T02_D1203:235b-11']	sangs rgyas rnams kyi dgongs pa yang de bzhin du mdzad pa yin no ;🔽/ de bas na /	sangs rgyas rnams kyi dgongs pa yang de bzhin du mdzad pa yin no ; / de bas na /	235b	The various intentions of sentient beings are the various families of the Tathāgatas.
['BO_T02_D1203:235b-12', 'BO_T02_D1203:235b-13', 'BO_T02_D1203:235b-14']	sna tshogs thabs ni rab tu bshad //🔽ces gsungs so //🔽mtshan yang dag par brjod pa las kyang /	sna tshogs thabs ni rab tu bshad // ces gsungs so // mtshan yang dag par brjod pa las kyang /	235b	The various intentions of sentient beings are the various families of the Tathāgatas.
['BO_T02_D1203:235b-15']	theg pa sna tshogs thabs tshul gyis //	theg pa sna tshogs thabs tshul gyis //	235b	The various intentions of sentient beings are the various families of the Tathāgatas.
['BO_T02_D1203:235b-16', 'BO_T02_D1203:235b-17']	'gro ba'i don la rtogs pa po //🔽zhes gsungs so //	'gro ba'i don la rtogs pa po //🔽zhes gsungs so //	235b	The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.🔽The various intentions of sentient beings are the various families of the Tathāgatas.
['BO_T02_D1203:235b-18']	bcom ldan 'das nyid kyi sku'i gzugs ji ltar 'thad pa bzhin du mdzad nas thabs rnam pa sna tshogs pa'i sgo nas chos ston pa dang / sprul pa'i sku'i gnas skabs su /	bcom ldan 'das nyid kyi sku'i gzugs ji ltar 'thad pa bzhin du mdzad nas thabs rnam pa sna tshogs pa'i sgo nas chos ston pa dang / sprul pa'i sku'i gnas skabs su /	235b	In the context of the Transformation Body,
['BO_T02_D1203:235b-19']	sems can rnams la gzigs te /	sems can rnams la gzigs te /	235b	he sees sentient beings
['BO_T02_D1203:235b-20']	'dul ba'i thabs la sogs pa tshul rnam pa bzhi gsungs te /	'dul ba'i thabs la sogs pa tshul rnam pa bzhi gsungs te /	235b	and teaches the four methods, such as the method of conversion.
['BO_T02_D1203:235b-21']	kha cig rnams la 'dul ba'i thabs //	kha cig rnams la 'dul ba'i thabs //	235b	For some, the method of conversion.
['BO_T02_D1203:235b-22']	zhes bya ba la sogs pa la /	zhes bya ba la sogs pa la /	235b	And so on.
['BO_T02_D1203:235b-23']	kha cig rnams ni sems can 'dod chags dang bral ba'i lam la khyad par du mos pa rnams la chos bstan pa /	kha cig rnams ni sems can 'dod chags dang bral ba'i lam la khyad par du mos pa rnams la chos bstan pa /	235b	For some, he teaches the Dharma to sentient beings who are especially devoted to the path of freedom from desire.
['BO_T02_D1203:235b-24']	'dul ba'i thabs ni gdul bya de rnams kyi don du'o //	'dul ba'i thabs ni gdul bya de rnams kyi don du'o //	235b	The method of conversion is for the sake of those to be converted.
['BO_T02_D1203:235b-25']	kha cig rnams la mdo sde ni //	kha cig rnams la mdo sde ni //	235b	For some, the sutra collection.
['BO_T02_D1203:235b-26']	zhes bya ba ni /	zhes bya ba ni /	235b	This means
['BO_T02_D1203:235b-27']	theg pa chen po'i mdo sde dang de las gzhan pa'o //	theg pa chen po'i mdo sde dang de las gzhan pa'o //	235b	the Mahayana sutras and those other than that.
['BO_T02_D1203:235b-28']	theg pa chen po ni sbyin pa dang // tshul khrims la sogs pa'i lam la zhugs pa yin la /	theg pa chen po ni sbyin pa dang // tshul khrims la sogs pa'i lam la zhugs pa yin la /	235b	The Mahayana is the path of generosity, morality, and so on.
['BO_T02_D1203:235b-29']	gzhan ma ni spyin pa la sog pa bya ba'i lam la ma zhugs pa'o //	gzhan ma ni spyin pa la sog pa bya ba'i lam la ma zhugs pa'o //	235b	The other is the one who has not entered the path of action of giving, etc.
['BO_T02_D1203:235b-30']	la la pha rol phyin pa'i lam //	la la pha rol phyin pa'i lam //	235b	For some, the path of the perfections.
['BO_T02_D1203:235b-31']	zhes bya ba ni /	zhes bya ba ni /	235b	This is the practice
['BO_T02_D1203:235b-32']	sa dang pha rol phyin pa'i sgo nas spyod pa ste /	sa dang pha rol phyin pa'i sgo nas spyod pa ste /	235b	from the point of view of the stages and the perfections.
