segmentnr	original	analyzed	folio	translated
['BO_T02_D1197:125b-13']	de'i phyir de bzhin gshegs pa rnams kyis rnam par mi rtog pa'i bdag nyid kyi sems rang bzhin dang bral ba chos kyi dbyings kyi bdag nyid do //	de'i phyir de bzhin gshegs pa rnams kyis rnam par mi rtog pa'i bdag nyid kyi sems rang bzhin dang bral ba chos kyi dbyings kyi bdag nyid do //	125b	Therefore, the Tathāgatas have said that the mind, which is of the nature of non-conceptuality, is free from intrinsic nature, and is of the nature of the dharmadhātu.
['BO_T02_D1197:125b-14']	'on kyang kun rdzob kyi rgyus sems ming tsam du brjod do //	'on kyang kun rdzob kyi rgyus sems ming tsam du brjod do //	125b	However, the mind is said to be merely nominal due to the cause of the conventional.
['BO_T02_D1197:125b-15']	de ltar yang rgyal ba'i yum las gsungs te /	de ltar yang rgyal ba'i yum las gsungs te /	125b	Thus it is said in the Mother of the Victorious Ones:
['BO_T02_D1197:125b-16']	rab 'byor sems gang sems de ni sems med par yang dag pa ji lta ba bzhin du rab tu shes pa'i sems de ni sems med pa'o //	rab 'byor sems gang sems de ni sems med par yang dag pa ji lta ba bzhin du rab tu shes pa'i sems de ni sems med pa'o //	125b	“Subhūti, the mind that is a mind is known to be non-existent, just as it is. That mind is non-existent.”
['BO_T02_D1197:125b-17']	de bzhin du yang /	de bzhin du yang /	125b	And also:
['BO_T02_D1197:125b-18', 'BO_T02_D1197:125b-19']	yod pa ma yin med pa min //🔽yod dang med pa gnyis ka min //	yod pa ma yin med pa min // yod dang med pa gnyis ka min //	125b	It is not existent, nor is it non-existent.🔽It is not both existent and non-existent.
['BO_T02_D1197:125b-20']	gnyi ga'i bdag nyid med pa'ang min //	gnyi ga'i bdag nyid med pa'ang min //	125b	Nor is it the identity of neither.
['BO_T02_D1197:125b-21']	mtha' bzhi las ni rnam grol ba //	mtha' bzhi las ni rnam grol ba //	125b	Liberated from the four extremes,
['BO_T02_D1197:125b-22']	de nyid dbu ma pa yis shes //	de nyid dbu ma pa yis shes //	125b	That is known by the Mādhyamikas.
['BO_T02_D1197:125b-23']	de phyir sgom pa po med de //	de phyir sgom pa po med de //	125b	Therefore, there is no meditator,
['BO_T02_D1197:125b-24']	sems med ces pa'i don to //	sems med ces pa'i don to //	125b	Meaning there is no mind.
['BO_T02_D1197:125b-25']	de med pa'i phyir phung po lnga'i nga rgyal yang med de /	de med pa'i phyir phung po lnga'i nga rgyal yang med de /	125b	Because of that, there is also no pride in the five aggregates.
['BO_T02_D1197:125b-26']	phung po lnga med pa'i phyir mig la sogs pa'i skye mched rnams kyang med do //	phung po lnga med pa'i phyir mig la sogs pa'i skye mched rnams kyang med do //	125b	Because the five aggregates do not exist, the sense-spheres such as the eye do not exist.
['BO_T02_D1197:125b-27']	skye mched rnams med pas 'dzin pa yang med do //	skye mched rnams med pas 'dzin pa yang med do //	125b	Because the sense-spheres do not exist, the apprehender does not exist.
['BO_T02_D1197:125b-28']	'dzin pa med pas gzung ba'i dngos po yang med do //	'dzin pa med pas gzung ba'i dngos po yang med do //	125b	Because the apprehender does not exist, the object of apprehension does not exist.
['BO_T02_D1197:125b-29']	ci'i phyir med ce na /	ci'i phyir med ce na /	125b	Why does it not exist?
['BO_T02_D1197:125b-30']	gcig dang du ma dang bral ba'i phyir ro //	gcig dang du ma dang bral ba'i phyir ro //	125b	Because it is devoid of singularity and multiplicity.
['BO_T02_D1197:125b-31', 'BO_T02_D1197:126a-0']	khams rnams kyi gong bu rdul phra rab tu son cing rdul phra rab kyang cha drug tu phye zhing phyogs cha drug gi dbye bas cha med pa nyid du 'gyur ba'o //🔽de ltar phung po lnga dang skye @126a * //	khams rnams kyi gong bu rdul phra rab tu son cing rdul phra rab kyang cha drug tu phye zhing phyogs cha drug gi dbye bas cha med pa nyid du 'gyur ba'o // de ltar phung po lnga dang skye @126a * //	125b	The aggregates are reduced to atoms, and the atoms are divided into six parts by the division into six directions.
['BO_T02_D1197:126a-1']	mched rnams bden par med do //	mched rnams bden par med do //	126a	Thus, the five aggregates and the sense-spheres do not truly exist.
['BO_T02_D1197:126a-2']	de'i phyir sgyu ma lta bu'i chos //	de'i phyir sgyu ma lta bu'i chos //	126a	Therefore, illusory phenomena
['BO_T02_D1197:126a-3', 'BO_T02_D1197:126a-4']	bden pa ma yin brdzun pa min //🔽sgyu ma'i dpe ni bcu gnyis kyis //	bden pa ma yin brdzun pa min // sgyu ma'i dpe ni bcu gnyis kyis //	126a	are neither true nor false.🔽The illusion should be understood
['BO_T02_D1197:126a-5']	rtogs par bya'o 'di lta ste //	rtogs par bya'o 'di lta ste //	126a	by the twelve examples, as follows:
['BO_T02_D1197:126a-6']	sgyu ma dang ni smig rgyu dang // dri za yi ni grong khyer dang // mdun gyi chu yi zla ba dang // me long gi ni gzugs brnyan dang // de bzhin rmi lam dpa' bo'i gzhu //	sgyu ma dang ni smig rgyu dang // dri za yi ni grong khyer dang // mdun gyi chu yi zla ba dang // me long gi ni gzugs brnyan dang // de bzhin rmi lam dpa' bo'i gzhu //	126a	And likewise a dream, and a hero's bow,🔽And a cloud, and a shadow, and a flash of lightning,
['BO_T02_D1197:126a-7']	sprin gyi grib ma gsal snang dang / chu yi chu bur mig 'phrul dang // mun pa yi ni rab rib po //	sprin gyi grib ma gsal snang dang / chu yi chu bur mig 'phrul dang // mun pa yi ni rab rib po //	126a	And a water bubble, and a magical illusion, and darkness, and a cataract.
['BO_T02_D1197:126a-8']	dam pa'i kun rdzob kyi bden pa gsungs pa ni sna tshogs kyi don 'byung ba'i phyir ro zhes pa ni nges pa'o //	dam pa'i kun rdzob kyi bden pa gsungs pa ni sna tshogs kyi don 'byung ba'i phyir ro zhes pa ni nges pa'o //	126a	The statement of the conventional truth of the highest is certain, because it is the source of various meanings.
['BO_T02_D1197:126a-9']	rigs pa 'dis dngos po med ces pa ni rnal 'byor gyi sred pa bsal ba'o //	rigs pa 'dis dngos po med ces pa ni rnal 'byor gyi sred pa bsal ba'o //	126a	By this reasoning, the non-existence of things is the removal of the craving of the yogi.
['BO_T02_D1197:126a-10']	yang na bsgom par bya ba dang bsgom pa dang sgom pa po bsgom par bya ba'i rnal 'byor la goms bas cung zad nyams su myong ba dang bcas pa'i sems kyi lam mthong ngo //	yang na bsgom par bya ba dang bsgom pa dang sgom pa po bsgom par bya ba'i rnal 'byor la goms bas cung zad nyams su myong ba dang bcas pa'i sems kyi lam mthong ngo //	126a	Or else, the path of the mind is seen, along with the slight experience of the yogi who is accustomed to the practice of the object of meditation, meditation, and the meditator.
['BO_T02_D1197:126a-11']	'di gnyis 'di ltar bsgom par bya ba mi phyed pa'i sbyor ba blta'o //	'di gnyis 'di ltar bsgom par bya ba mi phyed pa'i sbyor ba blta'o //	126a	These two should be seen as the practice of the indivisibility of meditation in this way.
['BO_T02_D1197:126a-12']	rtsa rnams kyi rang bzhin gyis 'khor los srog dang thur sel 'gog pa yang phan tshun phyi dang nang 'khyud pa'o //	rtsa rnams kyi rang bzhin gyis 'khor los srog dang thur sel 'gog pa yang phan tshun phyi dang nang 'khyud pa'o //	126a	The vital energy and evacuative winds are blocked by the intrinsic nature of the channels, which embrace each other externally and internally.
['BO_T02_D1197:126a-13']	de ltar bsgom pa yang de dag gi sgyu ma lta bu gsal ba tsam nyid kyis te /	de ltar bsgom pa yang de dag gi sgyu ma lta bu gsal ba tsam nyid kyis te /	126a	This is the meditation, which is merely the clarity of their illusoriness.
['BO_T02_D1197:126a-14']	gzhan du de kho na nyid 'di mos par bya ba ma yin no zhes dgongs so //	gzhan du de kho na nyid 'di mos par bya ba ma yin no zhes dgongs so //	126a	Otherwise, this reality is not to be imagined.
['BO_T02_D1197:126a-15']	da ni don dam pa'i bden pa'i lta ba bstan pa'i phyir sngags med ces bya ba la sogs pa gsungs te /	da ni don dam pa'i bden pa'i lta ba bstan pa'i phyir sngags med ces bya ba la sogs pa gsungs te /	126a	Now, in order to teach the view of ultimate reality, [the Bhagavān] declares, “without mantra,” and so on.
['BO_T02_D1197:126a-16']	'dir rnal 'byor pa rnams kyi sngags zhes pa la /	'dir rnal 'byor pa rnams kyi sngags zhes pa la /	126a	Here, the mantra of the yogins is
['BO_T02_D1197:126a-17']	sngags ni rnam pa gsum mo //	sngags ni rnam pa gsum mo //	126a	mantra in three aspects.
['BO_T02_D1197:126a-18']	de'i rim pa ni 'di lta ste /	de'i rim pa ni 'di lta ste /	126a	Its stages are as follows:
['BO_T02_D1197:126a-19']	dbyibs dang byang chub sems dang rlung ngo //	dbyibs dang byang chub sems dang rlung ngo //	126a	shape, bodhicitta, and wind.
