segmentnr	original	analyzed	translated
['BO_T02_D3045:87a-0']	@87a * // dpal rdo rje rnam par 'joms pa la phyag 'tshal lo //	@87a * // dpal rdo rje rnam par 'joms pa la phyag 'tshal lo //	Homage to the glorious Vajravidāraṇa.
['BO_T02_D3045:87a-1']	bsod nams rgya chen po 'phel bar 'dod pa'i sgrub pa po dam tshig dang ldan pas /	bsod nams rgya chen po 'phel bar 'dod pa'i sgrub pa po dam tshig dang ldan pas /	A practitioner who possesses the commitments and who wishes to increase vast merit
['BO_T02_D3045:87a-2']	gnas khang yid dang mthun par 'phags pa rdo rje rnam par 'joms pa'i lha sum cu rtsa lnga'i dkyil 'khor bzhengs la /	gnas khang yid dang mthun par 'phags pa rdo rje rnam par 'joms pa'i lha sum cu rtsa lnga'i dkyil 'khor bzhengs la /	should erect the maṇḍala of thirty-five deities of the ārya noble Vajravidāraṇa in a pleasing temple.
['BO_T02_D3045:87a-3']	bum pa yang lha'i grangs dang mnyam pa la /	bum pa yang lha'i grangs dang mnyam pa la /	Also, with regard to the vases, there should be as many as there are deities.
['BO_T02_D3045:87b-0']	so so'i mtshan mas btab la dar sna tshogs pa'i @87b mgul chings kyis gdags so //	so so'i mtshan mas btab la dar sna tshogs pa'i @87b mgul chings kyis gdags so //	They should be sealed with the respective seals and tied with a neck ribbon of various silks.
['BO_T02_D3045:87b-1']	dkyil 'khor gyi phyogs bzhir kun du shug pa dang smyug ma dang / 'dam bu dang seng ldeng gi shing gi lo ma dang 'bras bur bcas pa rim par 'khor bar gzugs so //	dkyil 'khor gyi phyogs bzhir kun du shug pa dang smyug ma dang / 'dam bu dang seng ldeng gi shing gi lo ma dang 'bras bur bcas pa rim par 'khor bar gzugs so //	In the four directions of the maṇḍala, the leaves and fruits of the trees—the aśoka, bamboo, reed, and khadira—should be arranged in order.
['BO_T02_D3045:87b-2']	steng nas dar dmar po'i yol bas dgab /	steng nas dar dmar po'i yol bas dgab /	Above, it is covered with a red silk curtain.
['BO_T02_D3045:87b-3']	gnas khang gi logs rnams su yang de bzhin gshegs pa'i sku ris su bris pa dang / 'bur du btod pa dang / lugs su blugs pa la sogs pa'i rten rnams dgram /	gnas khang gi logs rnams su yang de bzhin gshegs pa'i sku ris su bris pa dang / 'bur du btod pa dang / lugs su blugs pa la sogs pa'i rten rnams dgram /	Also, on the walls of the house, arrange representations of the Tathāgata, such as paintings, bas-reliefs, and molded [statues].
['BO_T02_D3045:87b-4', 'BO_T02_D3045:87b-5']	pusti dang glegs bam la sogs pa yang dgram /🔽de nas mchod pa'i bye brag spos kyi reng bu stong /	pusti dang glegs bam la sogs pa yang dgram / de nas mchod pa'i bye brag spos kyi reng bu stong /	Also arrange books, volumes, and so forth.🔽Then, arrange a thousand incense sticks,
['BO_T02_D3045:87b-6', 'BO_T02_D3045:87b-7']	yon chab stong /🔽mar me stong /	yon chab stong / mar me stong /	a thousand water offerings,🔽a thousand lamps,
['BO_T02_D3045:87b-8']	bshos gtsang stong /	bshos gtsang stong /	a thousand fine foods,
['BO_T02_D3045:87b-9']	me tog stong /	me tog stong /	a thousand flowers,
['BO_T02_D3045:87b-10', 'BO_T02_D3045:87b-11']	gtor ma de snyed cig tu bsham mo //🔽shar du gdugs rgya shog las byas pa dkar po stong /	gtor ma de snyed cig tu bsham mo // shar du gdugs rgya shog las byas pa dkar po stong /	and that many bali offerings.🔽In the east, arrange a thousand white parasols made of paper.
['BO_T02_D3045:87b-12']	lhor ba dan ser po stong /	lhor ba dan ser po stong /	In the south, arrange a thousand yellow banners.
['BO_T02_D3045:87b-13']	nub tu rgyal mtshan stong /	nub tu rgyal mtshan stong /	In the west, arrange a thousand victory banners.
