segmentnr	original	analyzed	folio	translated
['BO_T02_D1943:69a-0']	@69a # // rgya gar skad du /	@69a # // rgya gar skad du /	69a	In Sanskrit:
['BO_T02_D1943:69a-1']	badzra g'i ti su kha ra da s'a dha nam n'a ma /	badzra g'i ti su kha ra da s'a dha nam n'a ma /	69a	Vajragīti Sarasvatīsādhana-nāma
['BO_T02_D1943:69a-2']	bod skad du /	bod skad du /	69a	In Tibetan:
['BO_T02_D1943:69a-3']	rdo rje bde rgyas dbyangs can ma'i sgrub thabs zhes bya ba //	rdo rje bde rgyas dbyangs can ma'i sgrub thabs zhes bya ba //	69a	The Means of Attaining Vajra Sarasvatī of Melodious Song
['BO_T02_D1943:69a-4']	dpal rdo rje sems dpa' phyag 'tshal lo //	dpal rdo rje sems dpa' phyag 'tshal lo //	69a	Homage to glorious Vajrasattva.
['BO_T02_D1943:69a-5']	shes rab pha rol phyin pa rgyal ba kun gyi yum //	shes rab pha rol phyin pa rgyal ba kun gyi yum //	69a	The perfection of wisdom, the mother of all the victors,
['BO_T02_D1943:69a-6', 'BO_T02_D1943:69a-7']	dri ma med pa'i gsung chen rdo rje dbyangs can ma //🔽btud de sangs rgyas bde chen rab tu 'phel bya'i phyir //	dri ma med pa'i gsung chen rdo rje dbyangs can ma // btud de sangs rgyas bde chen rab tu 'phel bya'i phyir //	69a	The great stainless speech, Vajra Sarasvatī,🔽I bow to her and explain the stainless lotus of speech,
['BO_T02_D1943:69a-8']	gsung gi padma dri ma med pa'i sgrub thabs bshad //	gsung gi padma dri ma med pa'i sgrub thabs bshad //	69a	The means of attainment for the sake of increasing the great bliss of the buddhas.
['BO_T02_D1943:69b-0']	nags tshal mi med dben @69b pa'i gnas //	nags tshal mi med dben @69b pa'i gnas //	69b	In a forest, an isolated and secluded place,
['BO_T02_D1943:69b-1']	nyams dga' bkra shis dang ba ru //	nyams dga' bkra shis dang ba ru //	69b	A delightful, auspicious, and pure place,
['BO_T02_D1943:69b-2']	'jam pa'i stan la 'dug nas ni //	'jam pa'i stan la 'dug nas ni //	69b	Sitting on a soft cushion,
['BO_T02_D1943:69b-3']	chu bur lta bu'i tshul gyis bsgoms //	chu bur lta bu'i tshul gyis bsgoms //	69b	Meditate in the manner of a water bubble.
['BO_T02_D1943:69b-4']	sems can kun don legs byas nas //	sems can kun don legs byas nas //	69b	Having well performed the benefit of all sentient beings,
['BO_T02_D1943:69b-5']	dam pa'i 'khor lo bsgom par bya //	dam pa'i 'khor lo bsgom par bya //	69b	Meditate on the wheel of the sublime.🔽Prostration, praise, confession,
['BO_T02_D1943:69b-6']	phyag 'tshal bstod dang bshags pa dang // rjes su yi rang bskul gsol gdab //	phyag 'tshal bstod dang bshags pa dang // rjes su yi rang bskul gsol gdab //	69b	Rejoicing, urging, and supplication,
['BO_T02_D1943:69b-7']	bsngo dang smon lam btab byas nas //	bsngo dang smon lam btab byas nas //	69b	Having made the dedication and aspiration prayers,
['BO_T02_D1943:69b-8']	yid kyis gshegs gsol tshad med bzhi //	yid kyis gshegs gsol tshad med bzhi //	69b	one should mentally request the departure, and the four immeasurables.
['BO_T02_D1943:69b-9']	sngon 'gro stong pa bsgom par bya //	sngon 'gro stong pa bsgom par bya //	69b	One should meditate on the preliminary emptiness.
['BO_T02_D1943:69b-10']	srung ba'i 'khor lo 'jigs chen po //	srung ba'i 'khor lo 'jigs chen po //	69b	The great fear of the protection wheel,
['BO_T02_D1943:69b-11']	mtshon cha 'khrug pa shin tu bsgom //	mtshon cha 'khrug pa shin tu bsgom //	69b	the weapon-conflicts are very much meditated.
['BO_T02_D1943:69b-12']	padma zla ba'i steng nyid du //	padma zla ba'i steng nyid du //	69b	On the top of the lotus and moon,
['BO_T02_D1943:69b-13']	byu ru bcag 'dra'i do dag las //	byu ru bcag 'dra'i do dag las //	69b	from the essence of the ruby,
['BO_T02_D1943:69b-14']	chu skyes 'dab brgyad mtshan mar ldan //	chu skyes 'dab brgyad mtshan mar ldan //	69b	the eight-petaled lotus is endowed with the sign.
['BO_T02_D1943:69b-15']	'phros rnams bsdu ba byas nas //	'phros rnams bsdu ba byas nas //	69b	The emanations are gathered back,
['BO_T02_D1943:69b-16']	rigs kyi 'khor lo ma lus pa'o //	rigs kyi 'khor lo ma lus pa'o //	69b	and all the wheels of the family.
['BO_T02_D1943:69b-17']	aom badzra r'a ga ra ti a'atma ko&amp; ham /	aom badzra r'a ga ra ti a'atma ko&amp; ham /	69b	oṃ vajra-rati-ātmako ’haṃ
['BO_T02_D1943:69b-18']	gyur pas padma r'a ga'i mdog //	gyur pas padma r'a ga'i mdog //	69b	One becomes the color of ruby,
['BO_T02_D1943:69b-19']	zhal gsum g-yon g-yas g-yon sngo dang dkar //	zhal gsum g-yon g-yas g-yon sngo dang dkar //	69b	with three faces, left, right, and middle blue,
['BO_T02_D1943:69b-20']	phyag drug gri gug padma dang // ral gri thod pa 'khor lo dang // nor bu yis ni shin tu mdzes //	phyag drug gri gug padma dang // ral gri thod pa 'khor lo dang // nor bu yis ni shin tu mdzes //	69b	with six arms, very beautiful with a flaying knife, lotus, sword, skull cup, chakram, and jewel.
['BO_T02_D1943:69b-21']	dbu la thod pa lngas bskor zhing //	dbu la thod pa lngas bskor zhing //	69b	The head is surrounded by five skulls,
['BO_T02_D1943:69b-22']	rlon po brgya phyed phreng bar ldan //	rlon po brgya phyed phreng bar ldan //	69b	and there is a garland of half-fresh heads.
['BO_T02_D1943:69b-23']	rin chen klung dang rus pas spras //	rin chen klung dang rus pas spras //	69b	It is adorned with jewel strings and bones.
['BO_T02_D1943:69b-24', 'BO_T02_D1943:69b-25']	shin tu zhi zhing sgeg pa ste //🔽stag lpags bsnams nas me dpung dkyil //	shin tu zhi zhing sgeg pa ste // stag lpags bsnams nas me dpung dkyil //	69b	Very peaceful and charming,🔽holding a tiger skin, in the midst of a bonfire,
['BO_T02_D1943:69b-26']	g-yon bskum g-yas pa brkyang pas gnas //	g-yon bskum g-yas pa brkyang pas gnas //	69b	standing with the left leg bent and the right extended.
['BO_T02_D1943:69b-27']	aom dharma dh'a tu sva bha wa a'atma ko&amp; ham /	aom dharma dh'a tu sva bha wa a'atma ko&amp; ham /	69b	Om dharmadhatu svabhava atmako ’ham.
['BO_T02_D1943:69b-28']	h'um las thugs kyi rdo rje ste //	h'um las thugs kyi rdo rje ste //	69b	From hum, the vajra of mind;
['BO_T02_D1943:69b-29', 'BO_T02_D1943:69b-30']	a'a: las gsung dang aom las sku //🔽kshim las sa snying rdo rje snying rje mig / dzim las rdo rje can rna bar //	a'a: las gsung dang aom las sku // kshim las sa snying rdo rje snying rje mig / dzim las rdo rje can rna bar //	69b	from ah, the vajra of speech; from om, the vajra of body;🔽from ksh, the vajra of heart of Akashagarbha; from j, the vajra of ear of Vajradhara;
['BO_T02_D1943:69b-31']	kham las nam mkha'i snying po snar //	kham las nam mkha'i snying po snar //	69b	from kh, the vajra of nose of Kshitigarbha;
['BO_T02_D1943:69b-32', 'BO_T02_D1943:69b-33']	gam las 'jig rten dbang du phyug lcer //🔽kam las sgrib pa rnam sel lus //	gam las 'jig rten dbang du phyug lcer // kam las sgrib pa rnam sel lus //	69b	from g, the vajra of tongue of Lokeshvara;🔽from k, the vajra of body of Sarvanivarana Viskambini;
['BO_T02_D1943:69b-34']	sam las kun du bzang po yid //	sam las kun du bzang po yid //	69b	from s, the vajra of mind of Samantabhadra.
['BO_T02_D1943:69b-35']	rig pa'i dbang bskur gshin rje gshed //	rig pa'i dbang bskur gshin rje gshed //	69b	The consecration of knowledge is Yamantaka.
['BO_T02_D1943:69b-36']	dgug gzhug bcing dang dbang du bya //	dgug gzhug bcing dang dbang du bya //	69b	Summoning, inducting, binding, and controlling,
['BO_T02_D1943:69b-37']	mchod pa bha ga'i byang chub sems //	mchod pa bha ga'i byang chub sems //	69b	the offering is the bodhichitta of the bhaga.
['BO_T02_D1943:69b-38']	rdo rje gsung gi ye shes che //	rdo rje gsung gi ye shes che //	69b	The great wisdom of vajra speech,
['BO_T02_D1943:69b-39']	padma shes rab pha rol phyin //	padma shes rab pha rol phyin //	69b	the lotus of the perfection of wisdom,
['BO_T02_D1943:69b-40']	'dod chags chen po nyid sbyor ba //	'dod chags chen po nyid sbyor ba //	69b	the union of great passion itself,
['BO_T02_D1943:69b-41']	rdo rje mthar mdzad khyod la bstod //	rdo rje mthar mdzad khyod la bstod //	69b	I praise you, Vajranataka.
['BO_T02_D1943:69b-42']	rdo rje sgu gus bdud rtsi myang //	rdo rje sgu gus bdud rtsi myang //	69b	One should taste the elixir with the vajra hook.
['BO_T02_D1943:69b-43']	sa bon 'phros pas 'gro ba sbyang //	sa bon 'phros pas 'gro ba sbyang //	69b	Having emanated the seed, one should purify the world.
['BO_T02_D1943:69b-44']	rdo rje bzlas pa brtsam par bya //	rdo rje bzlas pa brtsam par bya //	69b	One should undertake vajra repetition.
['BO_T02_D1943:69b-45']	yid gsal ba ni mchog tu gces //	yid gsal ba ni mchog tu gces //	69b	A clear mind is most important.
['BO_T02_D1943:69b-46']	aom badzra r'a ga ra ti h'um h'um h'um phat phat sv'a h'a /	aom badzra r'a ga ra ti h'um h'um h'um phat phat sv'a h'a /	69b	Oṃ vajra-rati hūṃ hūṃ hūṃ phaṭ phaṭ svāhā.
['BO_T02_D1943:69b-47']	ma ning rdo rje bzlas nas kyang //	ma ning rdo rje bzlas nas kyang //	69b	Having done the vajra repetition of the neutral,
['BO_T02_D1943:69b-48']	snying po can dngos bsgom par bya //	snying po can dngos bsgom par bya //	69b	one should meditate on the essence of reality.
['BO_T02_D1943:69b-49']	'dod chags chen po sbyor ba bzlog pa'i phyir //	'dod chags chen po sbyor ba bzlog pa'i phyir //	69b	In order to reverse the union of great passion,
['BO_T02_D1943:70a-0']	bde ba sems dran sgrub thabs 'di brtsams @70a * //	bde ba sems dran sgrub thabs 'di brtsams @70a * //	70a	I have composed this method of accomplishing the recollection of bliss.
['BO_T02_D1943:70a-1']	pas // gzung dang 'dzin pa'i dri ma dag nas kyang //	pas // gzung dang 'dzin pa'i dri ma dag nas kyang //	70a	Having purified the stains of subject and object,🔽may the power of the pure joy and aspiration increase.
['BO_T02_D1943:70a-2']	dga' ba rnam dag smon lam stobs 'gyur shog / rdo rje bde rgyas dbyang can ma'i sgrub thabs zhes bya ba rdzogs so//	dga' ba rnam dag smon lam stobs 'gyur shog / rdo rje bde rgyas dbyang can ma'i sgrub thabs zhes bya ba rdzogs so//	70a	The Means of Accomplishment of Vajra Mahāmāya is complete.
