segmentnr	original	analyzed	folio	translated
['BO_T16_D4438:299a-0']	@299a * // mtshon 'og 'byung ba rlung gi sa rlung gi gnas so//	@299a * // mtshon 'og 'byung ba rlung gi sa rlung gi gnas so//	299a	The element of wind is the place of wind.
['BO_T16_D4438:299a-1']	b'a da / pi ta /	b'a da / pi ta /	299a	vāta pitta
['BO_T16_D4438:299a-2']	ka pa / b'a da /	ka pa / b'a da /	299a	kapha vāta
['BO_T16_D4438:299a-3']	sarba / rlung mkhris pa bad kan rlung sprul dzum /	sarba / rlung mkhris pa bad kan rlung sprul dzum /	299a	sarva wind bile phlegm wind snake smile
['BO_T16_D4438:299a-4']	dza lu ka / rakta /	dza lu ka / rakta /	299a	jaluka blood
['BO_T16_D4438:299a-5']	shig srin bu padma can khrag p'a ni /	shig srin bu padma can khrag p'a ni /	299a	lice insect lotus blood pāni
['BO_T16_D4438:299a-6']	ma tsha li /	ma tsha li /	299a	masalī
['BO_T16_D4438:299a-7']	re ba / chu nya rta rkan 'og 'byung ba me'i sa mkhris pa'i gnas so//	re ba / chu nya rta rkan 'og 'byung ba me'i sa mkhris pa'i gnas so//	299a	reva water fish horse palate wind
['BO_T16_D4438:299a-8']	pi ta / b'a da /	pi ta / b'a da /	299a	pitta vāta
['BO_T16_D4438:299a-9']	ka pha / pi ta /	ka pha / pi ta /	299a	kapha pitta
['BO_T16_D4438:299a-10']	mkhris pa rlung bad kan mkhris pa la ba ka / ba ai sa /	mkhris pa rlung bad kan mkhris pa la ba ka / ba ai sa /	299a	bile wind phlegm bile lava
['BO_T16_D4438:299a-11']	ma du ka /	ma du ka /	299a	mūlaka
['BO_T16_D4438:299a-12']	sreg pa bya rog sbal pa rakta /	sreg pa bya rog sbal pa rakta /	299a	burning crow frog blood
['BO_T16_D4438:299a-13']	p'a ni / tsi ri /	p'a ni / tsi ri /	299a	pāṇi cīrī
