segmentnr	original	analyzed	folio	translated
['BO_T06_D4060:17b-0']	@17b * // rgya gar skad du /	@17b * // rgya gar skad du /	17b	In Sanskrit:
['BO_T06_D4060:17b-1']	by'a khy'a yukti s'u tra khanda sha tam /	by'a khy'a yukti s'u tra khanda sha tam /	17b	Vyākhyāyukti-sūtra-khaṇḍa-śatam
['BO_T06_D4060:17b-2']	bod skad du /	bod skad du /	17b	In Tibetan:
['BO_T06_D4060:17b-3']	rnam par bshad pa rigs pa'i mdo sde'i dum bu brgya /	rnam par bshad pa rigs pa'i mdo sde'i dum bu brgya /	17b	The Hundred Sections of the Sutra of Reasoning for Exegesis
['BO_T06_D4060:17b-4']	'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	17b	Homage to youthful Mañjuśrī.
['BO_T06_D4060:17b-5', 'BO_T06_D4060:17b-6']	chos gang dag thog mar dge ba /🔽bar du dge ba /	chos gang dag thog mar dge ba / bar du dge ba /	17b	Those who are virtuous at the beginning,🔽virtuous in the middle,
['BO_T06_D4060:17b-7']	tha mar dge ba /	tha mar dge ba /	17b	and virtuous at the end,
['BO_T06_D4060:17b-8']	don bzang po //	don bzang po //	17b	with excellent meaning,
['BO_T06_D4060:17b-9']	tshig 'bru bzang po /	tshig 'bru bzang po /	17b	excellent words,
['BO_T06_D4060:17b-10', 'BO_T06_D4060:17b-11', 'BO_T06_D4060:17b-12']	ma 'dres pa /🔽yongs su rdzogs pa /🔽yongs su dag pa /	ma 'dres pa / yongs su rdzogs pa / yongs su dag pa /	17b	unadulterated,🔽completely perfect,🔽completely pure,
['BO_T06_D4060:17b-13']	yongs su byang ba /	yongs su byang ba /	17b	completely cleansed,
['BO_T06_D4060:17b-14']	tshangs par spyod pa /	tshangs par spyod pa /	17b	and celibate,
['BO_T06_D4060:17b-15']	mngon par brjod pas mngon par rjod par byed pa ni mang du thos pa dang / thos pa'i gzhi can dang / thos pa bsags pa yin te /	mngon par brjod pas mngon par rjod par byed pa ni mang du thos pa dang / thos pa'i gzhi can dang / thos pa bsags pa yin te /	17b	are those who express through expression the many, the basis of hearing, and the accumulation of hearing.
