segmentnr	original	analyzed	translated
['BO_T02_D2548:18b-0']	@18b * // 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	@18b * // 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	Homage to youthful Manjushri.
['BO_T02_D2548:18b-1']	mtshan yang dag par brjod pa'i khrus kyi cho ga ni dang por bum pa bhr'um las ye shes kyis kyi gzhal yas khang du bsams la /	mtshan yang dag par brjod pa'i khrus kyi cho ga ni dang por bum pa bhr'um las ye shes kyis kyi gzhal yas khang du bsams la /	The ritual ablution of the recitation of the names: First, imagine the vase as the celestial mansion of wisdom from bhrum.
['BO_T02_D2548:18b-2']	de'i nang du bam las 'o ma can gyi rgya mtsho bsams te /	de'i nang du bam las 'o ma can gyi rgya mtsho bsams te /	In its interior, imagine the milk ocean from vam.
['BO_T02_D2548:18b-3']	de'i steng du hr'i: las padma dkar po 'dab ma dang bcas par bsams la /	de'i steng du hr'i: las padma dkar po 'dab ma dang bcas par bsams la /	Upon that, imagine a white lotus with petals from hrih.
['BO_T02_D2548:18b-4']	de'i steng du mum bsam /	de'i steng du mum bsam /	Upon that, imagine mum.
['BO_T02_D2548:18b-5']	de 'od du zhu bar gyur pa las autpa la dkar po cig bsam /	de 'od du zhu bar gyur pa las autpa la dkar po cig bsam /	That melts into light and becomes a white utpala.
['BO_T02_D2548:18b-6', 'BO_T02_D2548:19a-0']	de zhu ba las 'jam dpal gzhon nur gyur pa sku mdog ston ka'i zla ba ltar dkar ba /🔽@19a * // g-yas na autpala sngon po ral gris mchan pa /	de zhu ba las 'jam dpal gzhon nur gyur pa sku mdog ston ka'i zla ba ltar dkar ba / @19a * // g-yas na autpala sngon po ral gris mchan pa /	That melts and becomes youthful Manjushri, white as the autumn moon,🔽with a blue utpala marked with a sword in his right hand
['BO_T02_D2548:19a-1']	g-yon na autpala sngon po po tis mtshan pa bsgom /	g-yon na autpala sngon po po tis mtshan pa bsgom /	and a blue utpala marked with a scripture in his left hand.
['BO_T02_D2548:19a-2']	de'i snying gar zla ba la mum bsam /	de'i snying gar zla ba la mum bsam /	Meditate on that. In his heart, on a moon, imagine mum.
['BO_T02_D2548:19a-3']	de'i 'od zer gyis de dang 'dra ba spyan drangs la bstim /	de'i 'od zer gyis de dang 'dra ba spyan drangs la bstim /	Light rays from that invoke the corresponding form, which dissolves into it.
['BO_T02_D2548:19a-4']	sngags 'di brjod pas ye shes kyi chur zhu bar bsam /	sngags 'di brjod pas ye shes kyi chur zhu bar bsam /	Imagine that by reciting this mantra, it melts into the water of awareness.
['BO_T02_D2548:19a-5']	aom sarba dharm'a aa bh'a ba sva bh'a ba bi shuddha badzra tsakshu aa a'a aam aa:/	aom sarba dharm'a aa bh'a ba sva bh'a ba bi shuddha badzra tsakshu aa a'a aam aa:/	oṃ sarva dharma ava bhāva svabhāva viśuddha vajra cakṣu a ā aṃ āḥ
['BO_T02_D2548:19a-6']	zhes brjod pas ye shes kyi chus khrus byas pas rang gi sgo gsum dag par bya'o //	zhes brjod pas ye shes kyi chus khrus byas pas rang gi sgo gsum dag par bya'o //	By reciting this, the water of awareness performs the ablution, purifying your three doors.
['BO_T02_D2548:19a-7']	'dud kyis bstod do //	'dud kyis bstod do //	Then praise with the homage.
['BO_T02_D2548:19a-8']	'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i khrus kyi cho ga / slob dpon 'jam dpal bshes gnyen gyis mdzad pa rdzogs so//	'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i khrus kyi cho ga / slob dpon 'jam dpal bshes gnyen gyis mdzad pa rdzogs so//	The ritual of ablution for the Noble Mañjuśrī's Name-Mantra, composed by Master Mañjuśrīmitra, is complete.
