segmentnr	original	analyzed	folio	translated
['BO_T02_D2595:35a-0']	@35a # // rgya gar skad du /	@35a # // rgya gar skad du /	35a	In Sanskrit:
['BO_T02_D2595:35a-1']	a'arya manydzu shr'i n'a ma sing+g'i ti mandala bi dhi /	a'arya manydzu shr'i n'a ma sing+g'i ti mandala bi dhi /	35a	Ārya-mañjuśrī-nāma-saṃgīti-maṇḍala-vidhi
['BO_T02_D2595:35a-2']	bod skad du /	bod skad du /	35a	In Tibetan:
['BO_T02_D2595:35a-3']	'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i dkyil 'khor gyi cho ga /	'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i dkyil 'khor gyi cho ga /	35a	The Maṇḍala Ritual of the Noble One's True Recitation of Mañjuśrī's Name
['BO_T02_D2595:35a-4']	rje btsun 'jam pa'i dbyangs la phyag 'tshal lo //	rje btsun 'jam pa'i dbyangs la phyag 'tshal lo //	35a	Homage to the venerable Mañjughoṣa!
['BO_T02_D2595:35a-5']	ngo bo nyid kyi sku mnga' zhing //	ngo bo nyid kyi sku mnga' zhing //	35a	Possessing the essence body,
['BO_T02_D2595:35a-6']	sgyu ma'i rang bzhin 'byung gnas che //	sgyu ma'i rang bzhin 'byung gnas che //	35a	The source of the nature of illusion,
['BO_T02_D2595:35a-7']	sangs rgyas rnams kyi sprul pa'i sku //	sangs rgyas rnams kyi sprul pa'i sku //	35a	The emanation body of the buddhas,
['BO_T02_D2595:35a-8']	'jam pa'i dbyangs la phyag 'tshal te //	'jam pa'i dbyangs la phyag 'tshal te //	35a	Homage to Mañjughoṣa,
['BO_T02_D2595:35a-9']	dkyil 'khor cho ga bshad par bya //	dkyil 'khor cho ga bshad par bya //	35a	I shall explain the maṇḍala ritual.
['BO_T02_D2595:35a-10']	dang por re zhig slob ma ni //	dang por re zhig slob ma ni //	35a	First, the disciple
['BO_T02_D2595:35a-11']	dad ldan dam tshig brtul zhugs bsrung //	dad ldan dam tshig brtul zhugs bsrung //	35a	Who has faith, protects the commitments and observances,
['BO_T02_D2595:35a-12']	rtog med rgyud gcig bla ma dang // 'jam pa'i dpal la mos pa yis //	rtog med rgyud gcig bla ma dang // 'jam pa'i dpal la mos pa yis //	35a	Is free from concepts, has a single continuum, and is devoted to Mañjuśrī,
['BO_T02_D2595:35a-13']	khro med sngags dang rgyud la mkhas //	khro med sngags dang rgyud la mkhas //	35a	Is free from anger, skilled in mantra and tantra,
['BO_T02_D2595:35a-14']	thos ldan rgyud 'dir dbang thob pas //	thos ldan rgyud 'dir dbang thob pas //	35a	Learned, and has obtained empowerment into this tantra,
['BO_T02_D2595:35a-15']	dam tshig gsum la gnas pa des //	dam tshig gsum la gnas pa des //	35a	Resides in the three commitments,
['BO_T02_D2595:35a-16']	dang po 'phags pa 'jam dpal gyi lha rnams sgrub pa'i thabs las 'byung ba bzhin du bsnyen pa bya ste /	dang po 'phags pa 'jam dpal gyi lha rnams sgrub pa'i thabs las 'byung ba bzhin du bsnyen pa bya ste /	35a	First, one should perform the recitation according to the method of accomplishing the deities of noble Mañjuśrī.
['BO_T02_D2595:35a-17']	sngags kyi phreng ba 'bum du bzlas pa ni sngon du bsnyen pa'o //	sngags kyi phreng ba 'bum du bzlas pa ni sngon du bsnyen pa'o //	35a	Reciting the mantra garland one hundred thousand times is the preliminary recitation.
['BO_T02_D2595:35a-18', 'BO_T02_D2595:35a-19']	gzhung las / bsam gtan dang ni rjes mthun pa'i //🔽ri yi phug gam chu yi 'gram //	gzhung las / bsam gtan dang ni rjes mthun pa'i // ri yi phug gam chu yi 'gram //	35a	The text says:🔽In a mountain cave or on a riverbank,
['BO_T02_D2595:35a-20']	rdzing ngam rang dga'i gnas dag gam //	rdzing ngam rang dga'i gnas dag gam //	35a	in a pond, a pleasant place,
['BO_T02_D2595:35a-21', 'BO_T02_D2595:35a-22']	lha khang mchod rten sogs par //🔽zhes gsungs pas na //	lha khang mchod rten sogs par // zhes gsungs pas na //	35a	in a temple, a stūpa, and so forth,🔽in accordance with meditative concentration,
['BO_T02_D2595:35a-23']	de lta bu'i gnas der song la //	de lta bu'i gnas der song la //	35a	one should go to such a place
['BO_T02_D2595:35a-24']	ci tsam 'byor ba'i tshad kyis byas la //	ci tsam 'byor ba'i tshad kyis byas la //	35a	and perform [the preliminary practice] to the extent one can afford.
['BO_T02_D2595:35a-25']	sa dang pha rol phyin pa la //	sa dang pha rol phyin pa la //	35a	In the earth and perfections,
['BO_T02_D2595:35a-26', 'BO_T02_D2595:35a-27']	lha mo khyod ni dbang du gyur //🔽skyob pa sh'akya seng ge yis //	lha mo khyod ni dbang du gyur // skyob pa sh'akya seng ge yis //	35a	you, goddess, are the powerful one.🔽Just as the protector Śākyasiṃha
['BO_T02_D2595:35a-28']	ji ltar bdud kyi sde bcom pa //	ji ltar bdud kyi sde bcom pa //	35a	conquered the hosts of Māra,
['BO_T02_D2595:35a-29']	de mchod pa dang gtor ma bshams la /	de mchod pa dang gtor ma bshams la /	35a	having set up the offerings and bali,
['BO_T02_D2595:35a-30']	sa'i lha mo las bslang ba ni //	sa'i lha mo las bslang ba ni //	35a	the earth goddess is to be aroused:
['BO_T02_D2595:35a-31']	skyob pa sangs rgyas thams cad kyi //	skyob pa sangs rgyas thams cad kyi //	35a	All the protectors, the buddhas,
['BO_T02_D2595:35a-32']	spyod pa'i tshul dang khyad par dang // sa dang pha rol phyin pa la //	spyod pa'i tshul dang khyad par dang // sa dang pha rol phyin pa la //	35a	In the way of conduct, in the distinctions, in the stages, and in the perfections,
['BO_T02_D2595:35a-33']	lha mo khyod ni dpang du gyur //	lha mo khyod ni dpang du gyur //	35a	Goddess, you have become my witness.
['BO_T02_D2595:35a-34', 'BO_T02_D2595:35a-35']	skyob pa sh'akya seng ge yis //🔽ji ltar bdud kyi sde bcom pa //	skyob pa sh'akya seng ge yis // ji ltar bdud kyi sde bcom pa //	35a	Just as the protector, the Lion of the Shakyas,🔽Conquered the army of demons,
['BO_T02_D2595:35a-36']	de ltar bdag gis bdud bcom nas //	de ltar bdag gis bdud bcom nas //	35a	In the same way, having conquered the demons,
['BO_T02_D2595:35a-37']	bdag gis dkyil 'khor bri bar bya //	bdag gis dkyil 'khor bri bar bya //	35a	I will draw the maṇḍala.”
['BO_T02_D2595:35a-38']	zhes brjod nas /	zhes brjod nas /	35a	Having said this,
['BO_T02_D2595:35a-39']	thal mo sa la brdabs pas /	thal mo sa la brdabs pas /	35a	one should snap one’s fingers.
['BO_T02_D2595:35a-40']	sku phyed tsam sa las 'thon pa dang // sems can thams cad kyi don du dkyil 'khor byed pas bdag la byin zhes brjod pas /	sku phyed tsam sa las 'thon pa dang // sems can thams cad kyi don du dkyil 'khor byed pas bdag la byin zhes brjod pas /	35a	Half of the body emerges from the ground, and one should say, “Since I am making the maṇḍala for the benefit of all sentient beings, give it to me.”
['BO_T02_D2595:35a-41']	khyod kyi dkyil 'khor gyi bdag po gyis shig ces brjod nas sa la thim par bsam mo //	khyod kyi dkyil 'khor gyi bdag po gyis shig ces brjod nas sa la thim par bsam mo //	35a	“You should be the lord of the maṇḍala,” having said this, imagine that the earth dissolves into the ground.
['BO_T02_D2595:35b-0']	@35b sa slong ba'o //	@35b sa slong ba'o //	35b	This is the request for the earth.
['BO_T02_D2595:35b-1']	de nas drag po'i spyin sreg gis bgegs bzlog pa //	de nas drag po'i spyin sreg gis bgegs bzlog pa //	35b	Next, one should ward off obstructors with fierce burnt offerings.
['BO_T02_D2595:35b-2']	de nyid du bdag dang blo zhi ba'i phyir spyin sreg byas la der sa spyang bar bya ste /	de nyid du bdag dang blo zhi ba'i phyir spyin sreg byas la der sa spyang bar bya ste /	35b	In that very place, one should perform a burnt offering for the sake of one’s own and others’ peace of mind, and the ground should be purified there.
['BO_T02_D2595:35b-3']	'dom gang tsam la sogs pa brkos la sa'i ro lnga bsal te /	'dom gang tsam la sogs pa brkos la sa'i ro lnga bsal te /	35b	One should dig one cubit deep and so on, and remove the five impure substances of the earth.
['BO_T02_D2595:35b-4']	de rin po che lnga dang ldan pa'i bum pa bcug la slar sas dgang ngo ;	de rin po che lnga dang ldan pa'i bum pa bcug la slar sas dgang ngo ;	35b	Having placed a vase endowed with the five precious substances, fill it with earth again.
['BO_T02_D2595:35b-5']	; de bzhin gshegs pa'i ras ris la sogs pa ji tsam 'byor pa yang bris la dkyil 'khor nyis 'gyur la spos kyis chag chag btab ste /	; de bzhin gshegs pa'i ras ris la sogs pa ji tsam 'byor pa yang bris la dkyil 'khor nyis 'gyur la spos kyis chag chag btab ste /	35b	Also, draw a painting of the Tathāgata to the extent that one can afford, and double the maṇḍala. Sprinkle it with perfumed water,
['BO_T02_D2595:35b-6']	lag pa sa la reg par bya'o //	lag pa sa la reg par bya'o //	35b	and touch the ground with one’s hand.
['BO_T02_D2595:35b-7']	rje btsun gyi yi ge brgya pa lan bdun bzlas par bya'o //	rje btsun gyi yi ge brgya pa lan bdun bzlas par bya'o //	35b	Recite the one-hundred-syllable mantra of the venerable [Tārā] seven times.
['BO_T02_D2595:35b-8']	sa bzung ba'i rim pa'o //	sa bzung ba'i rim pa'o //	35b	This is the procedure for taking possession of the ground.
['BO_T02_D2595:35b-9']	de nas bdag nyid ji snyed pa'i rgyan dang ldan par byas te /	de nas bdag nyid ji snyed pa'i rgyan dang ldan par byas te /	35b	Then, having adorned oneself with whatever ornaments one has,
