segmentnr	original	analyzed	folio	translated
['BO_T02_D1407:109b-7']	zhes pa ni bha ga'i dbus na gnas pa'i rdo rje ste /	zhes pa ni bha ga'i dbus na gnas pa'i rdo rje ste /	109b	This is the vajra located in the middle of the bhaga.
['BO_T02_D1407:109b-8']	shin tu stong pa thams cad nam mkha' dang mnyam par bsgom pa'o //	shin tu stong pa thams cad nam mkha' dang mnyam par bsgom pa'o //	109b	One should meditate on the emptiness of everything as being equal to space.
['BO_T02_D1407:109b-9']	ma rig pa'i skyon glo bur ba'i rtog pa nyid las rtog pa nyid kun du byung ba tsam dang bral ba rang bzhin gyis 'od gsal zhing dag pa'i sems ni me long dang 'dra bar blta'o //	ma rig pa'i skyon glo bur ba'i rtog pa nyid las rtog pa nyid kun du byung ba tsam dang bral ba rang bzhin gyis 'od gsal zhing dag pa'i sems ni me long dang 'dra bar blta'o //	109b	The mind, which is naturally luminous and pure, free from the mere occurrence of conceptual thoughts that arise from the adventitious faults of ignorance, should be seen as being like a mirror.
['BO_T02_D1407:109b-10']	me long ral gri gdong bcas pa'am //	me long ral gri gdong bcas pa'am //	109b	The mirror, sword, and face,
['BO_T02_D1407:109b-11']	zhes pa yang gzugs brnyan lta bur dag cing gsal ba'i chos nam mkha' lta bu ni ral gri ste /	zhes pa yang gzugs brnyan lta bur dag cing gsal ba'i chos nam mkha' lta bu ni ral gri ste /	109b	The Dharma, which is pure and clear like a reflection, is like a sword, like space.
['BO_T02_D1407:109b-12']	nyon mongs pa rnams gcod cing sems can gyi don la rnon por 'jug pas so //	nyon mongs pa rnams gcod cing sems can gyi don la rnon por 'jug pas so //	109b	It is sharp in engaging for the benefit of sentient beings, cutting through the afflictions.🔽The banner,
['BO_T02_D1407:109b-13', 'BO_T02_D1407:109b-14']	rgyal mtshan zhes pa ni rgyal mtshan lta bur bsod nams kyis bteg pa'o //🔽mdung thung zhes pa ni mdung lta bu ste rtse gcig pa'i sems kyis nyon mongs pa 'bugs pa'o //	rgyal mtshan zhes pa ni rgyal mtshan lta bur bsod nams kyis bteg pa'o // mdung thung zhes pa ni mdung lta bu ste rtse gcig pa'i sems kyis nyon mongs pa 'bugs pa'o //	109b	The banner is raised by merit, like a banner.🔽The spear,🔽The spear is like a spear, piercing the afflictions with the mind of one-pointedness.🔽The mirror,
['BO_T02_D1407:109b-15', 'BO_T02_D1407:109b-16']	me long dag gis kha sbyar du //🔽zhes pa la /	me long dag gis kha sbyar du //🔽zhes pa la /	109b	The mirror is the mirror of the mind.
['BO_T02_D1407:109b-17']	kha sbyor ni thog ma'i bde ba de kho na nyid rab tu gsal ba'i rnal 'byor ba'o //	kha sbyor ni thog ma'i bde ba de kho na nyid rab tu gsal ba'i rnal 'byor ba'o //	109b	Union is the yoga of the clear light of reality, which is that very first bliss.
['BO_T02_D1407:109b-18']	mtshan ma'i gzugs dbyibs shes par bya //	mtshan ma'i gzugs dbyibs shes par bya //	109b	One should know the form of the sign, the shape.
