segmentnr	original	analyzed	folio	translated
['BO_T02_D2145:220a-0']	@220a # // rgya gar skad du /	@220a # // rgya gar skad du /	220a	In Sanskrit:
['BO_T02_D2145:220a-1']	aa pa ri mi ta a'a yurdzny'a na s'a dha na n'a ma /	aa pa ri mi ta a'a yurdzny'a na s'a dha na n'a ma /	220a	Aparimitāyurjñānasādhana-nāma
['BO_T02_D2145:220a-2']	bod skad du /	bod skad du /	220a	In Tibetan:
['BO_T02_D2145:220a-3']	tshe dang ye shes dpag tu med pa'i sgrub thabs /	tshe dang ye shes dpag tu med pa'i sgrub thabs /	220a	The Means of Attaining Infinite Life and Wisdom
['BO_T02_D2145:220a-4']	mgon po tshe dang ye shes dpag tu med pa la phyag 'tshal lo //	mgon po tshe dang ye shes dpag tu med pa la phyag 'tshal lo //	220a	Homage to the protector, the immeasurable life and wisdom.
['BO_T02_D2145:220a-5']	dang brtson 'gro rnams bsgral 'dod pa //	dang brtson 'gro rnams bsgral 'dod pa //	220a	Those who wish to liberate themselves and others
['BO_T02_D2145:220a-6']	bsod nams tshogs ni sngon song bas //	bsod nams tshogs ni sngon song bas //	220a	Should first accumulate merit
['BO_T02_D2145:220a-7']	tshangs pa'i gnas bzhi bsgom par bya'o //	tshangs pa'i gnas bzhi bsgom par bya'o //	220a	And cultivate the four Brahma abodes.
['BO_T02_D2145:220a-8']	rang gi snying ga'i hr'i: dmar las //	rang gi snying ga'i hr'i: dmar las //	220a	From the red hrīḥ in one's heart
['BO_T02_D2145:220a-9']	ye shes me 'bar rnam smin bsregs //	ye shes me 'bar rnam smin bsregs //	220a	The wisdom fire blazes, burning up karmic ripening.🔽After that, one's mind becomes a bindu
['BO_T02_D2145:220a-10']	de rjes rang sems thig le dang // hr'i: dmar tsheg drag gyur pa las //	de rjes rang sems thig le dang // hr'i: dmar tsheg drag gyur pa las //	220a	And a red hrīḥ, from which arises
['BO_T02_D2145:220a-11']	rta mchog spyan gsum zhal bgrad pa //	rta mchog spyan gsum zhal bgrad pa //	220a	The supreme horse with three eyes and a gaping mouth,
['BO_T02_D2145:220a-12']	dbyug pa sdigs mdzub 'bar 'jigs bsgom //	dbyug pa sdigs mdzub 'bar 'jigs bsgom //	220a	With a club, threatening gesture, blazing and terrifying.
['BO_T02_D2145:220a-13']	de yi thugs kar pad zla'i steng //	de yi thugs kar pad zla'i steng //	220a	In its heart, upon a lotus and moon,
['BO_T02_D2145:220a-14']	hr'i: las bcom ldan tshe dpag med //	hr'i: las bcom ldan tshe dpag med //	220a	Is hrīḥ, from which arises the Bhagavān Amitāyus,
