segmentnr	original	analyzed	folio	translated
['BO_T16_D4420b:351a-40']	ka ri t'a si /	ka ri t'a si /	351a	karitāsi
['BO_T16_D4420b:351a-41']	sogs sam / ka r'i t'a /	sogs sam / ka r'i t'a /	351a	etc.🔽karīta
['BO_T16_D4420b:351a-42']	ka r'i t'a si /	ka r'i t'a si /	351a	karitāsi🔽etc.
['BO_T16_D4420b:351a-43', 'BO_T16_D4420b:351a-44']	sogs so // tang la /🔽ka ri t'a /	sogs so // tang la / ka ri t'a /	351a	tang🔽karitā
['BO_T16_D4420b:351a-45']	ka ri t'a se /	ka ri t'a se /	351a	karitāsi
['BO_T16_D4420b:351a-46']	sogs sam / ka r'i t'a /	sogs sam / ka r'i t'a /	351a	etc.🔽karīta
['BO_T16_D4420b:351a-47', 'BO_T16_D4420b:351a-48']	ka r'i t'a se /🔽sogs so // smon pa'i ling gi aa tang la /	ka r'i t'a se / sogs so // smon pa'i ling gi aa tang la /	351a	karitāsi🔽etc.
['BO_T16_D4420b:351a-49']	byings kyi r'ita kyi aita 'os /	byings kyi r'ita kyi aita 'os /	351a	In the desiderative of the root, the i of iṭ is added.
['BO_T16_D4420b:351a-50']	ri aita / ri'i aan la ra pha rol los ra byin /	ri aita / ri'i aan la ra pha rol los ra byin /	351a	The i of ri is changed to a, and the ra is given the meaning of “other side.”
['BO_T16_D4420b:351a-51']	au pa dh'a'i 'ang ngos ring por bsgyur bas /	au pa dh'a'i 'ang ngos ring por bsgyur bas /	351a	The upapada is lengthened.
['BO_T16_D4420b:351a-52']	k'ir++y'ata / k'ir++y'ast'am /	k'ir++y'ata / k'ir++y'ast'am /	351a	kīrītā, kīrītās,🔽kīrītusu
['BO_T16_D4420b:351a-53']	k'i r++y'a su:/ sogs so //	k'i r++y'a su:/ sogs so //	351a	etc.
['BO_T16_D4420b:351a-54', 'BO_T16_D4420b:351a-55']	tang la ait byin yon tan byas pas /🔽ka ri sh'ishta /	tang la ait byin yon tan byas pas / ka ri sh'ishta /	351a	In the desiderative, iṭ is added, and the quality is made.🔽karīśiṣṭa
['BO_T16_D4420b:351a-56']	ka ri sh'i y'a st'am /	ka ri sh'i y'a st'am /	351a	karīśiyās,
['BO_T16_D4420b:351a-57']	ka ri sh'i ran /	ka ri sh'i ran /	351a	karīśiran🔽etc.
['BO_T16_D4420b:351a-58']	sogs so // lrit la /	sogs so // lrit la /	351a	In the lṛt augment,
['BO_T16_D4420b:351a-59', 'BO_T16_D4420b:351a-60']	pri r'ita las yang na 'os /🔽ait dang a'it yang na bar byas /	pri r'ita las yang na 'os / ait dang a'it yang na bar byas /	351a	pri is added to rīta, or the augment is added.
['BO_T16_D4420b:351a-61', 'BO_T16_D4420b:351a-62']	yon tan byas pas /🔽aa tang la /	yon tan byas pas / aa tang la /	351a	iṭ and iṭ are added, or the quality is made.🔽In the desiderative,
['BO_T16_D4420b:351a-63', 'BO_T16_D4420b:351a-64']	ka ri shya ti /🔽sogs sam / ka r'i shya ti /	ka ri shya ti / sogs sam / ka r'i shya ti /	351a	karīśyāti
['BO_T16_D4420b:351a-65']	sogs so // tang la /	sogs so // tang la /	351a	etc.
['BO_T16_D4420b:351a-66', 'BO_T16_D4420b:351a-67']	ka ri shya te /🔽sogs sam / ka r'i shya te /	ka ri shya te / sogs sam / ka r'i shya te /	351a	karīśyati🔽etc.
['BO_T16_D4420b:351a-68']	sogs so // de bzhin du /	sogs so // de bzhin du /	351a	In the same way,
['BO_T16_D4420b:351a-69']	lring gi aa tang la /	lring gi aa tang la /	351a	in the lṛṅ augment,
['BO_T16_D4420b:351a-70']	aa ka ri shya ta /	aa ka ri shya ta /	351a	akariṣyat🔽or akariṣyat🔽or akariṣyat🔽or akariṣyat
['BO_T16_D4420b:351a-71', 'BO_T16_D4420b:351a-72', 'BO_T16_D4420b:351a-73']	sogs sam / aa ka r'i shya ta /🔽sogs so // tang la /🔽aa ka ri shyata /	sogs sam / aa ka r'i shya ta / sogs so // tang la / aa ka ri shyata /	351a	or akariṣyat🔽or akariṣyat🔽or akariṣyat🔽or akariṣyat
