segmentnr	original	analyzed	folio	translated
['BO_T02_D2666:167b-29']	aom padm'anta krid ya da yo ni ra yakshe ya sv'a h'a /	aom padm'anta krid ya da yo ni ra yakshe ya sv'a h'a /	167b	Oṃ padmantakṛta dyāni yakṣe yā svāhā.
['BO_T02_D2666:167b-30']	khro bo bdud rtsi 'khyil pa'i sngags /	khro bo bdud rtsi 'khyil pa'i sngags /	167b	The mantra of the wrathful Amṛtakuṇḍali.
['BO_T02_D2666:167b-31']	aom baghn'inta krida ya kshe ya tstsha ni ra ma ya sv'a h'a /	aom baghn'inta krida ya kshe ya tstsha ni ra ma ya sv'a h'a /	167b	Oṃ bhagnaṃ kṛta kṣe yā caṇḍi rāmaya svāhā.
['BO_T02_D2666:167b-32']	zhes pa ni de dag dang bcas par bsnyen par gsungs pa yin no //	zhes pa ni de dag dang bcas par bsnyen par gsungs pa yin no //	167b	This is said to be the recitation together with them.
['BO_T02_D2666:167b-33']	de yang nyi ma bzhi bzhir bsnyen pa khri khri bya ba ni gdams ngag go //	de yang nyi ma bzhi bzhir bsnyen pa khri khri bya ba ni gdams ngag go //	167b	Moreover, the instruction is that one should do ten thousand recitations for each of the four suns.
['BO_T02_D2666:167b-34']	mi g-yo ba dang / 'dod pa'i rgyal po dang / dbyig pa sngon po dang / stobs po che dang / bzhi ni pho nya dang po ste /	mi g-yo ba dang / 'dod pa'i rgyal po dang / dbyig pa sngon po dang / stobs po che dang / bzhi ni pho nya dang po ste /	167b	Acala, Kāmarāja, Nīladaṇḍa, and Mahābala, these four are the first messengers.
['BO_T02_D2666:167b-35']	ri mo rnam gsum yongs su zlum //	ri mo rnam gsum yongs su zlum //	167b	The three lines are completely circular.
['BO_T02_D2666:167b-36']	dbus su padma 'dab bzhi la //	dbus su padma 'dab bzhi la //	167b	In the center, on a four-petaled lotus,
['BO_T02_D2666:167b-37']	phyi ma dag la 'khor lo ni //	phyi ma dag la 'khor lo ni //	167b	In the outer ones, the wheels
['BO_T02_D2666:167b-38', 'BO_T02_D2666:168a-0']	drug drug rnam par mdzes par bri //🔽'khor lo @168a * //	drug drug rnam par mdzes par bri // 'khor lo @168a * //	167b	Are drawn beautifully with six spokes each.
['BO_T02_D2666:168a-1']	gnyis po la bri ba //	gnyis po la bri ba //	168a	On the two wheels🔽The thirty-two letters
['BO_T02_D2666:168a-2']	yi ge sum cu rtsa gnyis dang // de yis bshad pa'i tshig dag bri //	yi ge sum cu rtsa gnyis dang // de yis bshad pa'i tshig dag bri //	168a	And the words explained by them are written.
['BO_T02_D2666:168a-3']	'khor lo tha ma dri med la //	'khor lo tha ma dri med la //	168a	On the stainless final wheel
['BO_T02_D2666:168a-4']	ring po thung du zung gcig bri //	ring po thung du zung gcig bri //	168a	A pair of long and short [vowels] are written.
['BO_T02_D2666:168a-5']	de la dbang byed sngags kyang spel //	de la dbang byed sngags kyang spel //	168a	The mantra that controls them is also increased.
['BO_T02_D2666:168a-6']	zhes bshad pa ni /	zhes bshad pa ni /	168a	This is explained as follows.
['BO_T02_D2666:168a-7']	khro bo rnam bzhi'i las te //	khro bo rnam bzhi'i las te //	168a	The four wrathful actions
['BO_T02_D2666:168a-8']	rgyud gzhan las kyang bshad do //	rgyud gzhan las kyang bshad do //	168a	are also explained in other tantras.
['BO_T02_D2666:168a-9']	khro bo gnod mdzes dang // gtsug tor 'khor los sgyur ba dang // ki li rnam pa gnyis te bzhi ni /	khro bo gnod mdzes dang // gtsug tor 'khor los sgyur ba dang // ki li rnam pa gnyis te bzhi ni /	168a	The four are: the wrathful one Trailokyavijaya, the wrathful one Uṣṇīṣa Cakravartin, and the two types of Kīlaya.
['BO_T02_D2666:168a-10']	ma grub na spogs pa'i cho ga ste /	ma grub na spogs pa'i cho ga ste /	168a	If they are not accomplished, the rite of enhancement is as follows.
['BO_T02_D2666:168a-11']	'khor lo de nyid la g-yas nas sngags de nyid bskor bar bri ba ste rim pa snga ma bzhin no //	'khor lo de nyid la g-yas nas sngags de nyid bskor bar bri ba ste rim pa snga ma bzhin no //	168a	On that very wheel, one should write the mantra itself circling to the right, as before.
['BO_T02_D2666:168a-12']	de yang 'khor lo la lha bzhir byed pas dang da bskur ro //	de yang 'khor lo la lha bzhir byed pas dang da bskur ro //	168a	Moreover, one should consecrate the wheel as the four deities.
['BO_T02_D2666:168a-13']	gzhan ma tshang ba ni gzhan las shes par bya'o //	gzhan ma tshang ba ni gzhan las shes par bya'o //	168a	The other [deities] should be known from other [sources].
['BO_T02_D2666:168a-14']	de ni man ngag go //	de ni man ngag go //	168a	That is the instruction.
['BO_T02_D2666:168a-15']	sku nas su ni bsgyur te zhes pa 'dir nyi ma rnam pa bzhi'i dus su khro bo re re'i rnam par bya'o //	sku nas su ni bsgyur te zhes pa 'dir nyi ma rnam pa bzhi'i dus su khro bo re re'i rnam par bya'o //	168a	Here, in the body is transformed, one should take on the form of each of the four wrathful ones at the time of the four suns.
['BO_T02_D2666:168a-16']	de yang dang po g-yon la /	de yang dang po g-yon la /	168a	Moreover, first [one should take on the form] of the left [wrathful one].
['BO_T02_D2666:168a-17', 'BO_T02_D2666:168a-18']	de nas yang g-yon skor ro //🔽mthar g-yas bskor te lha rnams so //	de nas yang g-yon skor ro // mthar g-yas bskor te lha rnams so //	168a	Then, again, [one should take on the form] of the left [wrathful one].🔽In the end, [one should take on the form] of the right [wrathful one].
['BO_T02_D2666:168a-19']	tsham dam ni gsal lo //	tsham dam ni gsal lo //	168a	The mudrā is clear.
['BO_T02_D2666:168a-20']	gsang ba rtog pa ste le 'u gnyis pa bshad pa'o /	gsang ba rtog pa ste le 'u gnyis pa bshad pa'o /	168a	The second chapter is the secret chapter.
['BO_T02_D2666:168a-21']	// / de'i yon tan mtha' yas pa bstan pas 'dul bas de bstan pa'i phyir /	// / de'i yon tan mtha' yas pa bstan pas 'dul bas de bstan pa'i phyir /	168a	Since the disciples are disciplined by teaching the infinite qualities of that [mantra], in order to teach that, [the Bhagavān] declares,
['BO_T02_D2666:168a-22']	khro bo'i rgyal po'i dngos grub ni //	khro bo'i rgyal po'i dngos grub ni //	168a	The power of the King of Wrath
