segmentnr	original	analyzed	folio	translated
['BO_T01_D1110:5a-0']	@5a * // rgya gar skad du /	@5a * // rgya gar skad du /	5a	In Sanskrit:
['BO_T01_D1110:5a-1']	bi she sha sta ba n'a ma t'i k'a /	bi she sha sta ba n'a ma t'i k'a /	5a	Viśeṣastavanāmatīkā
['BO_T01_D1110:5a-2']	bod skad du /	bod skad du /	5a	In Tibetan:
['BO_T01_D1110:5a-3']	khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa /	khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa /	5a	The Extensive Explanation of the Praise of Distinctiveness
['BO_T01_D1110:5a-4']	bcom ldan 'das 'jam dpal bzhon nur gyur pa la phyag 'tshal lo //	bcom ldan 'das 'jam dpal bzhon nur gyur pa la phyag 'tshal lo //	5a	Homage to the Blessed One, Mañjuśrī Kumārabhūta.
['BO_T01_D1110:5a-5']	khyad par phul du byung ldan zhing //	khyad par phul du byung ldan zhing //	5a	Endowed with the highest distinctiveness,
['BO_T01_D1110:5a-6']	lha rnams kyis mchod sangs rgyas la ;	lha rnams kyis mchod sangs rgyas la ;	5a	the Buddha, worshipped by the gods,
['BO_T01_D1110:5a-7']	/ phyag 'tshal khyad par 'phags bstod pa //	/ phyag 'tshal khyad par 'phags bstod pa //	5a	I pay homage and praise with distinctiveness.
['BO_T01_D1110:5a-8']	don las tshul bzhin bshad par bya //	don las tshul bzhin bshad par bya //	5a	I will explain the meaning properly.
['BO_T01_D1110:5a-9']	mtho btsun grub rje zhes bya ba'i bram ze rig byed bzhi la mkhas pa /	mtho btsun grub rje zhes bya ba'i bram ze rig byed bzhi la mkhas pa /	5a	There was a brahmin named Uttamaśramaṇa who was skilled in the four Vedas,
['BO_T01_D1110:5a-10']	bram ze rnams kyis gtso bor bkur ba zhig yod pa dang / de bcom ldan 'das kyi bstan pa la dad pa thob nas /	bram ze rnams kyis gtso bor bkur ba zhig yod pa dang / de bcom ldan 'das kyi bstan pa la dad pa thob nas /	5a	honored as the chief by the brahmins, and who, having attained faith in the doctrine of the Blessed One,
['BO_T01_D1110:5a-11']	sangs rgyas bcom ldan 'das la brtsams te bstod pa 'di byas par gyur pa yin no //	sangs rgyas bcom ldan 'das la brtsams te bstod pa 'di byas par gyur pa yin no //	5a	composed this praise beginning with the Blessed Buddha.
['BO_T01_D1110:5a-12']	de yang 'di ltar rjes su thos te /	de yang 'di ltar rjes su thos te /	5a	And this is what I heard:
