segmentnr	original	analyzed	folio	translated
['BO_T02_D1189:287a-23']	de bzhin zhes pa ni aa ham ji lta bar ro //	de bzhin zhes pa ni aa ham ji lta bar ro //	287a	Just so means just as I am.
['BO_T02_D1189:287a-24']	de bzhin sngags zlos pa ni yi ge aa dang ham ngo //	de bzhin sngags zlos pa ni yi ge aa dang ham ngo //	287a	 Just so, the recitation of mantra is the syllables a and ham.
['BO_T02_D1189:287a-25']	sgra bsgrags pa ni de'i gsung nyid do //	sgra bsgrags pa ni de'i gsung nyid do //	287a	 The proclamation of sound is his speech itself.
['BO_T02_D1189:287a-26']	gcer bu zhes pa ni mdoms ma dkris pa'o ;	gcer bu zhes pa ni mdoms ma dkris pa'o ;	287a	 Naked means not wrapped in the penis sheath.
['BO_T02_D1189:287a-27']	/ sa bcu'i dbang phyug ces pa nyid ni de'i 'og tu brtan pa dang g-yo ba rnams rtogs pas byang chub pa zhes dgongs so //	/ sa bcu'i dbang phyug ces pa nyid ni de'i 'og tu brtan pa dang g-yo ba rnams rtogs pas byang chub pa zhes dgongs so //	287a	 The lord of the ten stages is the same, and after that, by the realization of the animate and inanimate, he is enlightened, so it is thought.
['BO_T02_D1189:287a-28']	lto ba la sogs pas phyi'i gtsug lag khang dang gnas la sogs pa bsdus par sems can gzhan rnams la der blta bar bya ste /	lto ba la sogs pas phyi'i gtsug lag khang dang gnas la sogs pa bsdus par sems can gzhan rnams la der blta bar bya ste /	287a	 The belly and so forth include the external temples, dwellings, and so forth, and other sentient beings are to be seen there,
['BO_T02_D1189:287b-0']	de rnams sa bcu la rab @287b tu bzhugs pas so //	de rnams sa bcu la rab @287b tu bzhugs pas so //	287b	because they are established in the ten stages.
['BO_T02_D1189:287b-1']	de skad gsungs pa zhes pa ni tshogs pa 'dis sems can sangs rgyas nyid do zhes gsungs pa'o //	de skad gsungs pa zhes pa ni tshogs pa 'dis sems can sangs rgyas nyid do zhes gsungs pa'o //	287b	 Thus it is said means that this assembly says, Sentient beings are buddhahood itself.
['BO_T02_D1189:287b-2']	sa dang chu dang rlung dang me rnams ni srin mo lha mo khyed rnams so //	sa dang chu dang rlung dang me rnams ni srin mo lha mo khyed rnams so //	287b	 Earth, water, wind, and fire are the raksasi goddesses.
['BO_T02_D1189:287b-3']	nga'i de nyid ces pa la sogs pa ni nga'i de kho na nyid gang gis kyang mi shes pa dag pa'i nam mkha'o //	nga'i de nyid ces pa la sogs pa ni nga'i de kho na nyid gang gis kyang mi shes pa dag pa'i nam mkha'o //	287b	My suchness and so on. My suchness is the pure space, which is not known by anyone.
['BO_T02_D1189:287b-4']	de kho na nyid ngas sgro bar bya'o zhes bya ba'i don to //	de kho na nyid ngas sgro bar bya'o zhes bya ba'i don to //	287b	The meaning is: I will proclaim that suchness.
['BO_T02_D1189:287b-5']	'dir 'byung ba bzhi ni byang chub kyi lam mo //	'dir 'byung ba bzhi ni byang chub kyi lam mo //	287b	Here, the four elements are the path of awakening.
['BO_T02_D1189:287b-6']	'byung ba lnga po ni byang chub bo //	'byung ba lnga po ni byang chub bo //	287b	The fifth element is awakening.
['BO_T02_D1189:287b-7']	de gnyis sems can gzhan 'gas kyang mi shes so //	de gnyis sems can gzhan 'gas kyang mi shes so //	287b	Those two are not known by any other sentient being.
['BO_T02_D1189:287b-8']	de bas na sems can thams cad sangs ma rgyas pa nyid do //	de bas na sems can thams cad sangs ma rgyas pa nyid do //	287b	Therefore, all sentient beings are not awakened.
['BO_T02_D1189:287b-9']	zhes bsdus pa'i don to //	zhes bsdus pa'i don to //	287b	This is the summarized meaning.
['BO_T02_D1189:287b-10']	de la chos kyi dbyings la dmigs par byed pa na sra bar shes pa sa'i khams so //	de la chos kyi dbyings la dmigs par byed pa na sra bar shes pa sa'i khams so //	287b	Therein, when observing the dharmadhatu, the earth element is the knowledge of solidity.
['BO_T02_D1189:287b-11']	gsher bar shes pa chu'i khams so //	gsher bar shes pa chu'i khams so //	287b	The water element is the knowledge of fluidity.
['BO_T02_D1189:287b-12']	bsgoms pas yongs su smin pa me'i khams so //	bsgoms pas yongs su smin pa me'i khams so //	287b	The fire element is the ripening through meditation.
['BO_T02_D1189:287b-13']	zhu ba'i ye shes kun du 'gro ba ni rlung gi khams so //	zhu ba'i ye shes kun du 'gro ba ni rlung gi khams so //	287b	The all-pervading wisdom of melting is the wind element.
['BO_T02_D1189:287b-14']	de dang de rnams ni sring mo khyod rnams kyi rang bzhin bzhi po ci rigs pa gang yang rung ba'i rang bzhin khyed rnams kyi'o //	de dang de rnams ni sring mo khyod rnams kyi rang bzhin bzhi po ci rigs pa gang yang rung ba'i rang bzhin khyed rnams kyi'o //	287b	You sisters, each of you, have any one of these four natures.
['BO_T02_D1189:287b-15']	snang ba med pa bde ba chen po don dam pa'i nam mkha' dri ma med pa nam mkha' lta bu nyid de /	snang ba med pa bde ba chen po don dam pa'i nam mkha' dri ma med pa nam mkha' lta bu nyid de /	287b	The absence of appearance, great bliss, the ultimate, stainless space, is like space.
['BO_T02_D1189:287b-16']	de nyid rdo rje 'dzin pa nga ni de'i de kho na nyid do //	de nyid rdo rje 'dzin pa nga ni de'i de kho na nyid do //	287b	I, Vajradhara, am the reality of that.
['BO_T02_D1189:287b-17']	spro bar bya zhes pa ni kun rdzob kyi bden pa'i tha snyad kyis bstan pa'o //	spro bar bya zhes pa ni kun rdzob kyi bden pa'i tha snyad kyis bstan pa'o //	287b	 One should radiate is taught by the convention of relative truth.
['BO_T02_D1189:287b-18']	de ci'i phyir zhe na /	de ci'i phyir zhe na /	287b	Why is that?
['BO_T02_D1189:287b-19']	gang gi phyir de kho na nyid de sems can gang gis kyang ma shes pa'i phyir te /	gang gi phyir de kho na nyid de sems can gang gis kyang ma shes pa'i phyir te /	287b	Because that reality is not known by any sentient being.
['BO_T02_D1189:287b-20']	so so rang gis rig pa de'i de kho na nyid mngon sum du ma byas pa nyid do //	so so rang gis rig pa de'i de kho na nyid mngon sum du ma byas pa nyid do //	287b	That reality is not made manifest by each one's own awareness.
['BO_T02_D1189:287b-21']	de bas na sems can sangs ma rgyas pa nyid du thos nas srog thob bo //	de bas na sems can sangs ma rgyas pa nyid du thos nas srog thob bo //	287b	Therefore, having heard that sentient beings are not enlightened, life is obtained.
['BO_T02_D1189:287b-22']	de'i tshe gang gi phyir sngar sems can sangs rgyas pa nyid du gsungs she na /	de'i tshe gang gi phyir sngar sems can sangs rgyas pa nyid du gsungs she na /	287b	At that time, why was it previously taught that sentient beings are enlightened?
['BO_T02_D1189:287b-23']	de bas na gsungs pa /	de bas na gsungs pa /	287b	Therefore, it is said:
['BO_T02_D1189:287b-24']	bcom ldan 'das kyis zhes bya ba la sogs pa'o //	bcom ldan 'das kyis zhes bya ba la sogs pa'o //	287b	The Blessed One said, etc.
['BO_T02_D1189:287b-25']	sems can rnams ni sangs rgyas nyid //	sems can rnams ni sangs rgyas nyid //	287b	Sentient beings are buddhas.
['BO_T02_D1189:287b-26']	ces pa ni de ltar de bzhin nyid shin tu rnam par dag pas sangs rgyas nyid de /	ces pa ni de ltar de bzhin nyid shin tu rnam par dag pas sangs rgyas nyid de /	287b	Thus, since suchness is completely pure, it is buddhahood.
['BO_T02_D1189:287b-27']	de yang rang bzhin nyid kyis shin tu rnam par dag pa'o //	de yang rang bzhin nyid kyis shin tu rnam par dag pa'o //	287b	And that is completely pure by nature.
['BO_T02_D1189:287b-28']	gang gi phyir de lta bu sngar ma rtogs she na gsungs pa /	gang gi phyir de lta bu sngar ma rtogs she na gsungs pa /	287b	Why is it not realized as such? It is said:
['BO_T02_D1189:287b-29']	mi shes zhes bya ba la sogs pa'o //	mi shes zhes bya ba la sogs pa'o //	287b	Ignorant, etc.
['BO_T02_D1189:287b-30']	de de bzhin te zhes bya ba sogs pa ni lha mo rnams kyi tshig go //	de de bzhin te zhes bya ba sogs pa ni lha mo rnams kyi tshig go //	287b	Just so, etc. is the speech of the goddesses.
['BO_T02_D1189:287b-31']	de bzhin du zhes bstan pa'o //	de bzhin du zhes bstan pa'o //	287b	Just so is the teaching.
['BO_T02_D1189:287b-32']	med de zhes pa ni bshad pa'o //	med de zhes pa ni bshad pa'o //	287b	It is not, etc. is the explanation.
['BO_T02_D1189:288a-0']	gal te dri ma'i sgrib pas bsgribs pa nyid yin na @288a * //	gal te dri ma'i sgrib pas bsgribs pa nyid yin na @288a * //	288a	If it is completely obscured by the obscurations of defilement,
['BO_T02_D1189:288a-1']	ci'i phyir 'di dag byang chub ce na /	ci'i phyir 'di dag byang chub ce na /	288a	why is it called enlightenment?
['BO_T02_D1189:288a-2']	gsungs pa mi shes zhes bya ba la sogs pa'o //	gsungs pa mi shes zhes bya ba la sogs pa'o //	288a	It is said: Ignorant, etc.
['BO_T02_D1189:288a-3']	brgyal pa ni dug zos pas myos pa'o //	brgyal pa ni dug zos pas myos pa'o //	288a	Swooning is intoxication from poison.
['BO_T02_D1189:288a-4']	mi shes pa ni dug med par byed pa'i phyir yid la byed pa ni 'dir sems te de med pa'o //	mi shes pa ni dug med par byed pa'i phyir yid la byed pa ni 'dir sems te de med pa'o //	288a	The mind is the attention that removes the poison of ignorance.
['BO_T02_D1189:288a-5']	gti mug rnams spangs pa ni dug gi de nyid shes pa'o //	gti mug rnams spangs pa ni dug gi de nyid shes pa'o //	288a	The knowledge of the reality of the poison is the abandonment of delusion.
['BO_T02_D1189:288a-6']	dug 'phrog pa'i de kho na nyid kyi yid yod pas na de nyid yid de gang zhig ces pa dang 'brel to //	dug 'phrog pa'i de kho na nyid kyi yid yod pas na de nyid yid de gang zhig ces pa dang 'brel to //	288a	Since there is the mind of the reality of the removal of the poison, that is the mind.
['BO_T02_D1189:288a-7']	de yi mya ngan yongs su gcod //	de yi mya ngan yongs su gcod //	288a	It completely cuts off their sorrow.
['BO_T02_D1189:288a-8']	ces pa ni dug zos pas sdug bsngal gyis nyen pa'i mya ngan rnams gcod pa ste 'di ni dpe'o //	ces pa ni dug zos pas sdug bsngal gyis nyen pa'i mya ngan rnams gcod pa ste 'di ni dpe'o //	288a	The cutting off of the sorrow of the suffering of those who have eaten the poison is the example.
['BO_T02_D1189:288a-9']	don la sbyor ba'i phyir gsungs pa /	don la sbyor ba'i phyir gsungs pa /	288a	In order to apply the meaning, he says:
['BO_T02_D1189:288a-10']	de bzhin zhes bya ba la sogs pa'o //	de bzhin zhes bya ba la sogs pa'o //	288a	Thus, etc.
['BO_T02_D1189:288a-11']	thar pa ni mya ngan las 'das pa'o //	thar pa ni mya ngan las 'das pa'o //	288a	Liberation is nirvana.
['BO_T02_D1189:288a-12']	ngal byas zhes pa ni shin tu ngal bar byas pa'o //	ngal byas zhes pa ni shin tu ngal bar byas pa'o //	288a	Exhausted means very exhausted.
['BO_T02_D1189:288a-13']	nyon mongs pa can ma yin pa'i phyir mi shes pa ni ma rig pa'o //	nyon mongs pa can ma yin pa'i phyir mi shes pa ni ma rig pa'o //	288a	Ignorance is non-knowledge because it is not afflicted.
