segmentnr	original	analyzed	folio	translated
['BO_K01_D0007B_H0008:426b-19']	phye ba dang ldan pa'o //	phye ba dang ldan pa'o //	426b	and the schism.
['BO_K01_D0007B_H0008:426b-20']	'byed pa ni /	'byed pa ni /	426b	The schism is
['BO_K01_D0007B_H0008:426b-21']	kha na ma tho ba'o //	kha na ma tho ba'o //	426b	the offense.
['BO_K01_D0007B_H0008:426b-22']	btsun pa / dge 'dun phye na /	btsun pa / dge 'dun phye na /	426b	“Reverend, if the Saṅgha is split,
['BO_K01_D0007B_H0008:426b-23']	cir 'gyur / nyes pa sbom por 'gyur ro //	cir 'gyur / nyes pa sbom por 'gyur ro //	426b	what is the offense?” “The offense of a serious transgression.”
['BO_K01_D0007B_H0008:426b-24']	btsun pa / dge 'dun phye na /	btsun pa / dge 'dun phye na /	426b	“Reverend, if the Saṅgha is split,
['BO_K01_D0007B_H0008:426b-25']	nongs pa gang bshags par bgyi /	nongs pa gang bshags par bgyi /	426b	what should be confessed?”
['BO_K01_D0007B_H0008:426b-26']	nyes pa sbom po'o //	nyes pa sbom po'o //	426b	“The offense of a serious transgression.”
['BO_K01_D0007B_H0008:426b-27', 'BO_K01_D0007B_H0008:427a-0']	btsun pa / 'di ltar dge slong dag gis dge slong gi dge 'dun 'byed kyi /🔽dge slong mas ma @427a *//	btsun pa / 'di ltar dge slong dag gis dge slong gi dge 'dun 'byed kyi / dge slong mas ma @427a *//	426b	“Reverend, it is like this: monks split the Saṅgha of monks,🔽not nuns,🔽not trainee nuns,
['BO_K01_D0007B_H0008:427a-1']	lags / dge slob mas ma lags /	lags / dge slob mas ma lags /	427a	not novice monks,
['BO_K01_D0007B_H0008:427a-2', 'BO_K01_D0007B_H0008:427a-3']	dge tshul mas ma lags /🔽dge tshul phas ma lags sam /	dge tshul mas ma lags / dge tshul phas ma lags sam /	427a	and not novice nuns.”
['BO_K01_D0007B_H0008:427a-4']	au pa li /	au pa li /	427a	“Upāli,
['BO_K01_D0007B_H0008:427a-5']	de bzhin te /	de bzhin te /	427a	it is just so.
['BO_K01_D0007B_H0008:427a-6']	dge slong dag gis dge 'dun 'byed kyi /	dge slong dag gis dge 'dun 'byed kyi /	427a	Monks split the Saṅgha of monks,
['BO_K01_D0007B_H0008:427a-7', 'BO_K01_D0007B_H0008:427a-8', 'BO_K01_D0007B_H0008:427a-9']	dge slong mas ma yin /🔽dge slob mas ma yin /🔽dge tshul mas ma yin /	dge slong mas ma yin / dge slob mas ma yin / dge tshul mas ma yin /	427a	not nuns,🔽not trainee nuns,🔽not novice monks,
['BO_K01_D0007B_H0008:427a-10']	dge tshul phas ma yin no //	dge tshul phas ma yin no //	427a	and not novice nuns.
['BO_K01_D0007B_H0008:427a-11']	au pa li /	au pa li /	427a	Upāli,
['BO_K01_D0007B_H0008:427a-12']	de bzhin du dge slong ma dag gis dge slong ma'i dge 'dun 'byed kyi /	de bzhin du dge slong ma dag gis dge slong ma'i dge 'dun 'byed kyi /	427a	it is just so. Nuns split the Saṅgha of nuns,
['BO_K01_D0007B_H0008:427a-13', 'BO_K01_D0007B_H0008:427a-14', 'BO_K01_D0007B_H0008:427a-15']	dge slong gis ma yin /🔽dge slob mas ma yin /🔽dge tshul mas ma yin /	dge slong gis ma yin / dge slob mas ma yin / dge tshul mas ma yin /	427a	not monks,🔽not trainee nuns,🔽not novice monks,
['BO_K01_D0007B_H0008:427a-16']	dge tshul phas ma yin te /	dge tshul phas ma yin te /	427a	and not novice nuns.
['BO_K01_D0007B_H0008:427a-17']	'on kyang dge 'dun 'byed pa'i phyir ni /	'on kyang dge 'dun 'byed pa'i phyir ni /	427a	But he did not make an effort to split the Saṅgha.
['BO_K01_D0007B_H0008:427a-18']	rtsol lo // btsun pa /	rtsol lo // btsun pa /	427a	“Reverend,
['BO_K01_D0007B_H0008:427a-19']	bcom ldan 'das kyis rnam pa gnyis kyi slad du dge 'dun 'byed de /	bcom ldan 'das kyis rnam pa gnyis kyi slad du dge 'dun 'byed de /	427a	the Blessed One said that the Saṅgha is split for two reasons:
